year,month,month_label,uf_code,uf,region,sex,age_group,age,persons_married,opposite_sex_people,same_sex_people
2020,3,Março,31,MG,Southeast,female,17,17,58,58,0
2020,3,Março,31,MG,Southeast,female,18,18,142,142,0
2020,3,Março,31,MG,Southeast,female,19,19,160,160,0
2020,3,Março,31,MG,Southeast,male,15,15,0,0,0
2020,3,Março,31,MG,Southeast,male,16,16,1,1,0
2020,3,Março,31,MG,Southeast,male,17,17,1,1,0
2020,3,Março,31,MG,Southeast,male,18,18,27,27,0
2020,3,Março,31,MG,Southeast,male,19,19,56,56,0
2020,3,Março,32,ES,Southeast,combined,15,15,0,0,0
2020,3,Março,32,ES,Southeast,combined,16,16,10,10,0
2020,3,Março,32,ES,Southeast,combined,17,17,17,17,0
2020,3,Março,32,ES,Southeast,combined,18,18,42,42,0
2020,3,Março,32,ES,Southeast,combined,19,19,72,72,0
2020,3,Março,32,ES,Southeast,female,15,15,0,0,0
2020,3,Março,32,ES,Southeast,female,16,16,10,10,0
2020,3,Março,32,ES,Southeast,female,17,17,15,15,0
2020,3,Março,32,ES,Southeast,female,18,18,36,36,0
2020,3,Março,32,ES,Southeast,female,19,19,57,57,0
2020,3,Março,32,ES,Southeast,male,15,15,0,0,0
2020,3,Março,32,ES,Southeast,male,16,16,0,0,0
2020,3,Março,32,ES,Southeast,male,17,17,2,2,0
2020,3,Março,32,ES,Southeast,male,18,18,6,6,0
2020,3,Março,32,ES,Southeast,male,19,19,15,15,0
2020,3,Março,33,RJ,Southeast,combined,15,15,0,0,0
2020,3,Março,33,RJ,Southeast,combined,16,16,16,16,0
2020,3,Março,33,RJ,Southeast,combined,17,17,25,25,0
2020,3,Março,33,RJ,Southeast,combined,18,18,100,100,0
2020,3,Março,33,RJ,Southeast,combined,19,19,185,185,0
2020,3,Março,33,RJ,Southeast,female,15,15,0,0,0
2020,3,Março,33,RJ,Southeast,female,16,16,16,16,0
2020,3,Março,33,RJ,Southeast,female,17,17,24,24,0
2020,3,Março,33,RJ,Southeast,female,18,18,85,85,0
2020,3,Março,33,RJ,Southeast,female,19,19,147,147,0
2020,3,Março,33,RJ,Southeast,male,15,15,0,0,0
2020,3,Março,33,RJ,Southeast,male,16,16,0,0,0
2020,3,Março,33,RJ,Southeast,male,17,17,1,1,0
2020,3,Março,33,RJ,Southeast,male,18,18,15,15,0
2020,3,Março,33,RJ,Southeast,male,19,19,38,38,0
2020,3,Março,35,SP,Southeast,combined,15,15,0,0,0
2020,3,Março,35,SP,Southeast,combined,16,16,119,119,0
2020,3,Março,35,SP,Southeast,combined,17,17,149,149,0
2020,3,Março,35,SP,Southeast,combined,18,18,431,429,2
2020,3,Março,35,SP,Southeast,combined,19,19,669,667,2
2020,3,Março,35,SP,Southeast,female,15,15,0,0,0
2020,3,Março,35,SP,Southeast,female,16,16,112,112,0
2020,3,Março,35,SP,Southeast,female,17,17,134,134,0
2020,3,Março,35,SP,Southeast,female,18,18,347,346,1
2020,3,Março,35,SP,Southeast,female,19,19,483,481,2
2020,3,Março,35,SP,Southeast,male,15,15,0,0,0
2020,3,Março,35,SP,Southeast,male,16,16,7,7,0
2020,3,Março,35,SP,Southeast,male,17,17,15,15,0
2020,3,Março,35,SP,Southeast,male,18,18,84,83,1
2020,3,Março,35,SP,Southeast,male,19,19,186,186,0
2020,3,Março,41,PR,South,combined,15,15,2,2,0
2020,3,Março,41,PR,South,combined,16,16,44,44,0
2020,3,Março,41,PR,South,combined,17,17,58,58,0
2020,3,Março,41,PR,South,combined,18,18,134,134,0
2020,3,Março,41,PR,South,combined,19,19,185,185,0
2020,3,Março,41,PR,South,female,15,15,2,2,0
2020,3,Março,41,PR,South,female,16,16,40,40,0
2020,3,Março,41,PR,South,female,17,17,52,52,0
2020,3,Março,41,PR,South,female,18,18,98,98,0
2020,3,Março,41,PR,South,female,19,19,128,128,0
2020,3,Março,41,PR,South,male,15,15,0,0,0
2020,3,Março,41,PR,South,male,16,16,4,4,0
2020,3,Março,41,PR,South,male,17,17,6,6,0
2020,3,Março,41,PR,South,male,18,18,36,36,0
2020,3,Março,41,PR,South,male,19,19,57,57,0
2020,3,Março,42,SC,South,combined,15,15,0,0,0
2020,3,Março,42,SC,South,combined,16,16,19,19,0
2020,3,Março,42,SC,South,combined,17,17,22,22,0
2020,3,Março,42,SC,South,combined,18,18,59,59,0
2020,3,Março,42,SC,South,combined,19,19,65,65,0
2020,3,Março,42,SC,South,female,15,15,0,0,0
2020,3,Março,42,SC,South,female,16,16,18,18,0
2020,3,Março,42,SC,South,female,17,17,20,20,0
2020,3,Março,42,SC,South,female,18,18,49,49,0
2020,3,Março,42,SC,South,female,19,19,46,46,0
2020,3,Março,42,SC,South,male,15,15,0,0,0
2020,3,Março,42,SC,South,male,16,16,1,1,0
2020,3,Março,42,SC,South,male,17,17,2,2,0
2020,3,Março,42,SC,South,male,18,18,10,10,0
2020,3,Março,42,SC,South,male,19,19,19,19,0
2020,3,Março,43,RS,South,combined,15,15,0,0,0
2020,3,Março,43,RS,South,combined,16,16,19,19,0
2020,3,Março,43,RS,South,combined,17,17,15,15,0
2020,3,Março,43,RS,South,combined,18,18,52,52,0
2020,3,Março,43,RS,South,combined,19,19,77,77,0
2020,3,Março,43,RS,South,female,15,15,0,0,0
2020,3,Março,43,RS,South,female,16,16,19,19,0
2020,3,Março,43,RS,South,female,17,17,13,13,0
2020,3,Março,43,RS,South,female,18,18,41,41,0
2020,3,Março,43,RS,South,female,19,19,56,56,0
2020,3,Março,43,RS,South,male,15,15,0,0,0
2020,3,Março,43,RS,South,male,16,16,0,0,0
2020,3,Março,43,RS,South,male,17,17,2,2,0
2020,3,Março,43,RS,South,male,18,18,11,11,0
2020,3,Março,43,RS,South,male,19,19,21,21,0
2020,3,Março,50,MS,Central-West,combined,15,15,3,3,0
2020,3,Março,50,MS,Central-West,combined,16,16,14,14,0
2020,3,Março,50,MS,Central-West,combined,17,17,17,17,0
2020,3,Março,50,MS,Central-West,combined,18,18,42,41,1
2020,3,Março,50,MS,Central-West,combined,19,19,49,49,0
2020,3,Março,50,MS,Central-West,female,15,15,2,2,0
2020,3,Março,50,MS,Central-West,female,16,16,11,11,0
2020,3,Março,50,MS,Central-West,female,17,17,14,14,0
2020,3,Março,50,MS,Central-West,female,18,18,35,34,1
2020,3,Março,50,MS,Central-West,female,19,19,34,34,0
2020,3,Março,50,MS,Central-West,male,15,15,1,1,0
2020,3,Março,50,MS,Central-West,male,16,16,3,3,0
2020,3,Março,50,MS,Central-West,male,17,17,3,3,0
2020,3,Março,50,MS,Central-West,male,18,18,7,7,0
2020,3,Março,50,MS,Central-West,male,19,19,15,15,0
2020,3,Março,51,MT,Central-West,combined,15,15,0,0,0
2020,3,Março,51,MT,Central-West,combined,16,16,11,11,0
2020,3,Março,51,MT,Central-West,combined,17,17,19,19,0
2020,3,Março,51,MT,Central-West,combined,18,18,44,44,0
2020,3,Março,51,MT,Central-West,combined,19,19,61,61,0
2020,3,Março,51,MT,Central-West,female,15,15,0,0,0
2020,3,Março,51,MT,Central-West,female,16,16,11,11,0
2020,3,Março,51,MT,Central-West,female,17,17,17,17,0
2020,3,Março,51,MT,Central-West,female,18,18,33,33,0
2020,3,Março,51,MT,Central-West,female,19,19,45,45,0
2020,3,Março,51,MT,Central-West,male,15,15,0,0,0
2020,3,Março,51,MT,Central-West,male,16,16,0,0,0
2020,3,Março,51,MT,Central-West,male,17,17,2,2,0
2020,3,Março,51,MT,Central-West,male,18,18,11,11,0
2020,3,Março,51,MT,Central-West,male,19,19,16,16,0
2020,3,Março,52,GO,Central-West,combined,15,15,0,0,0
2020,3,Março,52,GO,Central-West,combined,16,16,12,12,0
2020,3,Março,52,GO,Central-West,combined,17,17,29,29,0
2020,3,Março,52,GO,Central-West,combined,18,18,98,98,0
2020,3,Março,52,GO,Central-West,combined,19,19,93,93,0
2020,3,Março,52,GO,Central-West,female,15,15,0,0,0
