geography_level,geography_value,population,population_se,unweighted_n,year,quarter,population_cv,ci_lower,ci_upper
UF,42,6642061.00000036,60323.608369827,32417,2013,2,0.00908206178320611,6523828.900178,6760293.09982272
UF,43,10977229.9999984,127418.471549942,29792,2013,2,0.0116075249903629,10727494.3847953,11226965.6152014
UF,50,2520107.00000008,41773.0568901196,12235,2013,2,0.0165759060587976,2438233.3129713,2601980.68702886
UF,51,3174451.99999899,54838.9343674892,14226,2013,2,0.0172750869654059,3066969.66368816,3281934.33630982
UF,52,6439052.99999828,97822.5457959069,18781,2013,2,0.0151920702929348,6247324.33336228,6630781.66663428
UF,53,2734772.99999992,42901.2890960473,9962,2013,2,0.0156873309397338,2650688.01848133,2818857.98151851
region,Central-West,14868384.9999973,127130.122616955,55204,2013,2,0.00855036526273552,14619214.5383179,15117555.4616767
region,North,16503148.0000029,186460.422253071,80152,2013,2,0.0112984760394222,16137692.2878447,16868603.712161
region,Northeast,54456636.0000019,308094.486624847,195616,2013,2,0.00565761143646178,53852781.9023818,55060490.097622
region,South,28520820.0000011,187618.542350456,93526,2013,2,0.00657830112705205,28153094.4141623,28888545.5858399
region,Southeast,84309333.9999991,499388.8369677,148218,2013,2,0.00592329239568782,83330549.8652611,85288118.1347372
Brazil,Brazil,199049610.000004,643687.316895086,571446,2013,3,0.00323380345681197,197788006.041584,200311213.958423
UF,11,1628707.00000072,36176.7542427039,10524,2013,3,0.0222119474176067,1557801.86460746,1699612.13539398
UF,12,789485.00000079,14652.154593724,11804,2013,3,0.0185591298045047,760767.304701178,818202.695300402
UF,13,3601631.00000026,68908.9561403191,17198,2013,3,0.0191327085257524,3466571.92775298,3736690.07224754
UF,14,448885.00000203,10967.0164833552,6207,2013,3,0.0244316840244285,427390.042676797,470379.957327263
UF,15,7934703.00000022,105673.385632071,21322,2013,3,0.0133178753674925,7727586.97003695,8141819.02996349
UF,16,719471.99999986,26989.1254244328,4996,2013,3,0.0375124055202121,666574.286193738,772369.713805983
UF,17,1431107.99999975,32010.9803015331,8488,2013,3,0.0223679696441769,1368367.63149892,1493848.36850058
UF,21,6726482.00000076,74345.7682549958,37699,2013,3,0.0110526971238438,6580766.97181801,6872197.02818351
UF,22,3230404.00000007,74715.6941265898,13658,2013,3,0.0231289009444602,3083963.93043204,3376844.0695681
UF,23,8710898.99999892,97323.6626522686,30245,2013,3,0.0111726312809138,8520148.12635695,8901649.87364089
UF,24,3280265.00000034,67798.6800319171,12339,2013,3,0.0206686594015758,3147382.02893843,3413147.97106225
UF,25,3867928.99999938,64144.5834704029,15536,2013,3,0.0165837024077777,3742207.92659407,3993650.07340469
UF,26,9057358.00000034,127337.169001317,22935,2013,3,0.014058974924179,8807781.73486447,9306934.26513621
UF,27,3157487.99999937,35451.361179893,22957,2013,3,0.0112277105027478,3088004.60888386,3226971.39111488
UF,28,2148817.99999924,34469.6254749179,11508,2013,3,0.0160412028728957,2081258.77550782,2216377.22449066
UF,29,14354892.0000001,219119.712769739,28464,2013,3,0.0152644626493698,13925425.2546687,14784358.7453316
UF,31,20243137.0000005,201228.371708328,42858,2013,3,0.00994057253617965,19848736.6387846,20637537.3612165
UF,32,3759054.99999944,39960.6534745964,21539,2013,3,0.0106305051334983,3680733.55839055,3837376.44160833
UF,33,16837330.000001,157383.90530814,39617,2013,3,0.00934731963489045,16528863.2138508,17145796.7861513
UF,35,43617830.0000021,425399.24088935,44239,2013,3,0.00975287493415719,42784062.8088083,44451597.1911959
UF,41,10925469.999998,123683.586721634,31129,2013,3,0.0113206650809216,10683054.6245449,11167885.3754512
UF,42,6670743.00000074,59856.5828460381,31491,2013,3,0.00897300088551328,6553426.25338487,6788059.74661661
UF,43,10987718.0000002,129159.220518241,29515,2013,3,0.0117548721689288,10734570.5795132,11240865.4204872
UF,50,2528407.99999996,40762.619905802,12337,2013,3,0.0161218521321727,2448514.73306909,2608301.26693083
UF,51,3187011.99999987,54849.2539933797,14346,2013,3,0.0172102439505662,3079509.43759396,3294514.56240578
UF,52,6461796.00000018,95246.536619753,18476,2013,3,0.0147399479370364,6275116.21857329,6648475.78142707
UF,53,2742584.99999927,43895.9151660698,10019,2013,3,0.0160053070975308,2656550.58720535,2828619.41279319
region,Central-West,14919800.9999993,125175.021276371,55178,2013,3,0.00838985863661164,14674462.4665336,15165139.533465
region,North,16553991.0000036,138968.136817961,80539,2013,3,0.00839484187335429,16281618.4568418,16826363.5431655
region,Northeast,54534534.9999985,309783.746094609,195341,2013,3,0.00568050586833861,53927370.0146572,55141699.9853399
region,South,28583930.999999,188580.339323091,92135,2013,3,0.00659742494211513,28214320.3267333,28953541.6732646
region,Southeast,84457352.0000032,497819.163156441,148253,2013,3,0.00589432596887979,83481644.3694027,85433059.6306037
Brazil,Brazil,199436407.000013,650834.412729317,569242,2013,4,0.00326336812079289,198160794.991164,200712019.008861
UF,11,1632358.00000009,37784.6320513992,10071,2013,4,0.0231472704219277,1558301.48201025,1706414.51798993
UF,12,792114.99999939,13637.1994763008,11314,2013,4,0.0172161863824209,765386.580175852,818843.419822928
UF,13,3616016.00000046,72740.4871879727,16890,2013,4,0.0201161961639449,3473447.26489414,3758584.73510678
UF,14,451828.00000029,11101.1210056613,6119,2013,4,0.0245693516241893,430070.202641173,473585.797359407
UF,15,7955023.00000128,109842.03269973,21497,2013,4,0.0138078837358123,7739736.57192114,8170309.42808142
UF,16,722217.00000012,26654.4693414995,4948,2013,4,0.0369064551810537,669975.200063754,774458.799936486
UF,17,1434762.99999949,29743.9830035305,8500,2013,4,0.0207309381434711,1376465.8645558,1493060.13544318
UF,21,6736216.00000719,71649.4003491498,38047,2013,4,0.0106364463890519,6595785.75580896,6876646.24420542
UF,22,3234529.9999997,77829.5940350629,13513,2013,4,0.0240621030057134,3081986.7987596,3387073.2012398
UF,23,8725254.00000196,95816.7190262351,30029,2013,4,0.0109815392223783,8537456.68159374,8913051.31841017
UF,24,3285908.99999978,63387.4245497482,12272,2013,4,0.0192906816803972,3161671.93080952,3410146.06919004
UF,25,3874413.00000104,63394.0829174031,15627,2013,4,0.0163622419492672,3750162.88064998,3998663.1193521
UF,26,9071361.00000004,131762.440987048,22791,2013,4,0.0145251016894871,8813111.36115034,9329610.63884974
UF,27,3159808.99999961,35982.2141666404,23219,2013,4,0.0113874649279893,3089285.15614899,3230332.84385023
UF,28,2153376.99999912,37597.9259188569,11634,2013,4,0.0174599830493556,2079686.41930476,2227067.58069348
UF,29,14370478.0000005,215762.260287123,28499,2013,4,0.0150142716398936,13947591.7406148,14793364.2593862
UF,31,20273732.0000019,203246.429984575,42460,2013,4,0.010025111804011,19875376.3172458,20672087.682758
UF,32,3768596.99999967,41254.7159696893,21470,2013,4,0.0109469693813621,3687739.24250665,3849454.75749269
UF,33,16856407.9999988,156288.262054093,40003,2013,4,0.00927174176456242,16550088.6351664,17162727.3648312
UF,35,43704019.0000004,431264.366906663,43125,2013,4,0.00986784228943931,42858756.3730478,44549281.6269529
UF,41,10949281.0000015,133850.426571509,31008,2013,4,0.012224585940528,10686938.984606,11211623.015397
UF,42,6699651.99999984,58198.3076648853,31699,2013,4,0.00868676577005593,6585585.41301548,6813718.5869842
UF,43,10997986.0000013,127096.634180875,29670,2013,4,0.0115563553345913,10748881.1744505,11247090.8255521
UF,50,2536650.9999985,41431.0605928823,12284,2013,4,0.0163329762718272,2455447.61339515,2617854.38660185
UF,51,3199666.00000117,56975.8348808138,14011,2013,4,0.0178068069857269,3087995.41564567,3311336.58435667
UF,52,6484463.99999938,99837.1706913406,18789,2013,4,0.0153963644013368,6288786.74112597,6680141.25887279
UF,53,2750284.00000018,45303.4248909981,9753,2013,4,0.0164722715512271,2661490.91883751,2839077.08116285
region,Central-West,14971064.9999992,130317.456623136,54837,2013,4,0.00870462165671868,14715647.478461,15226482.5215374
region,North,16604320.0000011,143834.983231278,79339,2013,4,0.00866250368767091,16322408.6131509,16886231.3868513
region,Northeast,54611347.000009,308272.150626364,195631,2013,4,0.00564483697181675,54007144.6873446,55215549.3126734
region,South,28646919.0000027,193536.906373277,92377,2013,4,0.00675594141112555,28267593.6338317,29026244.3661736
region,Southeast,84602756.0000008,503414.379920268,147058,2013,4,0.00595033074242006,83616081.9460575,85589430.0539441
Brazil,Brazil,199818833.000246,871570.769131391,573480,2014,1,0.0043618049212124,198110585.68277,201527080.317721
UF,11,1635956.00000013,46112.5836527879,9900,2014,1,0.0281869339106824,1545576.99680658,1726335.00319368
UF,12,794685.99999931,21355.8262799674,11339,2014,1,0.0268732886699727,752829.34963048,836542.65036814
UF,13,3630279.00000084,97460.9736683332,16891,2014,1,0.0268466896534152,3439259.0017127,3821298.99828898
UF,14,454851.00000017,12266.0780720842,6611,2014,1,0.026967244376905,430809.928747328,478892.071253012
UF,15,7975118.00000254,132295.210811448,21946,2014,1,0.0165884957202396,7715824.15148497,8234411.84852011
UF,16,724899.00000047,33769.2398572056,4953,2014,1,0.046584751609788,658712.506095053,791085.493905888
UF,17,1438389.00000042,47289.0489974406,8572,2014,1,0.0328763978293958,1345704.16710229,1531073.83289855
UF,21,6745722.00021209,86918.5922556023,39058,2014,1,0.0128849947052176,6575364.68980419,6916079.31061999
UF,22,3238640.00000092,83848.3503366238,13618,2014,1,0.0258899878765778,3074300.25317804,3402979.7468238
UF,23,8739486.0000024,143099.973330989,29998,2014,1,0.0163739576138631,8459015.20608502,9019956.79391978
UF,24,3291467.0000006,74988.69632518,12317,2014,1,0.0227827580605142,3144491.85595564,3438442.14404556
UF,25,3880877.0000004,68599.5714648282,15751,2014,1,0.0176763065319568,3746424.31057446,4015329.68942635
UF,26,9085138.00000196,161091.493918445,22748,2014,1,0.0177313205279227,8769404.47370605,9400871.52629786
UF,27,3162086.0000006,47982.9721534937,23058,2014,1,0.0151744677891381,3068041.10270856,3256130.89729264
UF,28,2157859.00000015,47354.7161276452,11546,2014,1,0.021945231883845,2065045.46189185,2250672.53810845
UF,29,14385831.0000026,319573.491945218,28661,2014,1,0.0222144617120249,13759478.4653762,15012183.5346289
UF,31,20304074.0000032,242273.380168809,42533,2014,1,0.0119322545893386,19829226.9004596,20778921.0995468
UF,32,3778068.00000035,54142.1325949227,21407,2014,1,0.0143306400506602,3671951.37006811,3884184.62993259
UF,33,16874958.0000024,186178.692587993,40337,2014,1,0.0110328388721303,16510054.4678412,17239861.5321637
UF,35,43788542.000005,608534.065577656,43726,2014,1,0.0138971072747201,42595837.1481071,44981246.8519029
UF,41,10972980.0000003,159150.011081662,31121,2014,1,0.0145038094557411,10661051.7101411,11284908.2898595
UF,42,6728785.00000097,81494.032014664,31968,2014,1,0.0121112551544822,6569059.63229727,6888510.36770467
UF,43,11007969.000001,147300.102568307,29600,2014,1,0.0133812243265124,10719266.104048,11296671.8959539
UF,50,2544833.00000089,51329.8969066492,12385,2014,1,0.0201702417827147,2444228.2507337,2645437.74926808
UF,51,3212423.00000358,81549.8854818759,14001,2014,1,0.0253857868287536,3052588.16151574,3372257.83849142
UF,52,6507046.00000076,125346.580729641,19293,2014,1,0.0192632080255198,6261371.21618542,6752720.7838161
UF,53,2757871.00000179,56942.9889660587,10142,2014,1,0.0206474447013735,2646264.79245625,2869477.20754733
region,Central-West,15022173.000007,168045.861096176,55821,2014,1,0.0111865214903395,14692809.1645075,15351536.8355065
region,North,16654178.0000039,181962.024241727,80212,2014,1,0.0109259084562255,16297538.9859361,17010817.0140717
region,Northeast,54687106.0002217,421917.902684937,196755,2014,1,0.00771512580466824,53860162.1065265,55514049.8939168
region,South,28709734.0000022,231662.089039044,92689,2014,1,0.00806911304155678,28255684.6489024,29163783.3511021
region,Southeast,84745642.000011,683084.164508732,148003,2014,1,0.00806040462244233,83406821.6391643,86084462.3608577
Brazil,Brazil,200184547.000122,897537.287043816,572622,2014,2,0.00448354930734623,198425406.242734,201943687.75751
UF,11,1639363.99999996,42483.8455938312,9958,2014,2,0.0259148337976387,1556097.19271129,1722630.80728863
UF,12,797123.99999971,20862.7381874538,11787,2014,2,0.0261725129182679,756233.784533412,838014.215466008
UF,13,3643981.0000011,95187.8721641065,17009,2014,2,0.026121945247266,3457416.19879445,3830545.80120775
UF,14,457855.00000083,12389.6881928565,6539,2014,2,0.0270602880668203,433571.65736315,482138.34263851
UF,15,7994331.00000512,135523.953188053,21660,2014,2,0.0169525071188529,7728708.93271404,8259953.0672962
UF,16,727447.00000198,34964.8538600417,4790,2014,2,0.0480651564443135,658917.145711592,795976.854292368
UF,17,1441868.00000087,45721.6430149297,8605,2014,2,0.0317100060580456,1352255.22637761,1531480.77362413
UF,21,6754695.0000595,89222.2686262088,38724,2014,2,0.0132089263283424,6579822.56693317,6929567.43318583
UF,22,3242563.00000215,77893.2071593936,13731,2014,2,0.0240221106449873,3089895.11932942,3395230.88067488
UF,23,8753139.0000035,139937.537047042,30660,2014,2,0.0159871261095004,8478866.46730606,9027411.53270094
UF,24,3296746.00000116,76654.6661370098,11889,2014,2,0.0232516142089754,3146505.61512568,3446986.38487664
UF,25,3887111.00000036,73907.4811497708,15509,2014,2,0.0190134732838254,3742254.99875874,4031967.00124198
UF,26,9098271.00000938,154364.846675523,22433,2014,2,0.0169663935791057,8795721.46004631,9400820.53997245
UF,27,3164227.0000001,52694.9198677893,22709,2014,2,0.0166533310877467,3060946.85489101,3267507.14510919
UF,28,2162142.00000094,43856.4971744688,11605,2014,2,0.020283819089796,2076184.8450509,2248099.15495098
UF,29,14400487.0000041,295637.4909211,28681,2014,2,0.0205296870113501,13821048.1653189,14979925.8346892
UF,31,20333197.000005,241145.280392765,42434,2014,2,0.0118596834719452,19860560.9353934,20805833.0646166
UF,32,3787146.00000096,53508.1091596944,21249,2014,2,0.0141288741336301,3682272.03316712,3892019.9668348
UF,33,16892385.0000032,201945.434418258,40422,2014,2,0.0119548207324318,16496579.2217011,17288190.7783053
UF,35,43868732.000007,652684.285995832,44245,2014,2,0.0148781206166553,42589494.3061799,45147969.6938341
UF,41,10995734.0000021,162237.454980789,30949,2014,2,0.0147545816387298,10677754.4312963,11313713.5687079
UF,42,6757164.00000112,81625.4284282677,31652,2014,2,0.0120798353315465,6597181.10005906,6917146.89994318
UF,43,11017413.0000034,148461.39968083,29917,2014,2,0.0134751597022626,10726434.0035345,11308391.9964722
UF,50,2552691.99999967,51491.7321267343,12288,2014,2,0.0201715413088382,2451770.05952969,2653613.94046965
UF,51,3224829.00000332,81014.6681478038,14247,2014,2,0.0251221593913105,3066043.16821416,3383614.83179248
UF,52,6528801.00000465,126508.852917608,19044,2014,2,0.0193770422651139,6280848.20456066,6776753.79544864
UF,53,2765103.00000069,59359.0602438877,9886,2014,2,0.0214672148718774,2648761.37976653,2881444.62023485
region,Central-West,15071425.0000083,169536.906991005,55465,2014,2,0.0112488969683299,14739138.7682556,15403711.231761
region,North,16701970.0000096,182027.794292305,80348,2014,2,0.0108985822805454,16345202.0790114,17058737.9210078
region,Northeast,54759381.0000812,401097.134965116,195941,2014,2,0.00732472003225385,53973245.0612473,55545516.938915
region,South,28770311.0000066,234572.994097643,92518,2014,2,0.00815330060553009,28310556.3798295,29230065.6201837
region,Southeast,84881460.0000162,726493.56478211,148350,2014,2,0.00855891928322123,83457558.7780431,86305361.2219892
Brazil,Brazil,200558258.000103,896778.300526782,576414,2014,3,0.00447141049921925,198800604.828953,202315911.171252
UF,11,1642830.00000133,42864.4209897935,9937,2014,3,0.0260918177716251,1558817.27864317,1726842.72135949
UF,12,799593.00000089,21162.7475414213,11680,2014,3,0.0264668994618483,758114.777005791,841071.222995989
UF,13,3658028.0000023,98182.3329295676,17128,2014,3,0.0268402354846671,3465594.16354223,3850461.83646237
UF,14,461037.00000052,13086.3871456452,6669,2014,3,0.0283846787690152,435388.152507308,486685.847493733
UF,15,8013966.00000761,137219.304486304,21654,2014,3,0.0171225214190045,7745021.10523082,8282910.8947844
UF,16,730026.00000221,35796.5824193412,4718,2014,3,0.0490346678326976,659865.987690682,800186.012313739
UF,17,1445429.99999974,49048.8007041702,8534,2014,3,0.0339337087954305,1349296.11713468,1541563.8828648
UF,21,6763753.00004922,89082.9121680706,38958,2014,3,0.0131706335472958,6589153.70056186,6938352.29953658
UF,22,3246587.00000118,78793.6829751376,13728,2014,3,0.0242696970619019,3092154.21916064,3401019.78084172
UF,23,8767124.99999986,142913.371085528,31231,2014,3,0.0163010532056438,8487019.93976302,9047230.0602367
UF,24,3302116.00000154,74821.2693232678,11780,2014,3,0.022658582958089,3155469.00685036,3448762.99315272
UF,25,3893522.00000022,75118.7499005311,15667,2014,3,0.0192932645302959,3746291.95563151,4040752.04436893
UF,26,9111640.00000851,153513.021030553,22640,2014,3,0.0168480121065374,8810760.00763069,9412519.99238633
UF,27,3166393.00000045,51461.5801946224,22571,2014,3,0.0162524298767131,3065530.15623147,3267255.84376943
UF,28,2166504.99999915,44055.9344344026,11890,2014,3,0.0203350255062508,2080156.95520246,2252853.04479584
UF,29,14415381.0000028,291190.536982864,28929,2014,3,0.0201999889550478,13844658.0348775,14986103.9651281
UF,31,20363021.0000055,240273.003532467,42408,2014,3,0.0117994772746343,19892094.5666246,20833947.4333864
UF,32,3796452.99999945,54344.1918483793,21326,2014,3,0.0143144645405559,3689940.34120769,3902965.65879121
UF,33,16909898.0000058,209026.878447422,40684,2014,3,0.0123612146239646,16500212.846448,17319583.1535635
UF,35,43949988.0000041,649252.788838622,44874,2014,3,0.0147725362027075,42677475.9170182,45222500.08299
UF,41,11019143.0000018,164589.071825747,30809,2014,3,0.0149366490502683,10696554.3469744,11341731.6530291
