year,geography_level,geography_value,age,sex,sex_code,population,population_se,unweighted_n,population_cv,ci_lower,ci_upper,precision_pass,fixed_denominator_simplification
2024,UF,43,15,male,1,66710.32618616,7172.70079878024,110,0.107520097844587,52652.0909486691,80768.561423651,TRUE,TRUE
2024,UF,43,16,male,1,79271.44050416,9124.86786510038,122,0.115109146586298,61387.0281248764,97155.8528834436,TRUE,TRUE
2024,UF,43,17,male,1,61429.08467155,7101.39759838438,101,0.115603181072195,47510.6011388174,75347.5682042826,TRUE,TRUE
2024,UF,43,18,male,1,70315.87438313,6778.06721676421,129,0.0963945521011737,57031.1067534805,83600.6420127795,TRUE,TRUE
2024,UF,43,19,male,1,67245.35149143,7538.12664029069,115,0.112098851044765,52470.8947655583,82019.8082173017,TRUE,TRUE
2024,UF,50,14,combined,,47426.56737909,3924.71365797807,139,0.0827534834348658,39734.2699598205,55118.8647983595,TRUE,TRUE
2024,UF,50,15,combined,,38815.58726236,4518.63732621041,116,0.116412957909623,29959.2208437892,47671.9536809308,TRUE,TRUE
2024,UF,50,16,combined,,45172.8722,4798.47164181095,125,0.106224630140099,35768.0406012138,54577.7037987863,TRUE,TRUE
2024,UF,50,17,combined,,46917.20583894,4227.73108920242,138,0.0901104618999608,38631.005167783,55203.406510097,TRUE,TRUE
2024,UF,50,18,combined,,39890.61077945,4724.39561763158,106,0.118433774898864,30630.9655201732,49150.2560387268,TRUE,TRUE
2024,UF,50,19,combined,,40041.11856003,3681.1345310722,118,0.091933858579735,32826.2274568818,47256.0096631783,TRUE,TRUE
2024,UF,50,14,female,2,22244.46699056,2502.20243473036,69,0.112486508927916,17340.2403364601,27148.6936446599,TRUE,TRUE
2024,UF,50,15,female,2,18345.54106242,2965.62606668024,51,0.16165378042489,12533.0207801136,24158.0613447265,TRUE,TRUE
2024,UF,50,16,female,2,25668.23015252,2970.70226747326,73,0.11573459680786,19845.7606994809,31490.6996055591,TRUE,TRUE
2024,UF,50,17,female,2,25560.74061351,2913.00453015654,75,0.113964011223403,19851.3566476012,31270.1245794188,TRUE,TRUE
2024,UF,50,18,female,2,16359.79558906,2734.55688858436,45,0.16715104254805,11000.1625737587,21719.4286043613,TRUE,TRUE
2024,UF,50,19,female,2,23713.36092748,3124.57792282607,70,0.131764448421362,17589.3007318519,29837.4211231081,TRUE,TRUE
2024,UF,50,14,male,1,25182.10038853,3283.57930976166,70,0.130393384948035,18746.4032010163,31617.7975760437,TRUE,TRUE
2024,UF,50,15,male,1,20470.04619994,3130.88885578781,65,0.152949769883616,14333.6168029981,26606.4755968819,TRUE,TRUE
2024,UF,50,16,male,1,19504.64204748,3772.36052212477,52,0.193408344174774,12110.9512874147,26898.3328075453,TRUE,TRUE
2024,UF,50,17,male,1,21356.46522543,2911.5278700742,63,0.136330045227116,15649.9754601,27062.9549907601,TRUE,TRUE
2024,UF,50,18,male,1,23530.81519039,3722.76569621586,61,0.158208105673119,16234.3285029257,30827.3018778543,TRUE,TRUE
2024,UF,50,19,male,1,16327.75763255,2416.07557503276,48,0.147973508022695,11592.3365215589,21063.1787435411,TRUE,TRUE
2024,UF,51,14,combined,,56633.45471843,5098.52749150957,151,0.0900267786392055,46640.5244608839,66626.3849759761,TRUE,TRUE
2024,UF,51,15,combined,,55448.90592115,5337.51130809459,141,0.0962599932212314,44987.5759902093,65910.2358520907,TRUE,TRUE
2024,UF,51,16,combined,,60038.40849923,6329.83448253009,155,0.105429751400077,47632.1608853713,72444.6561130887,TRUE,TRUE
2024,UF,51,17,combined,,58575.28328652,7826.20285283155,155,0.133609304363921,43236.2075592656,73914.3590137745,TRUE,TRUE
2024,UF,51,18,combined,,58275.56075492,5449.65677238221,167,0.0935153038732813,47594.4297529461,68956.6917568939,TRUE,TRUE
2024,UF,51,19,combined,,44697.3090212,5500.29174927077,119,0.123056440526699,33916.9352881665,55477.6827542335,TRUE,TRUE
2024,UF,51,14,female,2,31358.69683041,3819.57195041409,85,0.121802636476592,23872.473371239,38844.920289581,TRUE,TRUE
2024,UF,51,15,female,2,22458.45742284,3013.07575253177,66,0.134162186467335,16552.9374651868,28363.9773804932,TRUE,TRUE
2024,UF,51,16,female,2,30882.86901138,5059.77827150704,75,0.163837701401465,20965.8858294679,40799.8521932921,TRUE,TRUE
2024,UF,51,17,female,2,26350.44009792,4720.28116266805,72,0.179134813123696,17098.8590221878,35602.0211736522,TRUE,TRUE
2024,UF,51,18,female,2,30037.04043151,4017.82246952788,78,0.133762261920886,22162.2530949596,37911.8277680604,TRUE,TRUE
2024,UF,51,19,female,2,21838.84767881,3648.88686483024,56,0.167082389991241,14687.1608400815,28990.5345175385,TRUE,TRUE
2024,UF,51,14,male,1,25274.75788802,3626.00473450486,66,0.143463480464181,18167.9192006188,32381.5965754213,TRUE,TRUE
2024,UF,51,15,male,1,32990.44849831,4654.4665199344,75,0.141085275641913,23867.8617519911,42113.0352446289,TRUE,TRUE
2024,UF,51,16,male,1,29155.53948785,3862.20440259121,80,0.13246897400752,21585.7579578392,36725.3210178608,TRUE,TRUE
2024,UF,51,17,male,1,32224.8431886,4817.10120140551,83,0.149484085095863,22783.4983239606,41666.1880532394,TRUE,TRUE
2024,UF,51,18,male,1,28238.52032341,3734.74340264066,89,0.132257050293975,20918.5577627357,35558.4828840843,TRUE,TRUE
2024,UF,51,19,male,1,22858.46134239,3524.57599097444,63,0.154191305275577,15950.4193393055,29766.5033454745,TRUE,TRUE
2024,UF,52,14,combined,,99705.89823018,9395.85231149254,171,0.0942356718937667,81290.3660955972,118121.430364763,TRUE,TRUE
2024,UF,52,15,combined,,94509.86495433,8985.10619849992,154,0.0950705643568721,76899.3804080026,112120.349500657,TRUE,TRUE
2024,UF,52,16,combined,,101384.54302768,9335.29663433373,162,0.0920781053556162,83087.6978393879,119681.388215972,TRUE,TRUE
2024,UF,52,17,combined,,102982.99002608,9064.33206884012,165,0.0880177596955052,85217.225627242,120748.754424918,TRUE,TRUE
2024,UF,52,18,combined,,109950.29112408,9051.53873313805,182,0.0823239178414116,92209.6012024601,127690.9810457,TRUE,TRUE
2024,UF,52,19,combined,,93671.15720405,8501.27206137885,145,0.0907565606653067,77008.9701409709,110333.344267129,TRUE,TRUE
2024,UF,52,14,female,2,48129.46428275,6655.63459012434,82,0.138286072560957,35084.6601918473,61174.2683736527,TRUE,TRUE
2024,UF,52,15,female,2,41433.55140507,6174.28072408747,69,0.149016449585153,29332.1835554187,53534.9192547213,TRUE,TRUE
2024,UF,52,16,female,2,51809.91390584,6821.61466644124,81,0.131666203476789,38439.794843205,65180.0329684751,TRUE,TRUE
2024,UF,52,17,female,2,47209.99820372,6416.69113682882,76,0.135918055093745,34633.5146756182,59786.4817318219,TRUE,TRUE
2024,UF,52,18,female,2,56474.02857653,6269.40851186205,94,0.111014012456472,44186.2136889115,68761.8434641485,TRUE,TRUE
2024,UF,52,19,female,2,50835.59443783,6458.63065586181,79,0.127049378044757,38176.9109628945,63494.2779127655,TRUE,TRUE
2024,UF,52,14,male,1,51576.43394743,6543.38294161708,89,0.126867688221456,38751.6390448068,64401.2288500532,TRUE,TRUE
2024,UF,52,15,male,1,53076.31354926,6234.66860910107,85,0.117466119859939,40856.5876198795,65296.0394786405,TRUE,TRUE
2024,UF,52,16,male,1,49574.62912184,6301.96768331496,81,0.127120823593588,37222.9994308074,61926.2588128727,TRUE,TRUE
2024,UF,52,17,male,1,55772.99182236,6919.02225702321,89,0.124056860335925,42211.9573903635,69334.0262543565,TRUE,TRUE
2024,UF,52,18,male,1,53476.26254755,6347.52332925122,88,0.118697961055284,41035.3454311898,65917.1796639102,TRUE,TRUE
2024,UF,52,19,male,1,42835.56276622,5826.22320012849,66,0.136013695721141,31416.3751280765,54254.7504043635,TRUE,TRUE
2024,UF,53,14,combined,,54068.02407507,5521.37462407917,120,0.102119038350895,43246.3286667215,64889.7194834186,TRUE,TRUE
2024,UF,53,15,combined,,41770.68701081,3887.59013443854,102,0.0930698155247592,34151.1503606572,49390.2236609628,TRUE,TRUE
2024,UF,53,16,combined,,42153.65532388,4778.13779418337,97,0.113350497304953,32788.6773341109,51518.6333136491,TRUE,TRUE
2024,UF,53,17,combined,,45894.39911731,5237.15199205315,104,0.114113096429622,35629.7698313236,56159.0284032964,TRUE,TRUE
2024,UF,53,18,combined,,45874.59935099,4890.78348636133,105,0.106612015266697,36288.8398615386,55460.3588404415,TRUE,TRUE
2024,UF,53,19,combined,,32634.70325036,3962.83146250511,84,0.121429983049145,24867.6963070478,40401.7101936722,TRUE,TRUE
2024,UF,53,14,female,2,26332.40804119,4168.99713535057,56,0.158321909976076,18161.3238042522,34503.4922781278,TRUE,TRUE
2024,UF,53,15,female,2,21344.42375328,2973.62910470698,54,0.139316438760733,15516.2178046742,27172.6297018858,TRUE,TRUE
2024,UF,53,16,female,2,22830.83279584,3845.47855983831,47,0.168433565005083,15293.833315236,30367.832276444,TRUE,TRUE
2024,UF,53,17,female,2,22669.95389264,3547.7618897057,54,0.156496211086583,15716.4683630931,29623.4394221869,TRUE,TRUE
2024,UF,53,18,female,2,26375.99807423,3765.41100673485,59,0.1427589961198,18995.928114039,33756.068034421,TRUE,TRUE
2024,UF,53,19,female,2,14245.89861172,2295.19995799467,39,0.161113034744359,9747.38935673261,18744.4078667074,TRUE,TRUE
2024,UF,53,14,male,1,27735.61603388,3700.87490778968,64,0.133434025884586,20482.0345033242,34989.1975644358,TRUE,TRUE
2024,UF,53,15,male,1,20426.26325753,3043.76033929148,48,0.149012097852475,14460.6026149473,26391.9239001127,TRUE,TRUE
2024,UF,53,16,male,1,19322.82252804,2919.67238025188,50,0.151099684117838,13600.36981609,25045.27523999,TRUE,TRUE
2024,UF,53,17,male,1,23224.44522467,4176.54764480388,50,0.179834118938065,15038.5622611388,31410.3281882012,TRUE,TRUE
2024,UF,53,18,male,1,19498.60127676,3148.81823930612,46,0.161489441966237,13327.0309338572,25670.1716196628,TRUE,TRUE
2024,UF,53,19,male,1,18388.80463864,3323.23828912498,45,0.180720734948803,11875.3772799105,24902.2319973695,TRUE,TRUE
2012,region,Central-West,14,combined,,250064.49752351,10312.2494185034,735,0.0412383585860038,229852.860063649,270276.134983371,TRUE,TRUE
2012,region,Central-West,15,combined,,268527.73351974,10891.635611693,792,0.04056056135778,247180.519988088,289874.947051392,TRUE,TRUE
2012,region,Central-West,16,combined,,258266.45621592,10272.6097047374,772,0.0397752377728416,238132.511167398,278400.401264442,TRUE,TRUE
2012,region,Central-West,17,combined,,265085.37576415,10293.3310868759,784,0.0388302487725088,244910.817552927,285259.933975373,TRUE,TRUE
2012,region,Central-West,18,combined,,244574.23088648,10351.7051045943,743,0.0423254120725379,224285.261702896,264863.200070064,TRUE,TRUE
2012,region,Central-West,19,combined,,253042.53584514,10386.8122095525,741,0.0410476925346226,232684.758000236,273400.313690044,TRUE,TRUE
2012,region,Central-West,14,female,2,123037.64106668,7390.74340915406,362,0.0600689621897795,108552.050165761,137523.231967599,TRUE,TRUE
2012,region,Central-West,15,female,2,131994.41122212,7448.08674754122,385,0.056427288690334,117396.429443209,146592.393001031,TRUE,TRUE
2012,region,Central-West,16,female,2,122074.59213169,6690.45799389926,368,0.0548063104456807,108961.535423569,135187.648839811,TRUE,TRUE
2012,region,Central-West,17,female,2,129654.47503312,7589.49199298614,377,0.0585362903289486,114779.344065912,144529.606000328,TRUE,TRUE
2012,region,Central-West,18,female,2,128763.84742363,7695.48737724258,377,0.0597643479223218,113680.969320752,143846.725526508,TRUE,TRUE
2012,region,Central-West,19,female,2,127913.36713998,7406.75675664315,366,0.0579044780248625,113396.390654711,142430.343625249,TRUE,TRUE
2012,region,Central-West,14,male,1,127026.85645683,7557.1130096757,373,0.0594922461317775,112215.187130767,141838.525782894,TRUE,TRUE
2012,region,Central-West,15,male,1,136533.32229762,7647.01522065565,407,0.0560084167877086,121545.447875905,151521.196719335,TRUE,TRUE
2012,region,Central-West,16,male,1,136191.86408423,7757.48478515917,404,0.0569599721490076,120987.473294701,151396.254873759,TRUE,TRUE
2012,region,Central-West,17,male,1,135430.90073103,7519.03015359433,407,0.0555193099433589,120693.872431314,150167.929030746,TRUE,TRUE
2012,region,Central-West,18,male,1,115810.38346285,6666.52486659066,366,0.0575641377504735,102744.234822292,128876.532103408,TRUE,TRUE
2012,region,Central-West,19,male,1,125129.16870516,7273.43101883825,375,0.0581273822411186,110873.505864201,139384.831546119,TRUE,TRUE
2012,region,North,14,combined,,343782.14250138,11103.0656781673,1355,0.0322968074996005,322020.533654189,365543.751348571,TRUE,TRUE
2012,region,North,15,combined,,341290.51937848,11116.9253340016,1381,0.032573202895429,319501.746105016,363079.292651944,TRUE,TRUE
2012,region,North,16,combined,,343263.49277711,11251.4878675784,1325,0.0327779915555548,321210.981784167,365316.003770053,TRUE,TRUE
2012,region,North,17,combined,,339550.73236586,11464.7939583577,1320,0.0337645979393871,317080.149117307,362021.315614414,TRUE,TRUE
2012,region,North,18,combined,,352557.0174708,12206.7703355717,1301,0.0346235352883955,328632.187245528,376481.847696073,TRUE,TRUE
2012,region,North,19,combined,,301101.44983107,11341.4258725941,1128,0.0376664605200577,278872.663587455,323330.236074685,TRUE,TRUE
2012,region,North,14,female,2,173881.80927016,8086.78588513027,669,0.0465073714097709,158032.000184618,189731.618355702,TRUE,TRUE
2012,region,North,15,female,2,169818.24454876,8048.5784093459,697,0.0473952514980503,154043.320739695,185593.168357825,TRUE,TRUE
2012,region,North,16,female,2,177857.62078669,8636.20857755983,651,0.0485568655386293,160930.963011697,194784.278561683,TRUE,TRUE
2012,region,North,17,female,2,175519.17311232,8035.64061126259,653,0.0457821243615383,159769.606921538,191268.739303102,TRUE,TRUE
2012,region,North,18,female,2,180991.55661811,8884.65448857062,643,0.049088778805948,163577.953805429,198405.159430791,TRUE,TRUE
2012,region,North,19,female,2,151106.78132441,7730.35646103467,557,0.0511582365349866,135955.561073126,166258.001575694,TRUE,TRUE
2012,region,North,14,male,1,169900.33323122,7686.83113417747,686,0.0452431786800344,154834.421052991,184966.245409449,TRUE,TRUE
2012,region,North,15,male,1,171472.27482972,8046.31862359108,684,0.0469248957686101,155701.780119348,187242.769540092,TRUE,TRUE
2012,region,North,16,male,1,165405.87199042,7763.41023980112,674,0.0469355177441993,150189.8675232,180621.87645764,TRUE,TRUE
2012,region,North,17,male,1,164031.55925354,7974.48581881486,667,0.0486155582200427,148401.854253438,179661.264253643,TRUE,TRUE
2012,region,North,18,male,1,171565.46085269,8243.215214349,658,0.0480470554701381,155409.055915753,187721.865789627,TRUE,TRUE
2012,region,North,19,male,1,149994.66850666,7815.44846367804,571,0.0521048417352982,134676.670994822,165312.666018498,TRUE,TRUE
2012,region,Northeast,14,combined,,1040578.02452865,23780.8504229621,3061,0.0228535005183625,993968.41417791,1087187.63487939,TRUE,TRUE
2012,region,Northeast,15,combined,,1051259.99046407,23616.5111586525,3168,0.0224649576440431,1004972.47915262,1097547.50177552,TRUE,TRUE
2012,region,Northeast,16,combined,,1078820.28011024,23545.5279591132,3200,0.0218252552285235,1032671.8933134,1124968.66690708,TRUE,TRUE
2012,region,Northeast,17,combined,,1054196.16354978,23211.1665141393,3116,0.022017881791545,1008703.11314291,1099689.21395666,TRUE,TRUE
2012,region,Northeast,18,combined,,1024241.11914028,24468.5326422533,2916,0.0238894262151782,976283.676406921,1072198.56187364,TRUE,TRUE
2012,region,Northeast,19,combined,,921399.34828974,22144.4203548482,2622,0.0240334664832916,877997.081935722,964801.614643758,TRUE,TRUE
2012,region,Northeast,14,female,2,519732.12133344,16349.5387009237,1489,0.0314576260150649,487687.614315786,551776.628351094,TRUE,TRUE
2012,region,Northeast,15,female,2,549848.29769665,17632.5064626192,1599,0.0320679477166391,515289.220072747,584407.375320553,TRUE,TRUE
2012,region,Northeast,16,female,2,523831.25746007,16223.1567051893,1558,0.0309701959822929,492034.45460235,555628.060317791,TRUE,TRUE
2012,region,Northeast,17,female,2,517616.36844134,15970.6053838213,1496,0.0308541351424268,486314.557077749,548918.179804931,TRUE,TRUE
2012,region,Northeast,18,female,2,504734.59440853,17182.4841972595,1421,0.0340426124692219,471057.544216973,538411.644600087,TRUE,TRUE
2012,region,Northeast,19,female,2,460430.64072895,15618.2033339548,1302,0.0339208600653253,429819.524691175,491041.756766725,TRUE,TRUE
2012,region,Northeast,14,male,1,520845.90319521,16262.5677010335,1572,0.0312233764368083,488971.85620504,552719.95018538,TRUE,TRUE
2012,region,Northeast,15,male,1,501411.69276742,15341.668836171,1569,0.0305969506843695,471342.574385785,531480.811149056,TRUE,TRUE
2012,region,Northeast,16,male,1,554989.02265017,16553.5185899471,1642,0.0298267495650655,522544.72239646,587433.322903881,TRUE,TRUE
2012,region,Northeast,17,male,1,536579.79510844,16537.14229897,1620,0.0308195397026232,504167.591795245,568991.998421635,TRUE,TRUE
2012,region,Northeast,18,male,1,519506.52473175,17298.3718150493,1495,0.0332976988575483,485602.338983071,553410.710480429,TRUE,TRUE
2012,region,Northeast,19,male,1,460968.70756079,15349.6401338971,1320,0.0332986597183994,430883.965722701,491053.449398879,TRUE,TRUE
2012,region,South,14,combined,,442125.26201241,15512.4529009423,1162,0.0350861039478601,411721.413014689,472529.111010131,TRUE,TRUE
2012,region,South,15,combined,,474057.06139471,14935.5218126849,1245,0.0315057469426645,444783.976551535,503330.146237885,TRUE,TRUE
2012,region,South,16,combined,,492160.16441649,15890.8008676541,1274,0.0322878648386636,461014.76703039,523305.56180259,TRUE,TRUE
2012,region,South,17,combined,,489999.08642867,15510.6733870871,1280,0.0316544945014811,459598.725214015,520399.447643325,TRUE,TRUE
2012,region,South,18,combined,,481061.53184562,15560.9422808316,1254,0.0323470933565008,450562.645409684,511560.418281557,TRUE,TRUE
2012,region,South,19,combined,,451730.20306268,14926.8154582266,1182,0.0330436516244088,422474.18236068,480986.22376468,TRUE,TRUE
2012,region,South,14,female,2,210002.16001457,9955.13604034265,568,0.0474049221191437,190490.451914302,229513.868114838,TRUE,TRUE
2012,region,South,15,female,2,236117.57829279,10685.5499354599,609,0.0452552072265015,215174.285264284,257060.871321296,TRUE,TRUE
2012,region,South,16,female,2,256886.41460927,11406.3335974924,651,0.0444022453069061,234530.411562536,279242.417656004,TRUE,TRUE
2012,region,South,17,female,2,255710.94285169,11574.6564242102,644,0.045264611264303,233025.033126813,278396.852576567,TRUE,TRUE
2012,region,South,18,female,2,244042.13643632,11383.9366147852,616,0.0466474223714873,221730.030669054,266354.242203586,TRUE,TRUE
2012,region,South,19,female,2,238404.60691551,10766.0554686477,603,0.0451587559818554,217303.5259414,259505.68788962,TRUE,TRUE
2012,region,South,14,male,1,232123.10199784,11229.2587225341,594,0.0483763081997698,210114.159328591,254132.044667089,TRUE,TRUE
2012,region,South,15,male,1,237939.48310192,10934.0014191016,636,0.0459528669918899,216509.234113571,259369.732090269,TRUE,TRUE
2012,region,South,16,male,1,235273.74980722,10618.2674061113,623,0.0451315432121593,214462.328113026,256085.171501414,TRUE,TRUE
2012,region,South,17,male,1,234288.14357698,10310.2919148671,636,0.0440068872349038,214080.342753746,254495.944400214,TRUE,TRUE
2012,region,South,18,male,1,237019.3954093,10375.9343900446,638,0.0437767313182401,216682.937698862,257355.853119738,TRUE,TRUE
2012,region,South,19,male,1,213325.59614717,9775.51282767552,579,0.0458243783410386,194165.943074517,232485.249219823,TRUE,TRUE
2012,region,Southeast,14,combined,,1385942.94736778,39420.0300378562,1978,0.0284427509175062,1308681.10822409,1463204.78651147,TRUE,TRUE
2012,region,Southeast,15,combined,,1396395.71316697,40511.0667000285,1953,0.0290111651862286,1316995.48145961,1475795.94487433,TRUE,TRUE
2012,region,Southeast,16,combined,,1319666.09384022,38474.8842394413,1907,0.0291550146048533,1244256.70642157,1395075.48125887,TRUE,TRUE
2012,region,Southeast,17,combined,,1357667.0133602,40020.3318898217,1964,0.0294772808766798,1279228.60420681,1436105.42251359,TRUE,TRUE
2012,region,Southeast,18,combined,,1277365.43908501,37497.9016779597,1852,0.0293556569878858,1203870.90230039,1350859.97586964,TRUE,TRUE
2012,region,Southeast,19,combined,,1311477.37385687,39475.5311210013,1856,0.03010004740296,1234106.75458912,1388847.99312462,TRUE,TRUE
2012,region,Southeast,14,female,2,656873.53085862,26041.0164104297,954,0.0396438814887102,605834.076573361,707912.985143879,TRUE,TRUE
2012,region,Southeast,15,female,2,718778.2608742,30192.1047514785,976,0.0420047550057481,659602.822943842,777953.698804559,TRUE,TRUE
2012,region,Southeast,16,female,2,653258.26543701,26788.4600397041,935,0.0410074567089992,600753.8485579,705762.682316121,TRUE,TRUE
2012,region,Southeast,17,female,2,658438.51725994,26762.9051466278,948,0.0406460200080644,605984.187050888,710892.847468992,TRUE,TRUE
2012,region,Southeast,18,female,2,609854.06265333,25914.9214575433,865,0.0424936440445992,559061.749934361,660646.375372299,TRUE,TRUE
2012,region,Southeast,19,female,2,654698.72404995,27348.4284526187,902,0.0417725397163477,601096.789249047,708300.658850853,TRUE,TRUE
2012,region,Southeast,14,male,1,729069.41650916,29109.9151719466,1024,0.039927494574285,672015.031179129,786123.801839192,TRUE,TRUE
2012,region,Southeast,15,male,1,677617.45229277,28089.5096017372,977,0.0414533443710668,622563.025129973,732671.879455567,TRUE,TRUE
2012,region,Southeast,16,male,1,666407.82840321,27860.5181203018,972,0.0418070090608911,611802.216296793,721013.440509627,TRUE,TRUE
2012,region,Southeast,17,male,1,699228.49610026,28761.3918249675,1016,0.0411330373195252,642857.203978079,755599.788222441,TRUE,TRUE
2012,region,Southeast,18,male,1,667511.37643168,27514.9276222651,987,0.0412201628223204,613583.109254814,721439.643608546,TRUE,TRUE
2012,region,Southeast,19,male,1,656778.64980692,28153.6509005813,954,0.0428662699508547,601598.508008467,711958.791605373,TRUE,TRUE
2013,region,Central-West,14,combined,,249848.25589554,10163.4247784696,769,0.0406783899372858,229928.309370158,269768.202420922,TRUE,TRUE
2013,region,Central-West,15,combined,,242400.86843463,10070.5872945985,752,0.0415451782810521,222662.88003405,262138.85683521,TRUE,TRUE
2013,region,Central-West,16,combined,,259407.13621121,10030.4239396702,813,0.0386667232296316,239747.866539788,279066.405882632,TRUE,TRUE
2013,region,Central-West,17,combined,,274169.08029595,11458.3552539349,827,0.041793025098112,251711.116676172,296627.043915728,TRUE,TRUE
2013,region,Central-West,18,combined,,255542.96292411,10690.1589348993,761,0.0418331180501888,234590.636422698,276495.289425522,TRUE,TRUE
