year,uf_code,uf,region,sex,age_group,age,persons_married,opposite_sex_people,same_sex_people
2013,31,MG,Southeast,male,unknown,,1,1,0
2013,32,ES,Southeast,combined,15,15,7,7,0
2013,32,ES,Southeast,combined,16,16,543,543,0
2013,32,ES,Southeast,combined,17,17,701,701,0
2013,32,ES,Southeast,combined,18,18,1322,1321,1
2013,32,ES,Southeast,combined,19,19,1586,1586,0
2013,32,ES,Southeast,combined,<15,,12,12,0
2013,32,ES,Southeast,combined,unknown,,4,4,0
2013,32,ES,Southeast,female,15,15,5,5,0
2013,32,ES,Southeast,female,16,16,528,528,0
2013,32,ES,Southeast,female,17,17,646,646,0
2013,32,ES,Southeast,female,18,18,1095,1095,0
2013,32,ES,Southeast,female,19,19,1154,1154,0
2013,32,ES,Southeast,female,<15,,8,8,0
2013,32,ES,Southeast,female,unknown,,2,2,0
2013,32,ES,Southeast,male,15,15,2,2,0
2013,32,ES,Southeast,male,16,16,15,15,0
2013,32,ES,Southeast,male,17,17,55,55,0
2013,32,ES,Southeast,male,18,18,227,226,1
2013,32,ES,Southeast,male,19,19,432,432,0
2013,32,ES,Southeast,male,<15,,4,4,0
2013,32,ES,Southeast,male,unknown,,2,2,0
2013,33,RJ,Southeast,combined,15,15,30,30,0
2013,33,RJ,Southeast,combined,16,16,550,550,0
2013,33,RJ,Southeast,combined,17,17,944,944,0
2013,33,RJ,Southeast,combined,18,18,2322,2322,0
2013,33,RJ,Southeast,combined,19,19,3639,3638,1
2013,33,RJ,Southeast,combined,<15,,17,17,0
2013,33,RJ,Southeast,combined,unknown,,22,22,0
2013,33,RJ,Southeast,female,15,15,24,24,0
2013,33,RJ,Southeast,female,16,16,534,534,0
2013,33,RJ,Southeast,female,17,17,882,882,0
2013,33,RJ,Southeast,female,18,18,1975,1975,0
2013,33,RJ,Southeast,female,19,19,2773,2772,1
2013,33,RJ,Southeast,female,<15,,15,15,0
2013,33,RJ,Southeast,female,unknown,,13,13,0
2013,33,RJ,Southeast,male,15,15,6,6,0
2013,33,RJ,Southeast,male,16,16,16,16,0
2013,33,RJ,Southeast,male,17,17,62,62,0
2013,33,RJ,Southeast,male,18,18,347,347,0
2013,33,RJ,Southeast,male,19,19,866,866,0
2013,33,RJ,Southeast,male,<15,,2,2,0
2013,33,RJ,Southeast,male,unknown,,9,9,0
2013,35,SP,Southeast,combined,15,15,64,64,0
2013,35,SP,Southeast,combined,16,16,3361,3360,1
2013,35,SP,Southeast,combined,17,17,4626,4626,0
2013,35,SP,Southeast,combined,18,18,10747,10727,20
2013,35,SP,Southeast,combined,19,19,13843,13813,30
2013,35,SP,Southeast,combined,<15,,24,24,0
2013,35,SP,Southeast,combined,unknown,,150,150,0
2013,35,SP,Southeast,female,15,15,62,62,0
2013,35,SP,Southeast,female,16,16,3240,3239,1
2013,35,SP,Southeast,female,17,17,4216,4216,0
2013,35,SP,Southeast,female,18,18,8624,8614,10
2013,35,SP,Southeast,female,19,19,9728,9711,17
2013,35,SP,Southeast,female,<15,,24,24,0
2013,35,SP,Southeast,female,unknown,,83,83,0
2013,35,SP,Southeast,male,15,15,2,2,0
2013,35,SP,Southeast,male,16,16,121,121,0
2013,35,SP,Southeast,male,17,17,410,410,0
2013,35,SP,Southeast,male,18,18,2123,2113,10
2013,35,SP,Southeast,male,19,19,4115,4102,13
2013,35,SP,Southeast,male,<15,,0,0,0
2013,35,SP,Southeast,male,unknown,,67,67,0
2013,41,PR,South,combined,15,15,105,105,0
2013,41,PR,South,combined,16,16,1602,1602,0
2013,41,PR,South,combined,17,17,2211,2211,0
2013,41,PR,South,combined,18,18,3679,3678,1
2013,41,PR,South,combined,19,19,4326,4325,1
2013,41,PR,South,combined,<15,,79,79,0
2013,41,PR,South,combined,unknown,,49,49,0
2013,41,PR,South,female,15,15,97,97,0
2013,41,PR,South,female,16,16,1540,1540,0
2013,41,PR,South,female,17,17,1956,1956,0
2013,41,PR,South,female,18,18,2755,2755,0
2013,41,PR,South,female,19,19,2858,2857,1
2013,41,PR,South,female,<15,,76,76,0
2013,41,PR,South,female,unknown,,25,25,0
2013,41,PR,South,male,15,15,8,8,0
2013,41,PR,South,male,16,16,62,62,0
2013,41,PR,South,male,17,17,255,255,0
2013,41,PR,South,male,18,18,924,923,1
2013,41,PR,South,male,19,19,1468,1468,0
2013,41,PR,South,male,<15,,3,3,0
2013,41,PR,South,male,unknown,,24,24,0
2013,42,SC,South,combined,15,15,10,10,0
2013,42,SC,South,combined,16,16,560,557,3
2013,42,SC,South,combined,17,17,807,806,1
2013,42,SC,South,combined,18,18,1607,1602,5
2013,42,SC,South,combined,19,19,2023,2018,5
2013,42,SC,South,combined,<15,,1,1,0
2013,42,SC,South,combined,unknown,,17,17,0
2013,42,SC,South,female,15,15,10,10,0
2013,42,SC,South,female,16,16,541,540,1
2013,42,SC,South,female,17,17,718,718,0
2013,42,SC,South,female,18,18,1276,1276,0
2013,42,SC,South,female,19,19,1384,1383,1
2013,42,SC,South,female,<15,,1,1,0
2013,42,SC,South,female,unknown,,9,9,0
2013,42,SC,South,male,15,15,0,0,0
2013,42,SC,South,male,16,16,19,17,2
2013,42,SC,South,male,17,17,89,88,1
2013,42,SC,South,male,18,18,331,326,5
2013,42,SC,South,male,19,19,639,635,4
2013,42,SC,South,male,<15,,0,0,0
2013,42,SC,South,male,unknown,,8,8,0
2013,43,RS,South,combined,15,15,16,16,0
2013,43,RS,South,combined,16,16,877,877,0
2013,43,RS,South,combined,17,17,1045,1045,0
2013,43,RS,South,combined,18,18,2138,2137,1
2013,43,RS,South,combined,19,19,2276,2275,1
2013,43,RS,South,combined,<15,,4,4,0
2013,43,RS,South,combined,unknown,,3,3,0
2013,43,RS,South,female,15,15,16,16,0
2013,43,RS,South,female,16,16,850,850,0
2013,43,RS,South,female,17,17,925,925,0
2013,43,RS,South,female,18,18,1654,1654,0
2013,43,RS,South,female,19,19,1557,1557,0
2013,43,RS,South,female,<15,,3,3,0
2013,43,RS,South,female,unknown,,1,1,0
2013,43,RS,South,male,15,15,0,0,0
2013,43,RS,South,male,16,16,27,27,0
2013,43,RS,South,male,17,17,120,120,0
2013,43,RS,South,male,18,18,484,483,1
2013,43,RS,South,male,19,19,719,718,1
2013,43,RS,South,male,<15,,1,1,0
2013,43,RS,South,male,unknown,,2,2,0
2013,50,MS,Central-West,combined,15,15,51,51,0
2013,50,MS,Central-West,combined,16,16,360,360,0
2013,50,MS,Central-West,combined,17,17,466,466,0
2013,50,MS,Central-West,combined,18,18,783,783,0
2013,50,MS,Central-West,combined,19,19,898,897,1
2013,50,MS,Central-West,combined,<15,,45,45,0
2013,50,MS,Central-West,combined,unknown,,0,0,0
2013,50,MS,Central-West,female,15,15,45,45,0
2013,50,MS,Central-West,female,16,16,329,329,0
2013,50,MS,Central-West,female,17,17,389,389,0
2013,50,MS,Central-West,female,18,18,604,604,0
2013,50,MS,Central-West,female,19,19,580,579,1
2013,50,MS,Central-West,female,<15,,39,39,0
2013,50,MS,Central-West,female,unknown,,0,0,0
2013,50,MS,Central-West,male,15,15,6,6,0
2013,50,MS,Central-West,male,16,16,31,31,0
2013,50,MS,Central-West,male,17,17,77,77,0
2013,50,MS,Central-West,male,18,18,179,179,0
2013,50,MS,Central-West,male,19,19,318,318,0
2013,50,MS,Central-West,male,<15,,6,6,0
2013,50,MS,Central-West,male,unknown,,0,0,0
2013,51,MT,Central-West,combined,15,15,10,10,0
2013,51,MT,Central-West,combined,16,16,525,523,2
2013,51,MT,Central-West,combined,17,17,616,616,0
2013,51,MT,Central-West,combined,18,18,986,986,0
2013,51,MT,Central-West,combined,19,19,1072,1070,2
2013,51,MT,Central-West,combined,<15,,2,2,0
2013,51,MT,Central-West,combined,unknown,,3,3,0
2013,51,MT,Central-West,female,15,15,6,6,0
2013,51,MT,Central-West,female,16,16,508,508,0
2013,51,MT,Central-West,female,17,17,564,564,0
