year,uf_code,uf,region,variable_code,composition,first_below_15,first_below_16,second_below_15,second_below_16,both_below_15,both_below_16,total_marriages,marriages_at_least_one_below_15,affected_marriages_below_16,share_at_least_one_below_15,affected_share_below_16
2013,51,MT,Central-West,all,all,1,5,1,7,0,0,15324,2,12,0.00013051422605064,0.000783085356303837
2013,51,MT,Central-West,4374,female_same_sex,0,0,0,0,0,0,15,0,0,0,0
2013,51,MT,Central-West,4373,male_same_sex,0,0,0,0,0,0,14,0,0,0,0
2013,51,MT,Central-West,221,opposite_sex,1,5,1,7,0,0,15295,2,12,0.00013076168682576,0.00078457012095456
2013,52,GO,Central-West,all,all,3,8,15,48,0,1,41455,18,55,0.000434205765287661,0.00132673983837897
2013,52,GO,Central-West,4374,female_same_sex,0,0,0,0,0,0,31,0,0,0,0
2013,52,GO,Central-West,4373,male_same_sex,0,0,0,0,0,0,29,0,0,0,0
2013,52,GO,Central-West,221,opposite_sex,3,8,15,48,0,1,41395,18,55,0.000434835125015098,0.00132866288199058
2013,53,DF,Central-West,all,all,0,0,0,2,0,0,18198,0,2,0,0.000109902187053522
2013,53,DF,Central-West,4374,female_same_sex,0,0,0,0,0,0,46,0,0,0,0
2013,53,DF,Central-West,4373,male_same_sex,0,0,0,0,0,0,37,0,0,0,0
2013,53,DF,Central-West,221,opposite_sex,0,0,0,2,0,0,18115,0,2,0,0.000110405741098537
2014,11,RO,North,all,all,1,2,13,32,0,0,14042,14,34,0.000997008973080758,0.00242130750605327
2014,11,RO,North,4374,female_same_sex,0,0,0,0,0,0,10,0,0,0,0
2014,11,RO,North,4373,male_same_sex,0,0,0,0,0,0,8,0,0,0,0
2014,11,RO,North,221,opposite_sex,1,2,13,32,0,0,14024,14,34,0.000998288648031945,0.00242441528807758
2014,12,AC,North,all,all,0,0,1,6,0,0,3759,1,6,0.000266028198989093,0.00159616919393456
2014,12,AC,North,4374,female_same_sex,0,0,0,0,0,0,3,0,0,0,0
2014,12,AC,North,4373,male_same_sex,0,0,0,0,0,0,3,0,0,0,0
2014,12,AC,North,221,opposite_sex,0,0,1,6,0,0,3753,1,6,0.000266453503863576,0.00159872102318145
2014,13,AM,North,all,all,0,1,4,26,0,1,17707,4,26,0.000225899361834303,0.00146834585192297
2014,13,AM,North,4374,female_same_sex,0,0,0,0,0,0,25,0,0,0,0
2014,13,AM,North,4373,male_same_sex,0,0,0,0,0,0,20,0,0,0,0
2014,13,AM,North,221,opposite_sex,0,1,4,26,0,1,17662,4,26,0.000226474917902842,0.00147208696636847
2014,14,RR,North,all,all,0,0,0,0,0,0,2534,0,0,0,0
2014,14,RR,North,4374,female_same_sex,0,0,0,0,0,0,2,0,0,0,0
2014,14,RR,North,4373,male_same_sex,0,0,0,0,0,0,3,0,0,0,0
2014,14,RR,North,221,opposite_sex,0,0,0,0,0,0,2529,0,0,0,0
2014,15,PA,North,all,all,0,4,10,31,0,0,32411,10,35,0.000308537225016198,0.00107988028755669
2014,15,PA,North,4374,female_same_sex,0,0,0,0,0,0,29,0,0,0,0
2014,15,PA,North,4373,male_same_sex,0,0,0,0,0,0,29,0,0,0,0
