year,quarter,quarter_start,days_in_quarter,geography,age,side,sex,population_stock,population_stock_se,unweighted_n,population_cv,exact_age_day_stock,exact_age_day_stock_se,population_person_time,population_person_time_se,denominator_source,approximation
2015,4,2015-10-01,92,Brazil,15,below,female,1760593.69060645,37676.7838094191,5147,0.0214000447749196,4820.34180197116,103.1555303926,443471.445781346,9490.30879611917,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,4,2015-10-01,92,Brazil,16,above,female,1706468.32442154,35366.9895676144,4896,0.0207252540592004,4672.15158263767,96.8315285532609,429837.945602666,8908.5006269,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,4,2015-10-01,92,Brazil,15,below,male,1802420.41771645,35096.5946080968,5504,0.0194719246759099,4934.85949120502,96.0912122989433,454007.073190862,8840.39153150279,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2015,4,2015-10-01,92,Brazil,16,above,male,1768903.25661043,36691.2865867827,5460,0.020742393033461,4843.09262095849,100.457330641376,445564.521128181,9242.07441900657,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,1,2016-01-01,91,Brazil,15,below,combined,3536672.52303252,59448.2436321885,10489,0.0168090891212101,9683.08048223446,162.763762793729,881160.323883336,14811.5024142293,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,1,2016-01-01,91,Brazil,16,above,combined,3571302.65615155,59539.2596148167,10582,0.0166715804700172,9777.894566354,163.012956090315,889788.405538214,14834.1790042186,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,1,2016-01-01,91,Brazil,15,below,female,1750205.5688133,38763.8925507241,5124,0.0221481940415762,4791.90009052424,106.131933032777,436062.908237706,9658.00590598272,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,1,2016-01-01,91,Brazil,16,above,female,1762315.86967461,42177.5739482673,5043,0.023933038721404,4825.05696810916,115.478275250737,439080.184097934,10508.5230478171,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,1,2016-01-01,91,Brazil,15,below,male,1786466.95421922,39979.7964938884,5365,0.0223792533074656,4891.18039171022,109.460964958592,445097.41564563,9960.94781123184,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,1,2016-01-01,91,Brazil,16,above,male,1808986.78647694,39599.3406627954,5539,0.0218903426817817,4952.83759824484,108.419312272792,450708.22144028,9866.15741682411,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,2,2016-04-01,91,Brazil,15,below,combined,3448002.05410127,51734.812898673,10366,0.0150042871456925,9440.30898403464,141.645106740516,859068.117547152,12889.704713387,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,2,2016-04-01,91,Brazil,16,above,combined,3548627.99468191,58287.9554107619,10617,0.0164254904988954,9715.81345183518,159.587001542159,884139.024117001,14522.4171403364,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,2,2016-04-01,91,Brazil,15,below,female,1690620.7629949,34142.9527738979,5076,0.0201955125130573,4628.76243316399,93.4802296389328,421217.381417924,8506.70089714288,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,2,2016-04-01,91,Brazil,16,above,female,1725965.45846175,41315.5825926132,5074,0.0239376647951201,4725.53292254256,113.118223078128,430023.495951373,10293.7583001097,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,2,2016-04-01,91,Brazil,15,below,male,1757381.29110637,38080.2646782995,5290,0.0216687550226086,4811.54655087064,104.260223490693,437850.736129228,9487.68033765308,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,2,2016-04-01,91,Brazil,16,above,male,1822662.53622016,38976.4635702984,5543,0.0213843554666614,4990.28052929262,106.713932716752,454115.528165629,9710.96787722446,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,3,2016-07-01,92,Brazil,15,below,combined,3354377.8242677,52156.2776840166,10064,0.0155487188433828,9183.9745491494,142.799038129507,844925.658521745,13137.5115079147,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,3,2016-07-01,92,Brazil,16,above,combined,3565216.35420749,55202.466820767,10739,0.0154836232464882,9761.23083761471,151.139220711629,898033.237060553,13904.8083054698,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,3,2016-07-01,92,Brazil,15,below,female,1633935.12428471,36728.0341022879,4906,0.022478269520258,4473.56242574375,100.557941921567,411567.743168425,9251.33065678416,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,3,2016-07-01,92,Brazil,16,above,female,1759516.43157514,37994.4745870058,5169,0.0215937026248699,4817.39236692099,104.02533819861,443200.097756731,9570.33111427212,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,3,2016-07-01,92,Brazil,15,below,male,1720442.69998299,36521.2622883074,5158,0.0212278283308526,4710.41212340566,99.991819923222,433357.91535332,9199.24743293642,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,3,2016-07-01,92,Brazil,16,above,male,1805699.92263235,36802.8072385591,5570,0.0203814635960708,4943.83847069372,100.762663815298,454833.139303822,9270.16507100745,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,4,2016-10-01,92,Brazil,15,below,combined,3300335.65100273,59670.5108692762,9696,0.0180801340164133,9036.01210429435,163.372309819575,831313.113595081,15030.2525034009,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,4,2016-10-01,92,Brazil,16,above,combined,3569725.32835775,54664.1601966847,10655,0.0153132678759441,9773.57598953503,149.665387233645,899168.991037223,13769.2156254954,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,4,2016-10-01,92,Brazil,15,below,female,1605281.51392146,35252.4662475337,4727,0.0219603016304705,4395.11150515469,96.5179743527484,404350.258474231,8879.65364045285,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,4,2016-10-01,92,Brazil,16,above,female,1751304.3429508,36554.4203986739,5134,0.0208726830067028,4794.9084319344,100.082603745933,441131.575737965,9207.59954462583,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,4,2016-10-01,92,Brazil,15,below,male,1695054.13708127,45876.1108384375,4969,0.0270646876904073,4640.90059913967,125.604525317939,426962.855120849,11555.6163292504,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2016,4,2016-10-01,92,Brazil,16,above,male,1818420.98540695,39497.572716552,5521,0.0217208077961731,4978.66755760064,108.140681099686,458037.415299259,9948.9426611711,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2017,1,2017-01-01,90,Brazil,15,below,combined,3281576.19738864,58906.9256259356,9688,0.0179508023226191,8984.65046479706,161.2816844314,808618.541831735,14515.351598826,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2017,1,2017-01-01,90,Brazil,16,above,combined,3498405.76596957,52740.715340218,10559,0.0150756426979536,9578.30965993708,144.399174083569,862047.869394337,12995.9256675212,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2017,1,2017-01-01,90,Brazil,15,below,female,1592441.74828406,31942.8510734117,4727,0.0200590389619161,4359.95742084796,87.4565557770843,392396.167876316,7871.09001993759,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2017,1,2017-01-01,90,Brazil,16,above,female,1731912.1018337,35572.081072759,5094,0.020539195398598,4741.81427909868,97.3930500222701,426763.285118881,8765.37450200431,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2017,1,2017-01-01,90,Brazil,15,below,male,1689134.44910458,48810.7358388783,4961,0.028896892053059,4624.6930439491,133.63925566953,416222.373955419,12027.5330102577,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
