year,geography_level,geography_value,total_marriages,affected_marriages_below_16,marriages_at_least_one_below_15,affected_share_below_16,share_at_least_one_below_15,total_population,total_population_se,total_marriage_rate_100k
2019,region,Southeast,485572,30,9,6.1782804609821e-05,1.85348413829463e-05,87364373.0000972,1037932.52043401,555.800932720549
2020,Brazil,Brazil,757179,258,114,0.000340738451541842,0.000150558850681279,,,
2020,region,Central-West,67363,35,14,0.000519573059394623,0.000207829223757849,,,
2020,region,North,67997,50,18,0.000735326558524641,0.000264717561068871,,,
2020,region,Northeast,171686,28,10,0.000163088428875971,5.8245867455704e-05,,,
2020,region,South,97148,136,65,0.00139992588627661,0.000669082225058673,,,
2020,region,Southeast,352985,9,7,2.54968341430939e-05,1.98308710001841e-05,,,
2021,Brazil,Brazil,932502,293,129,0.000314208441375997,0.000138337504906156,,,
2021,region,Central-West,82966,52,26,0.000626762770291445,0.000313381385145722,,,
2021,region,North,76129,30,10,0.00039406796358812,0.000131355987862707,,,
2021,region,Northeast,219331,49,24,0.000223406631985447,0.000109423656482668,,,
2021,region,South,117874,141,61,0.0011961925445815,0.000517501739145189,,,
2021,region,Southeast,436202,21,8,4.81428329076896e-05,1.8340126821977e-05,,,
2022,Brazil,Brazil,970041,273,113,0.000281431403414907,0.000116489921560017,210147281.003177,1233753.41832409,461.600547658447
2022,region,Central-West,86065,30,10,0.000348573752396445,0.000116191250798815,16609383.0002802,266321.659250339,518.170963957831
2022,region,North,80863,50,23,0.000618329767631673,0.00028443169311057,18048962.0003617,288777.577474153,448.020224090336
2022,region,Northeast,219935,47,18,0.000213699502125628,8.1842362516198e-05,56675181.000663,561331.258402169,388.062280731714
2022,region,South,129125,131,58,0.00101452081316554,0.00044917715392062,30659064.0002806,362833.277750101,421.164194702155
2022,region,Southeast,454053,15,4,3.30357909759433e-05,8.80954426025156e-06,88154691.0015917,959732.781917157,515.063911904361
2023,Brazil,Brazil,940799,102,35,0.000108418482587673,3.72024204957701e-05,210971818.000379,1148059.66005195,445.935864286058
2023,region,Central-West,86766,2,0,2.30505036535048e-05,0,16777758.0000351,260326.627815948,517.148953989076
2023,region,North,77637,26,6,0.000334891868567822,7.72827389002666e-05,18174990.0000603,278313.681250581,427.163921409269
2023,region,Northeast,216173,9,3,4.16333214601268e-05,1.38777738200423e-05,56796476.0000764,522674.027860657,380.609881499883
2023,region,South,129070,59,24,0.000457116293484156,0.000185945610908809,30858204.0000344,386399.198095231,418.268023634351
2023,region,Southeast,431153,6,2,1.39161736089045e-05,4.6387245363015e-06,88364390.0001728,866164.473335797,487.926188365197
2024,Brazil,Brazil,948925,193,85,0.000203388044365993,8.95750454461628e-05,211852978.000524,1039131.82356509,447.916762349054
2024,region,Central-West,89014,9,3,0.000101107690925023,3.37025636416744e-05,16949900.0000326,257787.87048274,525.159440467665
2024,region,North,78797,62,32,0.000786831985989314,0.000406106831478356,18303765.000165,257746.887714579,430.496130163874
2024,region,Northeast,213183,89,38,0.000417481694131333,0.000178250610977423,56937552.0001166,464209.522079078,374.415464857996
2024,region,South,132064,31,10,0.000234734674097407,7.57208626120669e-05,31067683.0000569,325029.287892436,425.084805969464
2024,region,Southeast,435867,2,2,4.58855568327036e-06,4.58855568327036e-06,88594078.0001526,791265.736744301,491.982093881319
