year,geography_level,geography_value,sex,population,population_se,population_cv,ci_lower,ci_upper,unweighted_n
2016,UF,23,male,4346548.93866675,79788.0183686291,0.0183566363785388,4190167.29626642,4502930.58106708,12031
2016,UF,24,combined,3342286.00000078,105648.199249209,0.0316095628109577,3135219.33444082,3549352.66556074,9453
2016,UF,24,female,1733820.73355806,54744.7847047967,0.0315746510842861,1626522.92719526,1841118.53992086,4922
2016,UF,24,male,1608465.26644272,54957.9842110723,0.0341679645545703,1500749.5967261,1716180.93615934,4531
2016,UF,25,combined,3935762.00000102,97350.9463015049,0.0247349677906031,3744957.65138918,4126566.34861286,12655
2016,UF,25,female,2067013.46228137,54856.5948453996,0.0265390602656522,1959496.51206988,2174530.41249286,6624
2016,UF,25,male,1868748.53771965,48268.7768442572,0.0258294660142758,1774143.4735271,1963353.6019122,6031
2016,UF,26,combined,9206498.00000138,184951.334871918,0.020089216863121,8844000.04475982,9568995.95524295,17952
2016,UF,26,female,4771692.61476539,98086.3736692673,0.0205558868913206,4579446.85499949,4963938.37453129,9267
2016,UF,26,male,4434805.38523599,96696.8224260372,0.0218040734657608,4245283.09586149,4624327.67461049,8685
2016,UF,27,combined,3180287.00000246,53631.0575441314,0.0168635904696934,3075172.05876317,3285401.94124175,18004
2016,UF,27,female,1651654.68888954,29288.4358256795,0.0177327839909267,1594250.4095077,1709058.96827138,9310
2016,UF,27,male,1528632.31111292,27833.8621773521,0.0182083434812965,1474078.94369466,1583185.67853118,8694
2016,UF,28,combined,2197969.000002,53640.9727661578,0.0244047904070117,2092834.62528464,2303103.37471936,8944
2016,UF,28,female,1132044.24909917,27599.1203689107,0.0243798953891359,1077950.96717112,1186137.53102722,4611
2016,UF,28,male,1065924.75090283,28964.4125049168,0.0271730368212054,1009155.54555983,1122693.95624583,4333
2016,UF,29,combined,14506964.0000025,420484.344491538,0.0289849995141276,13682829.8287361,15331098.1712688,23022
2016,UF,29,female,7452326.03936269,229524.046215287,0.0307989807481525,7002467.17519482,7902184.90353056,11701
2016,UF,29,male,7054637.96063977,200728.759456989,0.0284534458858021,6661216.82144267,7448059.09983687,11321
2016,UF,31,combined,20576953.0000023,303055.218667338,0.0147278957514898,19982975.6860874,21170930.3139172,34276
2016,UF,31,female,10506237.5037084,157557.338611753,0.0149965521487725,10197430.7945294,10815044.2128874,17423
2016,UF,31,male,10070715.4962939,163682.87044731,0.0162533506688325,9749902.96533105,10391528.0272568,16853
2016,UF,32,combined,3866723.00000177,71681.9479736454,0.018538164738879,3726228.96363175,4007217.03637179,16810
2016,UF,32,female,1974179.2094951,38167.4241724851,0.0193333127959779,1899372.43273437,2048985.98625583,8642
2016,UF,32,male,1892543.79050667,37890.8002177206,0.0200210956321262,1818279.18673454,1966808.3942788,8168
2016,UF,33,combined,17043195.0000024,269039.285031937,0.0157857306116546,16515887.6909134,17570502.3090914,30398
2016,UF,33,female,8782112.45396785,132368.165018268,0.0150724743860986,8522675.61783239,9041549.29010331,15836
2016,UF,33,male,8261082.54603457,150287.76185766,0.0181922600361619,7966523.94547643,8555641.14659272,14562
2016,UF,35,combined,44524668.0000048,960543.573006749,0.0215732899570783,42642037.1913302,46407298.8086795,35253
2016,UF,35,female,22890567.45325,518459.303950029,0.0226494736318307,21874405.8900583,23906729.0164418,18018
2016,UF,35,male,21634100.5467548,473780.247767802,0.0218996970428184,20705508.3245435,22562692.7689662,17235
2016,UF,41,combined,11181700.0000074,234359.844912326,0.0209592320409393,10722363.1445568,11641036.855458,24405
2016,UF,41,female,5720388.64549822,123920.193250621,0.0216628975634624,5477509.52976976,5963267.76122668,12435
2016,UF,41,male,5461311.35450918,117929.604390483,0.0215936423938022,5230173.57719278,5692449.13182558,11970
2016,UF,42,combined,6999252.00000048,110737.025169487,0.015821265639454,6782211.41891318,7216292.58108778,27005
2016,UF,42,female,3514331.47480345,58468.2669922652,0.0166370951094006,3399735.77726014,3628927.17234676,13616
2016,UF,42,male,3484920.52519703,57066.7035904601,0.0163753242513999,3373071.84144331,3596769.20895075,13389
2016,UF,43,combined,11092120.0000014,174784.072305016,0.015757499225125,10749549.5132123,11434690.4867905,23763
2016,UF,43,female,5672639.37712839,88397.9111186233,0.0155832065537316,5499382.65502732,5845896.09922946,12210
2016,UF,43,male,5419480.62287303,95995.4704048447,0.0177130387734378,5231332.95820055,5607628.28754551,11553
2016,UF,50,combined,2617180.0000005,79927.2979892465,0.0305394730164647,2460525.37455998,2773834.62544102,9571
2016,UF,50,female,1324493.94144228,40713.1898716557,0.030738675804981,1244697.55559809,1404290.32728647,4827
2016,UF,50,male,1292686.05855822,42599.4924869742,0.0329542445398436,1209192.58752407,1376179.52959237,4744
2016,UF,51,combined,3332694.00000919,84829.2233614426,0.0254536490182443,3166431.77738426,3498956.22263412,11712
2016,UF,51,female,1659964.80311555,43142.3110617386,0.0259898950753449,1575407.42722472,1744522.17900638,5829
2016,UF,51,male,1672729.19689364,45870.3136909399,0.0274224385968296,1582825.03409984,1762633.35968744,5883
2016,UF,52,combined,6720129.00000203,172197.847248752,0.0256241877572142,6382627.42117915,7057630.57882491,15720
2016,UF,52,female,3423297.49702692,89024.477489212,0.0260054750037145,3248812.72740557,3597782.26664827,7980
2016,UF,52,male,3296831.50297511,89393.2144516244,0.0271148872397496,3121624.02218766,3472038.98376256,7740
2016,UF,53,combined,2823570.00000083,78251.7139758987,0.0277137503146285,2670199.45887954,2976940.54112212,8136
2016,UF,53,female,1461348.15099619,39415.969123741,0.0269723331136878,1384094.27109791,1538602.03089447,4250
2016,UF,53,male,1362221.84900464,43277.3977197077,0.0317697133923744,1277399.7081294,1447043.98987988,3886
2017,UF,11,combined,1679837.00000065,110487.846310853,0.0657729567278317,1463284.80050198,1896389.19949932,7946
2017,UF,11,female,843250.68733822,59846.6921960995,0.0709714122914145,725953.326040011,960548.048636429,3958
2017,UF,11,male,836586.31266243,51741.6156087691,0.061848508427184,735174.609567327,937998.015757533,3988
2017,UF,12,combined,826107,23789.6182800839,0.0287972602581553,779480.20496508,872733.79503492,9408
2017,UF,12,female,413436.86351399,12448.7659964571,0.0301104402995158,389037.730508967,437835.996519013,4686
2017,UF,12,male,412670.13648601,12685.0044978587,0.030738847753498,387807.984526478,437532.288445542,4722
2017,UF,13,combined,3813947.00000361,109418.709081657,0.0286891005778406,3599490.2709687,4028403.72903852,13114
2017,UF,13,female,1895539.67426292,52974.0178731979,0.0279466679555504,1791712.50711507,1999366.84141077,6436
2017,UF,13,male,1918407.32574069,60783.6030117175,0.0316844093515173,1799273.65298714,2037540.99849424,6678
2017,UF,14,combined,497171.99999963,29555.0375980241,0.0594463034886239,439245.190745776,555098.809253485,5480
2017,UF,14,female,249642.23716852,15805.4921911608,0.0633125723051879,218664.041715916,280620.432621124,2712
2017,UF,14,male,247529.76283111,14397.8497016732,0.0581661354052883,219310.49596101,275749.02970121,2768
2017,UF,15,combined,8230005.00000055,219302.203066398,0.0266466670514032,7800180.58026012,8659829.41974098,17655
2017,UF,15,female,4128621.50724074,115574.435154184,0.0279934682681594,3902099.77680498,4355143.2376765,8831
2017,UF,15,male,4101383.49275981,110874.428389771,0.0270334214260867,3884073.60630939,4318693.37921023,8824
2017,UF,16,combined,757680.99999954,59739.0822248651,0.0788446354401145,640594.550369328,874767.449629753,3864
2017,UF,16,female,377787.00486258,26551.8531554002,0.0702826005491068,325746.3289552,429827.680769961,1958
2017,UF,16,male,379893.99513696,34471.9447591776,0.0907409572155773,312330.224931918,447457.765342002,1906
2017,UF,17,combined,1483896.99999913,44801.7445443563,0.0301919503472158,1396087.19424763,1571706.80575063,6870
2017,UF,17,female,731753.92323902,25575.2226338602,0.0349505780859426,681627.407980061,781880.43849798,3328
2017,UF,17,male,752143.07676011,22354.6379266701,0.0297212573210987,708328.791536403,795957.361983817,3542
2017,UF,21,combined,6850863.99999911,118356.016656283,0.0172760715518945,6618890.46999917,7082837.52999905,31628
2017,UF,21,female,3508659.22681449,63567.952527248,0.0181174484091923,3384068.32929013,3633250.12433885,15943
2017,UF,21,male,3342204.77318462,59715.0463016198,0.0178669621863774,3225165.4330983,3459244.11327094,15685
2017,UF,22,combined,3285641.00000001,96527.8739502172,0.029378703866374,3096449.84355336,3474832.15644666,10860
2017,UF,22,female,1689799.5989768,52859.0762605398,0.0312812692656258,1586197.71325009,1793401.48470351,5564
2017,UF,22,male,1595841.40102321,46789.385596124,0.029319571209347,1504135.89039605,1687546.91165037,5296
2017,UF,23,combined,8913559.99999978,229986.336394469,0.0258018498102302,8462795.06373031,9364324.93626925,24412
2017,UF,23,female,4534414.0026817,121863.651084169,0.026875281130505,4295565.63553217,4773262.36983123,12484
2017,UF,23,male,4379145.99731808,113930.547954898,0.0260166132905075,4155846.22658757,4602445.76804859,11928
2017,UF,24,combined,3359218.0000024,100528.583854352,0.029926186348811,3162185.59623106,3556250.40377374,9864
2017,UF,24,female,1703554.79004105,50004.0232786595,0.0293527531788129,1605548.70533277,1801560.87474932,5048
2017,UF,24,male,1655663.20996135,54542.4668676251,0.0329429720606635,1548761.93927284,1762564.48064986,4816
2017,UF,25,combined,3959500.00000011,92014.3460093127,0.0232388801639879,3779155.19576085,4139844.80423937,12539
2017,UF,25,female,2052733.23863514,49442.3408296594,0.0240861013496978,1955828.03129765,2149638.44597263,6518
2017,UF,25,male,1906766.76136497,47817.082751442,0.0250775730520978,1813047.00132637,2000486.52140357,6021
2017,UF,26,combined,9247681.99999916,225909.096562527,0.0244287267406629,8804908.30695663,9690455.69304169,18039
2017,UF,26,female,4818457.58684167,113290.915279076,0.0235118631299055,4596411.4731191,5040503.70056424,9379
2017,UF,26,male,4429224.41315749,120716.308515123,0.0272545026520945,4192624.79612122,4665824.03019376,8660
2017,UF,27,combined,3185339.00000992,59152.1870187699,0.01857013869437,3069402.84384635,3301275.15617349,17457
2017,UF,27,female,1650041.25637856,32943.6795441502,0.0199653671790326,1585472.8309538,1714609.68180332,9053
2017,UF,27,male,1535297.74363136,29556.7203813935,0.0192514582295187,1477367.63618271,1593227.85108001,8404
2017,UF,28,combined,2212382.00000062,52347.0590966719,0.0236609496446171,2109783.64947455,2314980.35052669,8868
2017,UF,28,female,1144365.96680976,29201.7911915496,0.0255178780551799,1087131.50779026,1201600.42582926,4591
2017,UF,28,male,1068016.03319086,26811.9185193044,0.0251044157447709,1015465.6385366,1120566.42784512,4277
2017,UF,29,combined,14558382.0000007,377059.888577364,0.0258998485255674,13819358.1983744,15297405.801627,22861
2017,UF,29,female,7437227.64799971,194880.107796044,0.0262033269680078,7055269.65541618,7819185.64058324,11554
2017,UF,29,male,7121154.35200098,195086.267730692,0.0273953151536274,6738792.29337048,7503516.41063148,11307
2017,UF,31,combined,20683567.0000289,300273.262230818,0.0145174796122158,20095042.2205361,21272091.7795217,33831
2017,UF,31,female,10504911.9733181,161710.062359328,0.0153937570129157,10187966.0751561,10821857.8714801,17126
