year,uf_code,uf,region,variable_code,composition,total_marriages
2018,11,RO,North,4373,male_same_sex,6
2018,11,RO,North,221,opposite_sex,13517
2018,12,AC,North,all,all,6009
2018,12,AC,North,4374,female_same_sex,12
2018,12,AC,North,4373,male_same_sex,6
2018,12,AC,North,221,opposite_sex,5991
2018,13,AM,North,all,all,13954
2018,13,AM,North,4374,female_same_sex,31
2018,13,AM,North,4373,male_same_sex,18
2018,13,AM,North,221,opposite_sex,13905
2018,14,RR,North,all,all,2020
2018,14,RR,North,4374,female_same_sex,4
2018,14,RR,North,4373,male_same_sex,1
2018,14,RR,North,221,opposite_sex,2015
2018,15,PA,North,all,all,36153
2018,15,PA,North,4374,female_same_sex,112
2018,15,PA,North,4373,male_same_sex,89
2018,15,PA,North,221,opposite_sex,35952
2018,16,AP,North,all,all,2133
2018,16,AP,North,4374,female_same_sex,7
2018,16,AP,North,4373,male_same_sex,1
2018,16,AP,North,221,opposite_sex,2125
2018,17,TO,North,all,all,6717
2018,17,TO,North,4374,female_same_sex,11
2018,17,TO,North,4373,male_same_sex,7
2018,17,TO,North,221,opposite_sex,6699
2018,21,MA,Northeast,all,all,22731
2018,21,MA,Northeast,4374,female_same_sex,14
2018,21,MA,Northeast,4373,male_same_sex,12
2018,21,MA,Northeast,221,opposite_sex,22705
2018,22,PI,Northeast,all,all,9984
2018,22,PI,Northeast,4374,female_same_sex,28
2018,22,PI,Northeast,4373,male_same_sex,17
2018,22,PI,Northeast,221,opposite_sex,9939
2018,23,CE,Northeast,all,all,38905
2018,23,CE,Northeast,4374,female_same_sex,212
2018,23,CE,Northeast,4373,male_same_sex,118
2018,23,CE,Northeast,221,opposite_sex,38575
2018,24,RN,Northeast,all,all,14559
2018,24,RN,Northeast,4374,female_same_sex,69
2018,24,RN,Northeast,4373,male_same_sex,45
2018,24,RN,Northeast,221,opposite_sex,14445
2018,25,PB,Northeast,all,all,16127
2018,25,PB,Northeast,4374,female_same_sex,64
