year,quarter,geography_value,age,sex,persons_married,opposite_sex_people,same_sex_people,population,population_se,population_cv,unweighted_n,precision_pass,geography_level,geography,formal_marriage_rate_100k,offset_log_population,fixed_denominator_simplification,period,period_index,trend_2018q4,calendar_quarter,treated_age,partial_2019q1,post_full,pandemic,short_run_clean,full_dynamic,exclude_pandemic,post_pandemic,event_time,denominator_only_rate_se,denominator_only_ci_lower,denominator_only_ci_upper
2016,4,Brazil,19,female,11832,11814,18,1633159.88761057,34864.4989883022,0.0213478785835914,4579,TRUE,Brazil,Brazil,724.48509724979,14.3060272775152,TRUE,2016Q4,16,-8,4,0,0,0,0,1,1,1,0,-9,15.4662198917099,694.171863285062,754.798331214518
2016,4,Brazil,15,male,11,11,0,1695054.13708127,45876.1108384375,0.0270646876904073,4969,TRUE,Brazil,Brazil,0.648946824727439,14.3432252375676,TRUE,2016Q4,16,-8,4,1,0,0,0,1,1,1,0,-9,0.0175635431389297,0.614522912734221,0.683370736720657
2016,4,Brazil,16,male,166,164,2,1818420.98540695,39497.572716552,0.0217208077961731,5521,TRUE,Brazil,Brazil,9.12879917973727,14.4134790920428,TRUE,2016Q4,16,-8,4,0,0,0,0,1,1,1,0,-9,0.198284892392936,8.74016793196872,9.51743042750582
2016,4,Brazil,17,male,584,584,0,1756844.31262225,33467.4358414935,0.0190497448186176,5357,TRUE,Brazil,Brazil,33.2414201875593,14.3790297534664,TRUE,2016Q4,16,-8,4,0,0,0,0,1,1,1,0,-9,0.633240571981448,32.0002914729261,34.4825489021925
2016,4,Brazil,18,male,2689,2680,9,1730700.40932275,37403.09000529,0.0216115335755461,5238,TRUE,Brazil,Brazil,155.370622524568,14.3640367454201,TRUE,2016Q4,16,-8,4,0,0,0,0,1,1,1,0,-9,3.3577974253432,148.789460503514,161.951784545622
2016,4,Brazil,19,male,4747,4737,10,1551986.55633442,31780.0986269821,0.0204770450473761,4801,TRUE,Brazil,Brazil,305.866051521204,14.2550463175321,TRUE,2016Q4,16,-8,4,0,0,0,0,1,1,1,0,-9,6.26323291546277,293.590340580111,318.141762462297
2017,1,Brazil,15,combined,75,75,0,3281576.19738864,58906.9256259356,0.0179508023226191,9688,TRUE,Brazil,Brazil,2.2854870796443,15.0038344129185,TRUE,2017Q1,17,-7,1,1,0,0,0,1,1,1,0,-8,0.0410263267775949,2.20507695674224,2.36589720254636
2017,1,Brazil,16,combined,3176,3176,0,3498405.76596957,52740.715340218,0.0150756426979536,10559,TRUE,Brazil,Brazil,90.7842089358032,15.0678179272528,TRUE,2017Q1,17,-7,1,0,0,0,0,1,1,1,0,-8,1.36863029653254,88.1017428464491,93.4666750251574
2017,1,Brazil,17,combined,4403,4402,1,3430267.8592432,51630.7627150284,0.0150515250801491,10114,TRUE,Brazil,Brazil,128.357323120866,15.0481489091668,TRUE,2017Q1,17,-7,1,0,0,0,0,1,1,1,0,-8,1.93197346817452,124.570724704157,132.143921537575
2017,1,Brazil,18,combined,9325,9316,9,3393522.98491836,50711.5328111563,0.0149436243798939,9919,TRUE,Brazil,Brazil,274.78817858145,15.0373791683219,TRUE,2017Q1,17,-7,1,0,0,0,0,1,1,1,0,-8,4.10633132475639,266.739917076339,282.836440086561
2017,1,Brazil,19,combined,12244,12224,20,3219005.4661301,46765.3477655438,0.0145278870314456,9410,TRUE,Brazil,Brazil,380.365927576997,14.9845830083628,TRUE,2017Q1,17,-7,1,0,0,0,0,1,1,1,0,-8,5.52591322644961,369.535336671462,391.196518482532
2017,1,Brazil,15,female,73,73,0,1592441.74828406,31942.8510734117,0.0200590389619161,4727,TRUE,Brazil,Brazil,4.58415512395737,14.2807790869739,TRUE,2017Q1,17,-7,1,1,0,0,0,1,1,1,0,-8,0.0919537462389281,4.40392909308554,4.7643811548292
2017,1,Brazil,16,female,3060,3060,0,1731912.1018337,35572.081072759,0.020539195398598,5094,TRUE,Brazil,Brazil,176.6833314901,14.3647366172981,TRUE,2017Q1,17,-7,1,0,0,0,0,1,1,1,0,-8,3.62893346915043,169.570752588273,183.795910391927
2017,1,Brazil,17,female,3969,3969,0,1671964.2540761,34532.8618492347,0.0206540670741295,4868,TRUE,Brazil,Brazil,237.385457872316,14.3295096932572,TRUE,2017Q1,17,-7,1,0,0,0,0,1,1,1,0,-8,4.90297516931776,227.775803123359,246.995112621273
2017,1,Brazil,18,female,7431,7424,7,1658935.3895927,34690.4038737775,0.0209112447003103,4623,TRUE,Brazil,Brazil,447.93787911321,14.321686623021,TRUE,2017Q1,17,-7,1,0,0,0,0,1,1,1,0,-8,9.36693860067433,429.57901681049,466.29674141593
2017,1,Brazil,19,female,8620,8609,11,1635721.3714648,33846.807488239,0.020692281753297,4571,TRUE,Brazil,Brazil,526.984616718722,14.3075944707997,TRUE,2017Q1,17,-7,1,0,0,0,0,1,1,1,0,-8,10.904514168797,505.612161678973,548.357071758471
2017,1,Brazil,15,male,2,2,0,1689134.44910458,48810.7358388783,0.028896892053059,4961,TRUE,Brazil,Brazil,0.118403837010145,14.3397267954072,TRUE,2017Q1,17,-7,1,1,0,0,0,1,1,1,0,-8,0.00342150289675015,0.111697814559515,0.125109859460775
2017,1,Brazil,16,male,116,116,0,1766493.66413587,37133.022485015,0.0210207504498351,5465,TRUE,Brazil,Brazil,6.56668078437432,14.3845071590984,TRUE,2017Q1,17,-7,1,0,0,0,0,1,1,1,0,-8,0.13803655805206,6.29613410204241,6.83722746670623
2017,1,Brazil,17,male,434,433,1,1758303.6051671,35502.8291188555,0.0201915238156391,5246,TRUE,Brazil,Brazil,24.6828817688032,14.3798600415014,TRUE,2017Q1,17,-7,1,0,0,0,0,1,1,1,0,-8,0.498384995073393,23.7060651280242,25.6596984095822
2017,1,Brazil,18,male,1894,1892,2,1734587.59532566,34421.7494964584,0.0198443420149075,5296,TRUE,Brazil,Brazil,109.190219341123,14.36628024589,TRUE,2017Q1,17,-7,1,0,0,0,0,1,1,1,0,-8,2.16680805728801,104.943353587427,113.437085094819
