year,quarter,period,trend_2018q4,post_full,partial_2019q1,pandemic,prevalence15,se15,population15,unweighted_n15,cases15,control_prevalence,control_variance_independence,control_population,control_unweighted_n,control_cases,prevalence_gap,gap_design_se_independence,quarter_factor,counterfactual_gap,dynamic_effect,bootstrap_se,pointwise_ci_lower,pointwise_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper
2015,4,2015Q4,-12,0,0,0,0.00889807320837216,0.00128101159645697,3563014.1083229,10651,94,0.0759126211516611,4.8744924510694e-06,10029345.8390209,29216,2123,-0.0670145479432889,0.00255254444845269,4,-0.0616869964012545,-0.00532755154203447,0.00360331034444067,-0.0121361668223383,0.00203104348753363,-0.0168802866131477,0.00622518352907873
2016,1,2016Q1,-11,0,0,0,0.00918411204928552,0.00112132036976671,3536672.52303252,10489,108,0.0733719874270848,5.0580187124459e-06,9912752.97456541,29201,2013,-0.0641878753777993,0.00251304160015302,1,-0.0611516011407547,-0.00303627423704465,0.00371661605882543,-0.0100665710616099,0.00482765952149551,-0.0149522838460699,0.0088797353719806
2016,2,2016Q2,-10,0,0,0,0.00844838530143011,0.00106442847841416,3448002.05410127,10366,98,0.0687686107694304,4.29625076659466e-06,10000907.5913244,29499,1954,-0.0603202254680003,0.00233007698419038,2,-0.0616232407275458,0.00130301525954552,0.00364667273359391,-0.00517052747917893,0.00927681207989329,-0.0103887459142487,0.0129947764333398
2016,3,2016Q3,-9,0,0,0,0.00771964520081846,0.0010741128903985,3354377.8242677,10064,84,0.0685357671235933,4.32749189253538e-06,10025469.0704437,29850,2024,-0.0608161219227749,0.00234119849518481,3,-0.0611250707075035,0.000308948784728605,0.00369176783277573,-0.00663447811652039,0.0080288948063229,-0.0115273938111618,0.012145291380619
2016,4,2016Q4,-8,0,0,0,0.00740830088722687,0.00112708828766904,3300335.65100273,9696,77,0.0642790336950264,3.77641661145695e-06,10025344.3254601,29599,2014,-0.0568707328077996,0.00224649607603879,4,-0.0603352659396303,0.00346453313183069,0.00358864840134786,-0.00334301709355829,0.011063102836164,-0.00804119362526362,0.014970259888925
2017,1,2017Q1,-7,0,0,0,0.00733376429547213,0.000986785392045259,3281576.19738864,9688,96,0.0676738683541816,4.13418316841792e-06,10042796.3102917,29443,2034,-0.0603401040587095,0.00226007269316096,1,-0.0597998706791305,-0.000540233379579029,0.00333907893745677,-0.00677109432658916,0.00650972162067497,-0.011245804273712,0.0101653375145539
2017,2,2017Q2,-6,0,0,0,0.00574116132374799,0.000885687244612559,3250666.14759861,9585,77,0.0689307889640144,4.56913399232937e-06,10139603.2985585,29259,2057,-0.0631896276402664,0.00231377956763361,2,-0.0602715102659216,-0.00291811737434482,0.00349139020841178,-0.00942568521109133,0.00426551231307432,-0.0141120202725203,0.00827578552383063
2017,3,2017Q3,-5,0,0,0,0.00589485667058902,0.000873290549957772,3257370.06115559,9471,77,0.0647709720033023,4.18267332023725e-06,10169015.2795187,29113,1952,-0.0588761153327133,0.00222380523087855,3,-0.0597733402458793,0.000897224913165976,0.00336583836986159,-0.00554612738269894,0.00722771172842298,-0.00989414059860327,0.0116885904249352
2017,4,2017Q4,-4,0,0,0,0.0053386992243023,0.000834171441805804,3225514.42997436,9359,66,0.0644909031450823,4.5100681225112e-06,10208086.5418513,28693,1900,-0.05915220392078,0.00228164636103748,4,-0.058983535478006,-0.000168668442773939,0.00343812776429024,-0.00714923180224508,0.00649904379226673,-0.0111918042275573,0.0108544673420094
2018,1,2018Q1,-3,0,0,0,0.00589794291367071,0.000975964586775301,3171149.4435845,9049,68,0.0644387271548612,4.47340335714839e-06,10196190.1614833,28582,1839,-0.0585407842411905,0.00232935833048243,1,-0.0584481402175062,-9.26440236842796e-05,0.00325434543814398,-0.00628584649845,0.00671922840500737,-0.0105265470414381,0.0103412589940696
