term,estimate,std_error_diagnostic,statistic,p_value_diagnostic,event_time,effect_percentage_points,inference_status
event_time::-8:treated_age,-0.00528030323883928,0.00355514014493454,-1.48525881500418,0.141218634277707,-8,-0.528030323883928,point path; dynamic inference uses forecast design/block bootstrap
event_time::-7:treated_age,-0.00805235274159857,0.00368972482819039,-2.18237215959213,0.0318740923019427,-7,-0.805235274159857,point path; dynamic inference uses forecast design/block bootstrap
event_time::-6:treated_age,-0.00638470715805272,0.00360320933918301,-1.77195010254397,0.0800290687519967,-6,-0.638470715805272,point path; dynamic inference uses forecast design/block bootstrap
event_time::-5:treated_age,-0.00456607918395003,0.00203153154147039,-2.24760437666903,0.0272219539459922,-5,-0.456607918395003,point path; dynamic inference uses forecast design/block bootstrap
event_time::-4:treated_age,-0.00422749932598277,0.0040323223918998,-1.04840310746855,0.297460107105055,-4,-0.422749932598277,point path; dynamic inference uses forecast design/block bootstrap
event_time::-3:treated_age,-0.00203777037348298,0.00402347107155493,-0.506470740622339,0.613853032727418,-3,-0.203777037348298,point path; dynamic inference uses forecast design/block bootstrap
event_time::-2:treated_age,-0.00300706397908805,0.004251793691767,-0.70724597595382,0.481371162528629,-2,-0.300706397908805,point path; dynamic inference uses forecast design/block bootstrap
event_time::0:treated_age,0.00354313848141471,0.00430565517768576,0.82290344563057,0.412892937025542,0,0.354313848141471,point path; dynamic inference uses forecast design/block bootstrap
event_time::1:treated_age,0.00125863624067158,0.00692624243093823,0.181719922919459,0.856240325086763,1,0.125863624067158,point path; dynamic inference uses forecast design/block bootstrap
event_time::2:treated_age,0.00181478086127351,0.00186977409448312,0.970588300815657,0.334539851532484,2,0.181478086127351,point path; dynamic inference uses forecast design/block bootstrap
event_time::3:treated_age,0.00315888377844642,0.00429750246406379,0.735051068582593,0.464355662897282,3,0.315888377844642,point path; dynamic inference uses forecast design/block bootstrap
event_time::4:treated_age,0.00921807603003559,0.00566375382896578,1.62755591228068,0.107364530944775,4,0.921807603003559,point path; dynamic inference uses forecast design/block bootstrap
event_time::5:treated_age,0.0117952314865196,0.00564145040949851,2.09081541630854,0.0395665867068579,5,1.17952314865196,point path; dynamic inference uses forecast design/block bootstrap
event_time::6:treated_age,0.0143984828149466,0.00890773029829142,1.6164030940304,0.109756898571667,6,1.43984828149466,point path; dynamic inference uses forecast design/block bootstrap
event_time::7:treated_age,0.0153647924903006,0.00674085480380482,2.27935372256172,0.0251816947597462,7,1.53647924903006,point path; dynamic inference uses forecast design/block bootstrap
event_time::8:treated_age,0.0142295723369608,0.00498391567024672,2.85509893795141,0.00541872475990037,8,1.42295723369608,point path; dynamic inference uses forecast design/block bootstrap
event_time::9:treated_age,0.00495639540201352,0.00375838102160233,1.31875809651158,0.190834118665306,9,0.495639540201352,point path; dynamic inference uses forecast design/block bootstrap
event_time::10:treated_age,0.00207561504587753,0.00254445031083588,0.815742023744084,0.416954832399997,10,0.207561504587753,point path; dynamic inference uses forecast design/block bootstrap
event_time::11:treated_age,0.00533496083175968,0.00411852170954013,1.29535819112032,0.198745354428387,11,0.533496083175968,point path; dynamic inference uses forecast design/block bootstrap
event_time::12:treated_age,0.00284930287298,0.00367524592534578,0.775268629870511,0.440358019962638,12,0.284930287298,point path; dynamic inference uses forecast design/block bootstrap
event_time::13:treated_age,-0.00199646599321704,0.00494306152483665,-0.403892604448823,0.687318111798553,13,-0.199646599321704,point path; dynamic inference uses forecast design/block bootstrap
event_time::14:treated_age,0.00374016998260935,0.00470879830907181,0.794293944466399,0.429262655567697,14,0.374016998260935,point path; dynamic inference uses forecast design/block bootstrap
event_time::15:treated_age,0.00180739080892405,0.00500888320811755,0.360837083602775,0.719127115070541,15,0.180739080892405,point path; dynamic inference uses forecast design/block bootstrap
event_time::16:treated_age,0.00700498582202351,0.00422851414822039,1.65660692538338,0.101329880447396,16,0.700498582202351,point path; dynamic inference uses forecast design/block bootstrap
event_time::17:treated_age,0.00144580297253642,0.00355370735261292,0.406843566191057,0.685157687122307,17,0.144580297253642,point path; dynamic inference uses forecast design/block bootstrap
event_time::18:treated_age,0.00684576315055156,0.00241943426571286,2.82948921058392,0.00583010423741328,18,0.684576315055156,point path; dynamic inference uses forecast design/block bootstrap
event_time::19:treated_age,0.00779624058559447,0.00550654449464888,1.41581360019349,0.160527343086253,19,0.779624058559447,point path; dynamic inference uses forecast design/block bootstrap
event_time::20:treated_age,0.0081742861707501,0.00434066932732477,1.88318564588472,0.0631360999606592,20,0.81742861707501,point path; dynamic inference uses forecast design/block bootstrap
event_time::21:treated_age,0.00644426748799837,0.00474359767317647,1.35851898326847,0.177936253407519,21,0.644426748799837,point path; dynamic inference uses forecast design/block bootstrap
event_time::22:treated_age,0.00614214517106375,0.00303028857124778,2.02691757786441,0.0458423912988211,22,0.614214517106375,point path; dynamic inference uses forecast design/block bootstrap
