specification_id,estimate,std_error,statistic,p_value,ci_lower,ci_upper,outcome,sex,controls,window,age_specific_trends,geography_level,geography_value,effect_percentage_points,ci_lower_percentage_points,ci_upper_percentage_points,observations,periods,unweighted_people,unweighted_union_cases,zero_case_cells,dropped_observations,variance_weight_winsorization
PNADC-CELL-031,0.0126453105669685,0.00372751475091235,3.39242401760406,0.000692771429793876,0.00533951590333848,0.0199511052305985,union_conservative,combined,18-19,full_dynamic,TRUE,Brazil,Brazil,1.26453105669685,0.533951590333848,1.99511052305985,141,47,1182148,64508,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-032,0.014098946259433,0.00188182169132779,7.49217969184154,6.77390928266572e-14,0.0104106435191043,0.0177872489997617,union_conservative,combined,18-19,full_dynamic,FALSE,Brazil,Brazil,1.4098946259433,1.04106435191043,1.77872489997617,141,47,1182148,64508,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-033,0.0171691657884412,0.00602669066819015,2.84885465900263,0.00438769195211823,0.00535706913282486,0.0289812624440575,union_conservative,female,18-19,full_dynamic,TRUE,Brazil,Brazil,1.71691657884412,0.535706913282486,2.89812624440575,141,47,570645,51733,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-034,0.021340496900766,0.00299262207619915,7.13103638126935,9.96159821587068e-13,0.0154750654120762,0.0272059283894558,union_conservative,female,18-19,full_dynamic,FALSE,Brazil,Brazil,2.1340496900766,1.54750654120762,2.72059283894558,141,47,570645,51733,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-035,0.00994815470390904,0.00192803444173264,5.15973910454061,2.47294210925913e-07,0.00616927663716027,0.0137270327706578,union_conservative,male,18-19,full_dynamic,TRUE,Brazil,Brazil,0.994815470390904,0.616927663716027,1.37270327706578,141,47,611503,12775,5,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-036,0.00642918883868329,0.00107461048888414,5.98280856662703,2.19322483656096e-09,0.0043229909830614,0.00853538669430518,union_conservative,male,18-19,full_dynamic,FALSE,Brazil,Brazil,0.642918883868329,0.43229909830614,0.853538669430518,141,47,611503,12775,5,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-037,0.00422488853800424,0.0031084591610713,1.35915845088606,0.174096384180726,-0.00186757946510909,0.0103173565411176,union_conservative,combined,18-19,exclude_pandemic,TRUE,Brazil,Brazil,0.422488853800424,-0.186757946510909,1.03173565411176,117,39,1038255,58696,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-038,0.0102440456606682,0.00131593608438615,7.78460730898401,6.99300679439452e-15,0.00766485832931469,0.0128232329920217,union_conservative,combined,18-19,exclude_pandemic,FALSE,Brazil,Brazil,1.02440456606682,0.766485832931469,1.28232329920217,117,39,1038255,58696,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-039,0.00368232315546997,0.00395194204966831,0.931775595185923,0.351452509500166,-0.00406334093086932,0.0114279872418093,union_conservative,female,18-19,exclude_pandemic,TRUE,Brazil,Brazil,0.368232315546997,-0.406334093086932,1.14279872418093,117,39,501065,47080,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-040,0.0154554435980477,0.00208499772753489,7.41269086001392,1.23762152768247e-13,0.0113689231442314,0.0195419640518639,union_conservative,female,18-19,exclude_pandemic,FALSE,Brazil,Brazil,1.54554435980477,1.13689231442314,1.95419640518639,117,39,501065,47080,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-041,0.00721754183596138,0.00253106789019373,2.85157970828232,0.00435025779252077,0.0022567399287559,0.0121783437431669,union_conservative,male,18-19,exclude_pandemic,TRUE,Brazil,Brazil,0.721754183596138,0.22567399287559,1.21783437431669,117,39,537190,11616,3,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-042,0.00466204930664823,0.00130350335384456,3.57655336512786,0.000348154269018646,0.00210722967938571,0.00721686893391074,union_conservative,male,18-19,exclude_pandemic,FALSE,Brazil,Brazil,0.466204930664823,0.210722967938572,0.721686893391074,117,39,537190,11616,3,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-043,-0.00224632805384792,0.00264658470779747,-0.848764842942566,0.396012156667498,-0.00743353876316542,0.00294088265546959,union_conservative,combined,18-19,post_pandemic,TRUE,Brazil,Brazil,-0.224632805384792,-0.743353876316542,0.294088265546959,108,36,958769,54600,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-044,0.0097283974471352,0.00136690819053498,7.11708183073195,1.10236044598991e-12,0.00704930662351382,0.0124074882707566,union_conservative,combined,18-19,post_pandemic,FALSE,Brazil,Brazil,0.97283974471352,0.704930662351382,1.24074882707566,108,36,958769,54600,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-045,-0.0022505066001864,0.00456087513973413,-0.493437450321779,0.621703526103945,-0.0111896576120494,0.00668864441167659,union_conservative,female,18-19,post_pandemic,TRUE,Brazil,Brazil,-0.22505066001864,-1.11896576120494,0.668864441167659,108,36,462974,43789,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-046,0.0158439671915271,0.00228344088698062,6.9386368974401,3.95901235778875e-12,0.0113685052922189,0.0203194290908353,union_conservative,female,18-19,post_pandemic,FALSE,Brazil,Brazil,1.58439671915271,1.13685052922189,2.03194290908353,108,36,462974,43789,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-047,-0.000939660951308786,0.00199633556324284,-0.470692887814112,0.637860064052216,-0.00485240675632124,0.00297308485370367,union_conservative,male,18-19,post_pandemic,TRUE,Brazil,Brazil,-0.0939660951308786,-0.485240675632124,0.297308485370367,108,36,495795,10811,2,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-048,0.00222913179003882,0.000905873003106337,2.46075529615618,0.0138644892842418,0.00045365332938326,0.00400461025069438,union_conservative,male,18-19,post_pandemic,FALSE,Brazil,Brazil,0.222913179003882,0.045365332938326,0.400461025069438,108,36,495795,10811,2,0,"inverse design variance, 5th/95th percentile"
