specification_id,estimate,std_error,statistic,p_value,ci_lower,ci_upper,sex,focal_age,controls,window,age_specific_trends,model,geography,rate_ratio,percent_change,effect_points_per_100k,observations,source_rows,regions_or_geographies,periods,time_clusters,zero_outcome_cells,dropped_observations,collinear_variables
REG-Q-011,-0.0787671315251617,0.185306786124799,-0.425063394451805,0.670790461838391,-0.441961758420634,0.284427495370311,male,15,17-18-19,short_run_clean,FALSE,PPML,region,0.924255129269219,-7.57448707307808,,540,540,5,27,27,36,0,""
REG-Q-012,40.7783827228838,6.55758110158061,6.21850985770573,5.01898421430939e-10,27.9257599380854,53.6310055076823,male,15,17-18-19,short_run_clean,FALSE,WLS,region,,,40.7783827228838,540,540,5,27,27,36,0,""
REG-Q-013,-0.055011807215103,0.0835539399267041,-0.658398721393161,0.510281956782197,-0.218774520237866,0.10875090580766,combined,15,17-18-19,full_dynamic,TRUE,PPML,region,0.946473972665725,-5.35260273342751,,940,940,5,47,47,11,0,""
REG-Q-014,33.3684799079066,14.6721898560095,2.27426718406587,0.0229499269580298,4.61151621579406,62.1254436000192,combined,15,17-18-19,full_dynamic,TRUE,WLS,region,,,33.3684799079066,940,940,5,47,47,11,0,""
REG-Q-015,-0.808720265187494,0.0881614637571853,-9.173171936152,4.59301053585041e-20,-0.981513558975911,-0.635926971399078,combined,15,17-18-19,full_dynamic,FALSE,PPML,region,0.445427731009094,-55.4572268990906,,940,940,5,47,47,11,0,""
REG-Q-016,112.209882269546,9.01091531552201,12.4526619483656,1.35257440404989e-35,94.5488127833822,129.870951755709,combined,15,17-18-19,full_dynamic,FALSE,WLS,region,,,112.209882269546,940,940,5,47,47,11,0,""
REG-Q-017,-0.152435730127434,0.0792475007791893,-1.92353990509015,0.0544122799413267,-0.307757977519454,0.00288651726458744,female,15,17-18-19,full_dynamic,TRUE,PPML,region,0.858614075200327,-14.1385924799673,,940,940,5,47,47,12,0,""
REG-Q-018,49.4418176310072,20.9443433929594,2.36062867684014,0.0182439878096174,8.39165890096737,90.491976361047,female,15,17-18-19,full_dynamic,TRUE,WLS,region,,,49.4418176310072,940,940,5,47,47,12,0,""
REG-Q-019,-0.822758046395779,0.0820662070264982,-10.0255400634042,1.17714281100209e-23,-0.983604856515523,-0.661911236276034,female,15,17-18-19,full_dynamic,FALSE,PPML,region,0.439218597171865,-56.0781402828135,,940,940,5,47,47,12,0,""
REG-Q-020,174.667427282443,13.6885420289252,12.7601191502612,2.73781989307748e-37,147.838377904887,201.496476659999,female,15,17-18-19,full_dynamic,FALSE,WLS,region,,,174.667427282443,940,940,5,47,47,12,0,""
REG-Q-021,1.03374385187862,0.238374455974323,4.33663853642929,1.44678253414713e-05,0.566538503334614,1.50094920042262,male,15,17-18-19,full_dynamic,TRUE,PPML,region,2.81157226527449,181.157226527449,,940,940,5,47,47,100,0,""
REG-Q-022,18.8960183622985,8.52772422301852,2.21583365832742,0.0267028963940334,2.18198601509237,35.6100507095046,male,15,17-18-19,full_dynamic,TRUE,WLS,region,,,18.8960183622985,940,940,5,47,47,100,0,""
REG-Q-023,-0.63966152601321,0.182220117105405,-3.51037819629541,0.000447469761534542,-0.996806392798474,-0.282516659227945,male,15,17-18-19,full_dynamic,FALSE,PPML,region,0.52747092901996,-47.252907098004,,940,940,5,47,47,100,0,""
REG-Q-024,47.9601264676405,4.28629829694813,11.1891714353591,4.60718634766458e-29,39.5591361786268,56.3611167566542,male,15,17-18-19,full_dynamic,FALSE,WLS,region,,,47.9601264676405,940,940,5,47,47,100,0,""
REG-Q-025,-0.0181634980345762,0.0930070628463771,-0.195291599139922,0.845164673372215,-0.200453991521329,0.164126995452176,combined,15,17-18-19,exclude_pandemic,TRUE,PPML,region,0.982000464086529,-1.79995359134711,,780,780,5,39,39,9,0,""
REG-Q-026,11.917555877544,13.3587039770512,0.892119167998414,0.3723290618853,-14.2650227976083,38.1001345526963,combined,15,17-18-19,exclude_pandemic,TRUE,WLS,region,,,11.917555877544,780,780,5,39,39,9,0,""
REG-Q-027,-0.846615447205744,0.120398432254343,-7.03178132267753,2.03913220759013e-12,-1.08259203821934,-0.610638856192147,combined,15,17-18-19,exclude_pandemic,FALSE,PPML,region,0.428863991176418,-57.1136008823582,,780,780,5,39,39,9,0,""
REG-Q-028,111.910871729054,9.31539897186598,12.0135350151983,3.01668427960991e-33,93.6530252425753,130.168718215533,combined,15,17-18-19,exclude_pandemic,FALSE,WLS,region,,,111.910871729054,780,780,5,39,39,9,0,""
REG-Q-029,-0.100325667311511,0.086527626213486,-1.15946399666601,0.246267103835683,-0.269916698357687,0.0692653637346656,female,15,17-18-19,exclude_pandemic,TRUE,PPML,region,0.90454279004463,-9.54572099553697,,780,780,5,39,39,10,0,""
REG-Q-030,18.6130691873891,17.2970509559781,1.07608338755319,0.281889964549647,-15.288527725082,52.5146660998603,female,15,17-18-19,exclude_pandemic,TRUE,WLS,region,,,18.6130691873891,780,780,5,39,39,10,0,""
REG-Q-031,-0.842022621486971,0.10997866771442,-7.65623587724703,1.91461926399441e-14,-1.05757684927493,-0.62646839369901,female,15,17-18-19,exclude_pandemic,FALSE,PPML,region,0.430838218916549,-56.9161781083451,,780,780,5,39,39,10,0,""
REG-Q-032,175.534897766457,14.5322275863707,12.0790083091656,1.36354307094709e-33,147.052255082031,204.017540450883,female,15,17-18-19,exclude_pandemic,FALSE,WLS,region,,,175.534897766457,780,780,5,39,39,10,0,""
REG-Q-033,0.988095796956899,0.272049031642202,3.63205041014974,0.000281178175717939,0.454889492909185,1.52130210100461,male,15,17-18-19,exclude_pandemic,TRUE,PPML,region,2.6861146915754,168.61146915754,,780,780,5,39,39,79,0,""
REG-Q-034,6.82300034472221,9.00178933648099,0.757960455380916,0.448474656587828,-10.8201825511972,24.4661832406417,male,15,17-18-19,exclude_pandemic,TRUE,WLS,region,,,6.82300034472221,780,780,5,39,39,79,0,""
REG-Q-035,-0.801352346574388,0.257855787526555,-3.10775396690238,0.00188514934602623,-1.30674040333165,-0.295964289817128,male,15,17-18-19,exclude_pandemic,FALSE,PPML,region,0.448721726322345,-55.1278273677655,,780,780,5,39,39,79,0,""
REG-Q-036,46.1909135129141,4.18833784468535,11.0284593138843,2.7859678731917e-28,37.9819221822447,54.3999048435835,male,15,17-18-19,exclude_pandemic,FALSE,WLS,region,,,46.1909135129141,780,780,5,39,39,79,0,""
REG-Q-037,-0.0434417378325664,0.157631665889634,-0.275590171475967,0.78286285946433,-0.352394125799299,0.265510650134166,combined,15,17-18-19,post_pandemic,TRUE,PPML,region,0.957488337811764,-4.25116621882358,,720,720,5,36,36,9,0,""
REG-Q-038,-9.12458990680865,16.5061319542615,-0.552800009844396,0.580400361768477,-41.4760140612269,23.2268342476096,combined,15,17-18-19,post_pandemic,TRUE,WLS,region,,,-9.12458990680865,720,720,5,36,36,9,0,""
REG-Q-039,-1.00297582663952,0.132433476216208,-7.57343124484691,3.63493129676972e-14,-1.26254067037073,-0.743410982908312,combined,15,17-18-19,post_pandemic,FALSE,PPML,region,0.366786323002036,-63.3213676997964,,720,720,5,36,36,9,0,""
REG-Q-040,119.912509098089,8.39926570512465,14.2765467015679,3.06413233325496e-46,103.450250819463,136.374767376716,combined,15,17-18-19,post_pandemic,FALSE,WLS,region,,,119.912509098089,720,720,5,36,36,9,0,""
REG-Q-041,-0.100454099528461,0.151848244345511,-0.661542712998975,0.508264332047208,-0.3980711895613,0.197162990504379,female,15,17-18-19,post_pandemic,TRUE,PPML,region,0.904426625068601,-9.55733749313987,,720,720,5,36,36,10,0,""
REG-Q-042,-3.34070537290154,23.0694603039245,-0.144810729375114,0.884860310707862,-48.5560167113701,41.874605965567,female,15,17-18-19,post_pandemic,TRUE,WLS,region,,,-3.34070537290154,720,720,5,36,36,10,0,""
REG-Q-043,-0.971853060099979,0.126888116416792,-7.65913379080919,1.87191312730562e-14,-1.22054919834302,-0.723156921856942,female,15,17-18-19,post_pandemic,FALSE,PPML,region,0.378381224902756,-62.1618775097244,,720,720,5,36,36,10,0,""
REG-Q-044,189.991284772639,12.6070033427265,15.0702970093407,2.53968755322313e-51,165.282012267919,214.700557277359,female,15,17-18-19,post_pandemic,FALSE,WLS,region,,,189.991284772639,720,720,5,36,36,10,0,""
REG-Q-045,0.931633863183262,0.451845369057972,2.06184222962288,0.039222759088845,0.0460332132484278,1.8172345131181,male,15,17-18-19,post_pandemic,TRUE,PPML,region,2.53865360364139,153.865360364139,,720,720,5,36,36,72,0,""
REG-Q-046,-10.5798594728883,9.62875364906081,-1.09877766723425,0.271865055670295,-29.4518698410562,8.29215089527948,male,15,17-18-19,post_pandemic,TRUE,WLS,region,,,-10.5798594728883,720,720,5,36,36,72,0,""
REG-Q-047,-1.18715178151763,0.296174254006736,-4.00828824739991,6.11604432519191e-05,-1.76764265251885,-0.606660910516414,male,15,17-18-19,post_pandemic,FALSE,PPML,region,0.305088987840586,-69.4911012159414,,720,720,5,36,36,72,0,""
REG-Q-048,47.6392779796542,4.12639065725816,11.5450237111842,7.82198991892784e-31,39.5517009052857,55.7268550540228,male,15,17-18-19,post_pandemic,FALSE,WLS,region,,,47.6392779796542,720,720,5,36,36,72,0,""
REG-Q-049,-0.00290251711781526,0.0789134969310051,-0.0367809973033252,0.970659625750456,-0.157570128996697,0.151765094761067,combined,15,18-19,short_run_clean,TRUE,PPML,region,0.997101691112523,-0.289830888747711,,405,405,5,27,27,0,0,""
REG-Q-050,21.0141538631159,15.2512454544458,1.37786477346282,0.168245042810119,-8.87773794697809,50.9060456732099,combined,15,18-19,short_run_clean,TRUE,WLS,region,,,21.0141538631159,405,405,5,27,27,0,0,""
REG-Q-051,-0.497906694816301,0.0768990293795086,-6.47481117556185,9.49305809238978e-11,-0.648626022846225,-0.347187366786377,combined,15,18-19,short_run_clean,FALSE,PPML,region,0.607801643300836,-39.2198356699164,,405,405,5,27,27,0,0,""
REG-Q-052,93.8993254566848,15.9576600253605,5.88427910529842,3.99792690408062e-09,62.6228865294436,125.175764383926,combined,15,18-19,short_run_clean,FALSE,WLS,region,,,93.8993254566848,405,405,5,27,27,0,0,""
REG-Q-053,-0.0941709409619909,0.0698308594416334,-1.34855766798491,0.177479085448099,-0.231036910477071,0.0426950285530893,female,15,18-19,short_run_clean,TRUE,PPML,region,0.910127170928549,-8.9872829071451,,405,405,5,27,27,0,0,""
REG-Q-054,30.0414800832809,21.6649861960512,1.38663739784687,0.165552358602802,-12.4211125865369,72.5040727530988,female,15,18-19,short_run_clean,TRUE,WLS,region,,,30.0414800832809,405,405,5,27,27,0,0,""
REG-Q-055,-0.560908880944125,0.0684275049971255,-8.19712600901768,2.46202327576796e-16,-0.695024326290425,-0.426793435597824,female,15,18-19,short_run_clean,FALSE,PPML,region,0.570690138671896,-42.9309861328104,,405,405,5,27,27,0,0,""
REG-Q-056,127.847801427504,22.7067841673278,5.63037903057455,1.79814021310652e-08,83.3433222548176,172.352280600191,female,15,18-19,short_run_clean,FALSE,WLS,region,,,127.847801427504,405,405,5,27,27,0,0,""
REG-Q-057,0.944885187723189,0.254638643553635,3.71069046919489,0.00020669471106338,0.445802617285931,1.44396775816045,male,15,18-19,short_run_clean,TRUE,PPML,region,2.5725180049831,157.25180049831,,405,405,5,27,27,36,0,""
REG-Q-058,12.1801342182768,8.58189503004675,1.41928259150596,0.155816645341791,-4.64007095971808,29.0003393962718,male,15,18-19,short_run_clean,TRUE,WLS,region,,,12.1801342182768,405,405,5,27,27,36,0,""
REG-Q-059,-0.0799009234011091,0.187147391851143,-0.426941153765381,0.669422189646804,-0.446703071229955,0.286901224427736,male,15,18-19,short_run_clean,FALSE,PPML,region,0.923207810145501,-7.67921898544993,,405,405,5,27,27,36,0,""
REG-Q-060,55.841549908294,9.03508139050643,6.18052538707279,6.388862091475e-10,38.1331157855133,73.5499840310746,male,15,18-19,short_run_clean,FALSE,WLS,region,,,55.841549908294,405,405,5,27,27,36,0,""
REG-Q-061,-0.0488722647683164,0.0853832805927269,-0.572386823615201,0.567059940511322,-0.216220419611939,0.118475890075306,combined,15,18-19,full_dynamic,TRUE,PPML,region,0.952302764544074,-4.76972354559261,,705,705,5,47,47,11,0,""
REG-Q-062,45.8392410856268,18.4511098100727,2.48436227183487,0.012978370121963,9.67573038309062,82.002751788163,combined,15,18-19,full_dynamic,TRUE,WLS,region,,,45.8392410856268,705,705,5,47,47,11,0,""
REG-Q-063,-0.855074053422182,0.0919712639727333,-9.29718714832151,1.44210245459426e-20,-1.03533441842137,-0.674813688422998,combined,15,18-19,full_dynamic,FALSE,PPML,region,0.425251698572657,-57.4748301427343,,705,705,5,47,47,11,0,""
REG-Q-064,129.325581853075,10.4494463427761,12.3763094819354,3.51120504716443e-35,108.84504336285,149.8061203433,combined,15,18-19,full_dynamic,FALSE,WLS,region,,,129.325581853075,705,705,5,47,47,11,0,""
REG-Q-065,-0.14119840132466,0.081605516784061,-1.73025558674286,0.0835846208532782,-0.301142275161198,0.0187454725118784,female,15,18-19,full_dynamic,TRUE,PPML,region,0.868317019359853,-13.1682980640147,,705,705,5,47,47,12,0,""
REG-Q-066,67.6302041573108,25.1263345455674,2.6916064511782,0.00711088009154813,18.3834933844942,116.876914930127,female,15,18-19,full_dynamic,TRUE,WLS,region,,,67.6302041573108,705,705,5,47,47,12,0,""
REG-Q-067,-0.878691320900987,0.0863478722029045,-10.1761780398733,2.53316020555573e-24,-1.04793004056035,-0.709452601241627,female,15,18-19,full_dynamic,FALSE,PPML,region,0.415326084750827,-58.4673915249173,,705,705,5,47,47,12,0,""
REG-Q-068,189.866123184515,14.7745102990598,12.8509249607141,8.49879185665026e-38,160.908615109142,218.823631259888,female,15,18-19,full_dynamic,FALSE,WLS,region,,,189.866123184515,705,705,5,47,47,12,0,""
REG-Q-069,1.03629811120226,0.239427129401341,4.32824013633458,1.50305538841472e-05,0.567029560653819,1.5055666617507,male,15,18-19,full_dynamic,TRUE,PPML,region,2.8187629294482,181.876292944819,,705,705,5,47,47,100,0,""
REG-Q-070,26.4701371483561,11.9516410151011,2.2147700985087,0.0267758485993735,3.0453512026062,49.8949230941061,male,15,18-19,full_dynamic,TRUE,WLS,region,,,26.4701371483561,705,705,5,47,47,100,0,""
REG-Q-071,-0.651381344958743,0.183429273823611,-3.55113080579017,0.000383579727724029,-1.01089611536336,-0.291866574554131,male,15,18-19,full_dynamic,FALSE,PPML,region,0.521325149291202,-47.8674850708798,,705,705,5,47,47,100,0,""
REG-Q-072,65.8189459213795,5.96310286881801,11.0377009032591,2.51383066497549e-28,54.1314790623887,77.5064127803702,male,15,18-19,full_dynamic,FALSE,WLS,region,,,65.8189459213795,705,705,5,47,47,100,0,""
REG-Q-073,-0.0122511070364957,0.0953517492031065,-0.128483296204666,0.897766516356963,-0.19913710133748,0.174634887264489,combined,15,18-19,exclude_pandemic,TRUE,PPML,region,0.987823632250966,-1.21763677490344,,585,585,5,39,39,9,0,""
REG-Q-074,19.9206310661207,16.2640754632958,1.2248240676869,0.220641514760519,-11.9563710837807,51.7976332160221,combined,15,18-19,exclude_pandemic,TRUE,WLS,region,,,19.9206310661207,585,585,5,39,39,9,0,""
REG-Q-075,-0.897346849823609,0.125539772767497,-7.1479088263567,8.81097981000699e-13,-1.14340028307525,-0.651293416571972,combined,15,18-19,exclude_pandemic,FALSE,PPML,region,0.407649782335181,-59.2350217664819,,585,585,5,39,39,9,0,""
REG-Q-076,127.776190492046,10.560981015519,12.0988940614781,1.07043536337055e-33,107.077048060218,148.475332923875,combined,15,18-19,exclude_pandemic,FALSE,WLS,region,,,127.776190492046,585,585,5,39,39,9,0,""
REG-Q-077,-0.0905326801782819,0.0896224776004407,-1.01015596312679,0.31242057365128,-0.266189508480393,0.0851241481238295,female,15,18-19,exclude_pandemic,TRUE,PPML,region,0.913444481884652,-8.65555181153477,,585,585,5,39,39,10,0,""
REG-Q-078,32.3132223049117,19.4993501848918,1.65714354573457,0.0974904570184073,-5.90480177941075,70.5312463892341,female,15,18-19,exclude_pandemic,TRUE,WLS,region,,,32.3132223049117,585,585,5,39,39,10,0,""
REG-Q-079,-0.904268780403929,0.115576086253091,-7.82401281891259,5.11655939005708e-15,-1.13079374693408,-0.677743813873777,female,15,18-19,exclude_pandemic,FALSE,PPML,region,0.404837802233855,-59.5162197766145,,585,585,5,39,39,10,0,""
REG-Q-080,188.717219797005,15.3746930967035,12.2745357328445,1.24101630305793e-34,158.58337505411,218.8510645399,female,15,18-19,exclude_pandemic,FALSE,WLS,region,,,188.717219797005,585,585,5,39,39,10,0,""
REG-Q-081,0.992349824313668,0.273427543333486,3.62929722520071,0.000284193869739898,0.45644168699877,1.52825796162857,male,15,18-19,exclude_pandemic,TRUE,PPML,region,2.69756583642949,169.756583642949,,585,585,5,39,39,79,0,""
REG-Q-082,9.88564461899699,12.5710427589612,0.786382228471071,0.431643591748226,-14.7531464366799,34.5244356746739,male,15,18-19,exclude_pandemic,TRUE,WLS,region,,,9.88564461899699,585,585,5,39,39,79,0,""
REG-Q-083,-0.813566975632409,0.259453148333391,-3.13569899173856,0.00171445072881084,-1.32208580204138,-0.305048149223435,male,15,18-19,exclude_pandemic,FALSE,PPML,region,0.443274095013643,-55.6725904986357,,585,585,5,39,39,79,0,""
REG-Q-084,63.3101323563033,5.81085817976099,10.8951432641757,1.215750793308e-27,51.9210596047018,74.6992051079049,male,15,18-19,exclude_pandemic,FALSE,WLS,region,,,63.3101323563033,585,585,5,39,39,79,0,""
REG-Q-085,-0.0412932071319437,0.160305986325824,-0.257589925856012,0.796723405407929,-0.355487166836728,0.272900752572841,combined,15,18-19,post_pandemic,TRUE,PPML,region,0.959547742455877,-4.04522575441235,,540,540,5,36,36,9,0,""
REG-Q-086,-2.63443132040707,20.6878400820082,-0.127342018788041,0.898669704807017,-43.1818527990672,37.9129901582531,combined,15,18-19,post_pandemic,TRUE,WLS,region,,,-2.63443132040707,540,540,5,36,36,9,0,""
REG-Q-087,-1.06256697876195,0.135478760711995,-7.84305210040109,4.39725437442335e-15,-1.32810047042758,-0.797033487096321,combined,15,18-19,post_pandemic,FALSE,PPML,region,0.345567606111394,-65.4432393888606,,540,540,5,36,36,9,0,""
REG-Q-088,136.576334502686,9.55228552818449,14.2977650845665,2.25949913054214e-46,117.854198897402,155.298470107971,combined,15,18-19,post_pandemic,FALSE,WLS,region,,,136.576334502686,540,540,5,36,36,9,0,""
REG-Q-089,-0.0886630140891826,0.155678452497862,-0.569526563673929,0.56899884894923,-0.393787174153923,0.216461145975557,female,15,18-19,post_pandemic,TRUE,PPML,region,0.915153915593861,-8.48460844061395,,540,540,5,36,36,10,0,""
REG-Q-090,15.7172575698774,27.0990260268047,0.57999344900185,0.561919035535898,-37.3958574587734,68.8303725985281,female,15,18-19,post_pandemic,TRUE,WLS,region,,,15.7172575698774,540,540,5,36,36,10,0,""
REG-Q-091,-1.04353082633831,0.130382643623944,-8.00360229961372,1.2083120902237e-15,-1.29907611205036,-0.787985540626261,female,15,18-19,post_pandemic,FALSE,PPML,region,0.352208895480416,-64.7791104519584,,540,540,5,36,36,10,0,""
REG-Q-092,204.35484016506,13.1584054903297,15.5303650062496,2.16146010016334e-54,178.564839310039,230.14484102008,female,15,18-19,post_pandemic,FALSE,WLS,region,,,204.35484016506,540,540,5,36,36,10,0,""
REG-Q-093,0.931570955637752,0.45303140942113,2.05630544872834,0.0397530834348294,0.0436457093069167,1.81949620196859,male,15,18-19,post_pandemic,TRUE,PPML,region,2.53849390819736,153.849390819736,,540,540,5,36,36,72,0,""
REG-Q-094,-14.161701468208,13.4795956796361,-1.05060283741317,0.293441037359271,-40.5812235264565,12.2578205900404,male,15,18-19,post_pandemic,TRUE,WLS,region,,,-14.161701468208,540,540,5,36,36,72,0,""
REG-Q-095,-1.20219937642772,0.296809178567129,-4.05041172322042,5.11275949661374e-05,-1.78393467670021,-0.620464076155231,male,15,18-19,post_pandemic,FALSE,PPML,region,0.30053250040544,-69.946749959456,,540,540,5,36,36,72,0,""
REG-Q-096,65.2652300295663,5.74927592589935,11.3519042868615,7.25648480499526e-30,53.9968562776204,76.5336037815122,male,15,18-19,post_pandemic,FALSE,WLS,region,,,65.2652300295663,540,540,5,36,36,72,0,""
REG-Q-097,-0.0332029095035232,0.0704602018934271,-0.47122927001747,0.63747701868209,-0.171302367558061,0.104896548551015,combined,15,16-17,short_run_clean,TRUE,PPML,region,0.967342256736797,-3.26577432632031,,405,405,5,27,27,0,0,""
REG-Q-098,0.101781348030281,5.03361028677725,0.020220347271947,0.983867596427456,-9.76391352626346,9.96747622232402,combined,15,16-17,short_run_clean,TRUE,WLS,region,,,0.101781348030281,405,405,5,27,27,0,0,""
REG-Q-099,-0.327014432290334,0.0565375077866215,-5.78402630559027,7.29335296481902e-09,-0.437825911327765,-0.216202953252903,combined,15,16-17,short_run_clean,FALSE,PPML,region,0.72107333621177,-27.892666378823,,405,405,5,27,27,0,0,""
REG-Q-100,48.9608841746333,7.38354964225242,6.6310767241889,3.33246949790761e-11,34.4893927977549,63.4323755515116,combined,15,16-17,short_run_clean,FALSE,WLS,region,,,48.9608841746333,405,405,5,27,27,0,0,""
REG-Q-101,-0.111417164441605,0.0587132762571399,-1.89764856509869,0.0577423923396613,-0.22649307131995,0.00365874243674032,female,15,16-17,short_run_clean,TRUE,PPML,region,0.894565490166118,-10.5434509833882,,405,405,5,27,27,0,0,""
REG-Q-102,0.700222938148401,9.42435659215198,0.0742992830652761,0.940772247487577,-17.7711765599321,19.1716224362289,female,15,16-17,short_run_clean,TRUE,WLS,region,,,0.700222938148401,405,405,5,27,27,0,0,""
REG-Q-103,-0.353262708302006,0.0447050751858259,-7.90207167382218,2.74305600605272e-15,-0.44088304559238,-0.265642371011632,female,15,16-17,short_run_clean,FALSE,PPML,region,0.70239264475803,-29.760735524197,,405,405,5,27,27,0,0,""
REG-Q-104,92.6062586698852,13.742680515607,6.73858775693114,1.59933451946374e-11,65.6710998082553,119.541417531515,female,15,16-17,short_run_clean,FALSE,WLS,region,,,92.6062586698852,405,405,5,27,27,0,0,""
