year,quarter,period,period_index,trend_2018q4,post_full,partial_2019q1,pandemic,rate15,count15,population15,control_count,control_population,control_rate,log_rate_gap,quarter_factor,counterfactual_gap,dynamic_log_effect,bootstrap_se,pointwise_ci_lower,pointwise_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper,effect_rate_ratio,simultaneous_rate_ratio_lower,simultaneous_rate_ratio_upper
2015,3,2015Q3,11,-13,0,0,0,5.39622891184129,191,3539508.85183682,32303,10020658.5908063,322.364041317974,-4.08998111008702,3,-4.27799331008121,0.188012199994192,0.107612639837745,-0.00241436956003188,0.414445139853375,-0.145390882290741,0.521415282279126,1.2068482388013,0.864684237289589,1.68440987899032
2015,4,2015Q4,12,-12,0,0,0,4.88350578218455,174,3563014.1083229,41616,10029345.8390209,414.942316956366,-4.44227615535471,4,-4.31440531501685,-0.127870840337863,0.114130731083472,-0.319677231582365,0.129880952037118,-0.481468127645705,0.225726446969979,0.879967028049093,0.617875605338186,1.25323279275564
2016,1,2016Q1,13,-11,0,0,0,3.50612049016278,124,3536672.52303252,28601,9912752.97456541,288.527314999029,-4.41027960808435,1,-4.46783263964937,0.0575530315650266,0.107461052470424,-0.131918272398052,0.293280376269404,-0.27538040611704,0.390486469247093,1.05924144239671,0.759283232294383,1.47769947441123
2016,2,2016Q2,14,-10,0,0,0,3.42227174312856,118,3448002.05410127,28659,10000907.5913244,286.563991700724,-4.42765728500262,2,-4.40662030131901,-0.0210369836836142,0.104475154487258,-0.209708636114017,0.199726185755428,-0.344719578783648,0.302645611416419,0.979182750114761,0.708418981329197,1.35343473762282
2016,3,2016Q3,15,-9,0,0,0,3.24948487351141,109,3354377.8242677,29555,10025469.0704437,294.799173907301,-4.50779787477612,3,-4.40099469920596,-0.106803175570158,0.109236263824926,-0.304516060881021,0.130149392690588,-0.445236533504999,0.231630182364684,0.89870254219911,0.640672717545257,1.26065343074031
2016,4,2016Q4,16,-8,0,0,0,4.54499226326953,150,3300335.65100273,35796,10025344.3254601,357.055068014907,-4.36386399664953,4,-4.4374067041416,0.0735427074920674,0.103494697775792,-0.120768349009927,0.29607341120139,-0.24710225847683,0.394187673460965,1.07631450238342,0.781060819357841,1.48317887586949
2017,1,2017Q1,17,-7,0,0,0,2.2854870796443,75,3281576.19738864,25972,10042796.3102917,258.613230792946,-4.7287544626,1,-4.59083402877412,-0.137920433825876,0.107325416170709,-0.322185123300839,0.108911482504777,-0.470433646147214,0.194592778495462,0.871168004493424,0.624731297214086,1.21481618647477
2017,2,2017Q2,18,-6,0,0,0,2.70713742981601,88,3250666.14759861,24780,10139603.2985585,244.388259287451,-4.50286640956768,2,-4.52962169044376,0.0267552808760803,0.105681462237312,-0.169407976861352,0.244184034133204,-0.300664670009096,0.354175231761257,1.02711641697556,0.74032598463363,1.42500487071624
2017,3,2017Q3,19,-5,0,0,0,2.14897290408467,70,3257370.06115559,26998,10169015.2795187,265.492766584551,-4.81659758684313,3,-4.52399608833071,-0.292601498512417,0.109906759500326,-0.488661104888654,-0.0609387186481901,-0.633112171204837,0.0479091741800022,0.746319490873368,0.530936860704407,1.04907536786673
2017,4,2017Q4,20,-4,0,0,0,3.28629749769381,106,3225514.42997436,32706,10208086.5418513,320.393051782146,-4.57978697846504,4,-4.56040809326635,-0.0193788851986936,0.0985373239073153,-0.201958528383937,0.198814546544756,-0.324665025937756,0.285907255540369,0.980807678322403,0.722769422105869,1.33096900952635
2018,1,2018Q1,21,-3,0,0,0,2.11279856695327,67,3171149.4435845,23355,10196190.1614833,229.056143815608,-4.68595373927402,1,-4.71383541789887,0.0278816786248504,0.102023168050282,-0.163078794844078,0.237438917849314,-0.288204226745788,0.343967583995488,1.02827401042831,0.749608486503617,1.41053291092537
2018,2,2018Q2,22,-2,0,0,0,2.31141579297018,74,3201501.01184995,23771,10081360.4013581,235.791590158782,-4.62508808814364,2,-4.6526230795685,0.0275349914248597,0.100152308331105,-0.143994666310641,0.246169297036754,-0.282754658061368,0.337824640911088,1.02791758277883,0.753704680545306,1.40189464688133
