year,quarter,period,trend_2018q4,focal_rate,control_count,control_population,control_rate,gap,quarter_factor,predicted,focal_age,controls,event_time,dynamic_log_effect,bootstrap_se,simultaneous_ci_lower,simultaneous_ci_upper,simultaneous_critical_value,bootstrap_replications,block_length
2016,2,2016Q2,-10,3.42227174312856,28659,10000907.5913244,286.563991700724,-4.42765728500262,2,-4.40662030131901,15,17-18-19,-11,-0.0210369836836142,0.104475154487258,-0.340442074293395,0.298368106926167,3.05723492037273,999,4
2016,3,2016Q3,-9,3.24948487351141,29555,10025469.0704437,294.799173907301,-4.50779787477612,3,-4.40099469920596,15,17-18-19,-10,-0.106803175570158,0.109236263824926,-0.440764095906771,0.227157744766456,3.05723492037273,999,4
2016,4,2016Q4,-8,4.54499226326953,35796,10025344.3254601,357.055068014907,-4.36386399664953,4,-4.4374067041416,15,17-18-19,-9,0.0735427074920674,0.103494697775792,-0.242864896621507,0.389950311605642,3.05723492037273,999,4
2017,1,2017Q1,-7,2.2854870796443,25972,10042796.3102917,258.613230792946,-4.7287544626,1,-4.59083402877412,15,17-18-19,-8,-0.137920433825876,0.107325416170709,-0.466039443986504,0.190198576334752,3.05723492037273,999,4
2017,2,2017Q2,-6,2.70713742981601,24780,10139603.2985585,244.388259287451,-4.50286640956768,2,-4.52962169044376,15,17-18-19,-7,0.0267552808760803,0.105681462237312,-0.296337775911881,0.349848337664042,3.05723492037273,999,4
2017,3,2017Q3,-5,2.14897290408467,26998,10169015.2795187,265.492766584551,-4.81659758684313,3,-4.52399608833071,15,17-18-19,-6,-0.292601498512417,0.109906759500326,-0.628612281641821,0.043409284616986,3.05723492037273,999,4
2017,4,2017Q4,-4,3.28629749769381,32706,10208086.5418513,320.393051782146,-4.57978697846504,4,-4.56040809326635,15,17-18-19,-5,-0.0193788851986936,0.0985373239073153,-0.320630632808217,0.281872862410829,3.05723492037273,999,4
2018,1,2018Q1,-3,2.11279856695327,23355,10196190.1614833,229.056143815608,-4.68595373927402,1,-4.71383541789887,15,17-18-19,-4,0.0278816786248504,0.102023168050282,-0.284027113425529,0.339790470675229,3.05723492037273,999,4
2018,2,2018Q2,-2,2.31141579297018,23771,10081360.4013581,235.791590158782,-4.62508808814364,2,-4.6526230795685,15,17-18-19,-3,0.0275349914248597,0.100152308331105,-0.278654142960932,0.333724125810651,3.05723492037273,999,4
2018,3,2018Q3,-1,2.37672910531314,24465,10029871.8954335,243.92136066203,-4.63112066404386,3,-4.64699747745546,15,17-18-19,-2,0.0158768134115954,0.0991650916181883,-0.287294167565491,0.319047794388682,3.05723492037273,999,4
2018,4,2018Q4,0,3.07577522009459,30999,9984489.3978585,310.471560084472,-4.61453532966632,4,-4.6834094823911,15,17-18-19,-1,0.0688741527247734,0.0985187328174958,-0.232320757555746,0.370069063005293,3.05723492037273,999,4
2019,2,2019Q2,2,1.65369278455407,21563,9890229.71447446,218.023247411962,-4.88159085815678,2,-4.77562446869325,15,17-18-19,0,-0.105966389463523,0.140413249723339,-0.535242679800731,0.323309900873685,3.05723492037273,999,4
2019,3,2019Q3,3,2.00908324567505,22314,9821980.8144476,227.184316702974,-4.72808313452017,3,-4.76999886658021,15,17-18-19,1,0.041915732060037,0.142960430437365,-0.395147888104591,0.478979352224665,3.05723492037273,999,4
2019,4,2019Q4,4,2.56038902142994,26862,9705545.86700344,276.769595116999,-4.68302616503714,4,-4.80641087151584,15,17-18-19,2,0.123384706478708,0.13973250411778,-0.303810384621294,0.55057979757871,3.05723492037273,999,4
2020,1,2020Q1,5,1.27100327707825,17579,9720194.34696287,180.85029344596,-4.95786301043951,1,-4.95983819614837,15,17-18-19,3,0.00197518570886057,0.150727519485232,-0.458834250322551,0.462784621740272,3.05723492037273,999,4
2020,2,2020Q2,6,0.89723913247808,10391,9595357.98848279,108.291947131855,-4.79326365525686,2,-4.898625857818,15,17-18-19,4,0.105362202561144,0.146773840227664,-0.343359907180076,0.554084312302365,3.05723492037273,999,4
2020,3,2020Q3,7,1.10506554044654,17968,9410119.60582744,190.943375351711,-5.15207227413319,3,-4.89300025570496,15,17-18-19,5,-0.259072018428233,0.154414728424948,-0.731154118388857,0.213010081532391,3.05723492037273,999,4
2020,4,2020Q4,8,1.62022145433062,25728,9286046.69411385,277.060851054176,-5.14167432085165,4,-4.92941226064059,15,17-18-19,6,-0.212262060211055,0.142742540833299,-0.648659540669346,0.224135420247236,3.05723492037273,999,4
