year,quarter,period,trend_2018q4,focal_rate,control_count,control_population,control_rate,gap,quarter_factor,predicted,focal_age,controls,event_time,dynamic_log_effect,bootstrap_se,simultaneous_ci_lower,simultaneous_ci_upper,simultaneous_critical_value,bootstrap_replications,block_length
2018,3,2018Q3,-1,112.139329471447,20841,6798177.87953277,306.567441589692,-1.00569565769472,3,-1.03987840984232,17,18-19,-2,0.0341827521476024,0.0211039513456455,-0.0235577581866,0.0919232624818047,2.7360047125069,999,4
2018,4,2018Q4,0,147.406179266986,26281,6783809.46472311,387.407696761906,-0.966285717880491,4,-1.01250252606024,17,18-19,-1,0.0462168081797501,0.0219723716235769,-0.0138997041273093,0.106333320486809,2.7360047125069,999,4
2019,2,2019Q2,2,95.746503558651,18516,6707868.07540582,276.034051234375,-1.05882012110951,2,-1.0764064745843,17,18-19,0,0.0175863534747929,0.0318609317420793,-0.0695853059163968,0.104758012865983,2.7360047125069,999,4
2019,3,2019Q3,3,97.2920849785422,19169,6589446.53306836,290.904553270182,-1.09527757842292,3,-1.08721357327527,17,18-19,1,-0.00806400514765326,0.0312016511922635,-0.0934318698476827,0.0773038595523761,2.7360047125069,999,4
2019,4,2019Q4,4,126.62690775077,22885,6564823.19546223,348.600401238813,-1.01268125548426,4,-1.05983768949319,17,18-19,2,0.0471564340089308,0.0319395908423206,-0.0402304370512006,0.134543305069062,2.7360047125069,999,4
2020,1,2020Q1,5,78.2826671757318,15069,6513865.16764983,231.337303001573,-1.08355061744317,1,-1.07554129389963,17,18-19,3,-0.008009323543547,0.0337447699006145,-0.100335173014089,0.0843165259269952,2.7360047125069,999,4
2020,2,2020Q2,6,43.625838438101,9006,6420633.90388984,140.266524066165,-1.16789475656693,2,-1.12374163801725,17,18-19,4,-0.0441531185496784,0.033643230034084,-0.136201154466886,0.0478949173675292,2.7360047125069,999,4
2020,3,2020Q3,7,82.0318027300007,15444,6333264.14733229,243.855295479904,-1.08946798781164,3,-1.13454873670821,17,18-19,5,0.0450807488965774,0.0337295855391222,-0.0472035560893657,0.137365053882521,2.7360047125069,999,4
2020,4,2020Q4,8,118.215089663269,21999,6131627.05900474,358.779159076429,-1.11020128447669,4,-1.10717285292613,17,18-19,6,-0.00302843155056021,0.0333672335361804,-0.094321339748868,0.0882644766477476,2.7360047125069,999,4
2021,1,2021Q1,9,83.3167642604824,15107,6152272.68983398,245.551534556698,-1.08085706138219,1,-1.12287645733257,17,18-19,7,0.0420193959503812,0.0360382536941845,-0.0565814359874268,0.140620227888189,2.7360047125069,999,4
2021,2,2021Q2,10,72.3377733231252,14363,6273523.9677664,228.946283999195,-1.15214096301395,2,-1.1710768014502,17,18-19,8,0.0189358384362499,0.0358599694752531,-0.0791772070383963,0.117048883910896,2.7360047125069,999,4
2021,3,2021Q3,11,84.0167885562884,15960,6250157.37832743,255.353570061159,-1.11163249140753,3,-1.18188390014116,17,18-19,9,0.0702514087336306,0.037261730242453,-0.0316968608058818,0.172199678273143,2.7360047125069,999,4
2021,4,2021Q4,12,105.903477314925,19650,6225941.34204908,315.614923437952,-1.09199478587558,4,-1.15450801635908,17,18-19,10,0.0625132304834977,0.0368944522566801,-0.0384301647561399,0.163456625723135,2.7360047125069,999,4
2022,1,2022Q1,13,69.3957775576387,13469,6179551.34030737,217.960807480403,-1.14448924087349,1,-1.17021162076552,17,18-19,11,0.0257223798920254,0.0377934194416815,-0.0776805938021651,0.129125353586216,2.7360047125069,999,4
2022,2,2022Q2,14,68.4295764766949,13914,6138842.12104659,226.655120389834,-1.19762443294937,2,-1.21841196488314,17,18-19,12,0.0207875319337767,0.040345007215846,-0.0895965979349029,0.131171661802456,2.7360047125069,999,4
2022,3,2022Q3,15,77.894297092296,14997,6067667.13897062,247.162536383699,-1.15469342011347,3,-1.22921906357411,17,18-19,13,0.0745256434606338,0.03859399908684,-0.0310677199154475,0.180119006836715,2.7360047125069,999,4
2022,4,2022Q4,16,91.4327915191081,17494,6003162.16511967,291.413083951752,-1.15913760959455,4,-1.20184317979203,17,18-19,14,0.0427055701974801,0.0381207898373341,-0.0615930904419512,0.147004230836911,2.7360047125069,999,4
2023,1,2023Q1,17,65.1676552582828,13005,5960236.35577176,218.196044984126,-1.20843068674301,1,-1.21754678419847,17,18-19,15,0.00911609745545716,0.0399014094355777,-0.100054346795951,0.118286541706865,2.7360047125069,999,4
2023,2,2023Q2,18,62.5846799202904,13486,5950968.82182988,226.618562519256,-1.28674774435252,2,-1.26574712831609,17,18-19,16,-0.0210006160364353,0.0414597133653063,-0.134434587183099,0.092433355110228,2.7360047125069,999,4
2023,3,2023Q3,19,66.7867758437243,14365,5957588.09112983,241.121067456608,-1.28379406741121,3,-1.27655422700705,17,18-19,17,-0.00723984040416092,0.0412812754990983,-0.12018560470799,0.105705923899668,2.7360047125069,999,4
2023,4,2023Q4,20,81.8992070339865,18523,5979290.59733523,309.785913537219,-1.33039214872385,4,-1.24917834322497,17,18-19,18,-0.0812138054988767,0.0416484259356786,-0.195164095127388,0.0327364841296347,2.7360047125069,999,4
2024,1,2024Q1,21,60.169491473397,12991,5989441.80910417,216.898342350588,-1.2822633376453,1,-1.26488194763141,17,18-19,19,-0.0173813900138855,0.046267885758156,-0.143970543485931,0.10920776345816,2.7360047125069,999,4
2024,2,2024Q2,22,62.9108032936688,13777,5908177.68316007,233.185268602673,-1.31011537938859,2,-1.31308229174903,17,18-19,20,0.00296691236044411,0.0442736137685214,-0.118165903549941,0.124099728270829,2.7360047125069,999,4
2024,3,2024Q3,23,57.5774627412933,13892,5839093.7477683,237.913631808181,-1.41877649696564,3,-1.32388939044,17,18-19,21,-0.0948871065256405,0.0451438538656441,-0.218400903442766,0.0286266903914847,2.7360047125069,999,4
2024,4,2024Q4,24,78.6757947608096,17737,5767061.05361945,307.557000612437,-1.36332489319241,4,-1.29651350665792,17,18-19,22,-0.0668113865344953,0.0440604983823554,-0.187361117744022,0.0537383446750317,2.7360047125069,999,4
