year,month,period,trend_2019m02,post_april_2019,partial_march_2019,rate15,control_count,control_population,control_rate,log_rate_gap,month_factor,counterfactual_gap,dynamic_log_effect
2014,7,2014M07,-55,0,0,1.79120056810959,11754,10051174.8474076,116.941553384991,-4.17878816279681,7,-4.31658179110181,0.137793628304999
2014,8,2014M08,-54,0,0,1.9086563430676,9276,10051174.8474076,92.2877190062259,-3.87851156827731,8,-3.94900267057646,0.070491102299151
2014,9,2014M09,-53,0,0,2.14356789298361,11854,10051174.8474076,117.936461955563,-4.00767434099692,9,-4.23430606092128,0.226631719924363
2014,10,2014M10,-52,0,0,2.35314194427419,12243,9980677.43950279,122.667024099417,-3.95372213061635,10,-4.08552055567483,0.131798425058475
2014,11,2014M11,-51,0,0,1.83659859065303,13216,9980677.43950279,132.415861349171,-4.27803216620778,11,-4.15437984588978,-0.123652320317996
2014,12,2014M12,-50,0,0,3.35753179853756,18742,9980677.43950279,187.782844537391,-4.02408009269271,12,-4.33207876834178,0.307998675649078
2015,1,2015M01,-49,0,0,2.15088607526486,11759,10041046.5009239,117.10930727109,-3.99722786356962,1,-4.33992243908004,0.34269457551042
2015,2,2015M02,-48,0,0,1.61316455644865,9488,10041046.5009239,94.4921428172547,-4.07031887343549,2,-4.27990269581872,0.209583822383225
2015,3,2015M03,-47,0,0,1.38675549589445,10561,10041046.5009239,105.17827996343,-4.32868997166838,3,-4.42268702212687,0.0939970504584817
2015,4,2015M04,-46,0,0,1.50274545794067,9771,10068772.430524,97.0426143546424,-4.16785646483866,4,-4.30922566610338,0.141369201264718
2015,5,2015M05,-45,0,0,1.38933070639798,11048,10068772.430524,109.725391811492,-4.36915868142494,5,-4.38293684197515,0.0137781605502125
2015,6,2015M06,-44,0,0,1.72957496102605,10202,10068772.430524,101.323175892545,-4.070439478756,6,-4.17936004421976,0.108920565463761
2015,7,2015M07,-43,0,0,2.2319480839553,12209,10020658.5908063,121.83829924314,-3.99981996518078,7,-4.43612958393233,0.436309618751549
2015,8,2015M08,-42,0,0,2.00592802482058,9069,10020658.5908063,90.5030334864472,-3.8092765603852,8,-4.06855046340699,0.259273903021784
2015,9,2015M09,-41,0,0,1.15835280306541,11025,10020658.5908063,110.022708588387,-4.55368778758969,9,-4.35385385375181,-0.199833933837883
2015,10,2015M10,-40,0,0,1.57170301035825,11847,10029345.8390209,118.1233570978,-4.31956972610042,10,-4.20506834850536,-0.114501377595065
2015,11,2015M11,-39,0,0,1.45943850961837,12028,10029345.8390209,119.928061042656,-4.4088402924078,11,-4.27392763872031,-0.134912653687493
2015,12,2015M12,-38,0,0,1.85236426220793,17741,10029345.8390209,176.890898815909,-4.55907034891503,12,-4.45162656117231,-0.107443787742724
2016,1,2016M01,-37,0,0,1.6399595841084,10524,9912752.97456541,106.166269118205,-4.1703348440715,1,-4.45947023191057,0.289135387839065
2016,2,2016M02,-36,0,0,0.735154296324453,8766,9912752.97456541,88.4315388721196,-4.78990355541501,2,-4.39945048864925,-0.390453066765766
2016,3,2016M03,-35,0,0,1.13100660972993,9311,9912752.97456541,93.9295070087047,-4.41943653423233,3,-4.54223481495739,0.12279828072506
2016,4,2016M04,-34,0,0,0.98607829886755,9740,10000907.5913244,97.3911608627325,-4.59275497255059,4,-4.4287734589339,-0.163981513616686
2016,5,2016M05,-33,0,0,1.1310898134069,9493,10000907.5913244,94.9213850174455,-4.42986741828232,5,-4.50248463480568,0.0726172165233558
2016,6,2016M06,-32,0,0,1.30510363085411,9426,10000907.5913244,94.2514458205458,-4.27968371824352,6,-4.29890783705028,0.0192241188067595
2016,7,2016M07,-31,0,0,0.983788998402536,10752,10025469.0704437,107.246852236552,-4.69147704504325,7,-4.55567737676286,-0.135799668280384
2016,8,2016M08,-30,0,0,1.25209508887596,8312,10025469.0704437,82.9088388941797,-4.19292345824249,8,-4.18809825623751,-0.00482520200497572
2016,9,2016M09,-29,0,0,1.01360078623292,10491,10025469.0704437,104.643482776569,-4.63705004486212,9,-4.47340164658233,-0.163648398279785
2016,10,2016M10,-28,0,0,1.33319773055906,9584,10025344.3254601,95.5977140422077,-4.27256854288001,10,-4.32461614133588,0.0520475984558741
2016,11,2016M11,-27,0,0,1.75739700846422,10815,10025344.3254601,107.87659404909,-4.11715418428378,11,-4.39347543155084,0.276321247267059
2016,12,2016M12,-26,0,0,1.45439752424625,15397,10025344.3254601,153.580759923609,-4.65963480976507,12,-4.57117435400284,-0.0884604557622311
2017,1,2017M01,-25,0,0,1.00561431504349,9169,10042796.3102917,91.2992727991883,-4.50854420909135,1,-4.57901802474109,0.0704738156497404
2017,2,2017M02,-24,0,0,0.639936382300403,7973,10042796.3102917,79.3902390694654,-4.82076193728701,2,-4.51899828147977,-0.301763655807234
2017,3,2017M03,-23,0,0,0.639936382300403,8830,10042796.3102917,87.9237189242919,-4.92285611838252,3,-4.66178260778792,-0.261073510594597
2017,4,2017M04,-22,0,0,0.738310208131638,7438,10139603.2985585,73.3559270613421,-4.59871451299982,4,-4.54832125176443,-0.0503932612353903
2017,5,2017M05,-21,0,0,0.830598984148093,8693,10139603.2985585,85.7331371261424,-4.63684758593749,5,-4.6220324276362,-0.0148151583012828
2017,6,2017M06,-20,0,0,1.13822823753628,8649,10139603.2985585,85.2991950999662,-4.31669214252504,6,-4.41845562988081,0.101763487355774
2017,7,2017M07,-19,0,0,0.644691871225402,9607,10169015.2795187,94.4732575960362,-4.98729960141003,7,-4.67522516959339,-0.312074431816642
2017,8,2017M08,-18,0,0,0.706091097056393,7546,10169015.2795187,74.2058084542198,-4.65485344531882,8,-4.30764604906804,-0.34720739625078
2017,9,2017M09,-17,0,0,0.798189935802879,9845,10169015.2795187,96.8137005342955,-4.79819721377546,9,-4.59294943941286,-0.205247774362597
2017,10,2017M10,-16,0,0,1.24011226328068,9094,10208086.5418513,89.086235336233,-4.27440292655579,10,-4.44416393416641,0.169761007610616
2017,11,2017M11,-15,0,0,0.899081390878494,9590,10208086.5418513,93.945128312566,-4.64909258417578,11,-4.51302322438136,-0.136069359794419
