year,uf,sex,age_group,persons_married
2003,RN,female,25-29,2042
2003,RN,female,30-34,1044
2003,RN,female,35-39,554
2003,RN,female,40-44,271
2003,RN,female,45-49,148
2003,RN,female,50-54,108
2003,RN,female,55-59,63
2003,RN,female,60-64,40
2003,RN,female,65+,64
2003,RN,female,<15,29
2003,RN,female,unknown,0
2003,RN,male,15,2
2003,RN,male,16,20
2003,RN,male,17,57
2003,RN,male,18,198
2003,RN,male,19,333
2003,RN,male,20-24,3438
2003,RN,male,25-29,2767
2003,RN,male,30-34,1414
2003,RN,male,35-39,760
2003,RN,male,40-44,351
2003,RN,male,45-49,169
2003,RN,male,50-54,139
2003,RN,male,55-59,93
2003,RN,male,60-64,87
2003,RN,male,65+,243
2003,RN,male,<15,2
2003,RN,male,unknown,0
2003,RO,female,15,16
2003,RO,female,16,557
2003,RO,female,17,528
2003,RO,female,18,583
2003,RO,female,19,546
2003,RO,female,20-24,1988
2003,RO,female,25-29,1049
2003,RO,female,30-34,595
2003,RO,female,35-39,364
2003,RO,female,40-44,248
2003,RO,female,45-49,138
2003,RO,female,50-54,83
2003,RO,female,55-59,50
2003,RO,female,60-64,29
2003,RO,female,65+,46
2003,RO,female,<15,10
2003,RO,female,unknown,0
2003,RO,male,15,0
2003,RO,male,16,7
2003,RO,male,17,24
2003,RO,male,18,154
2003,RO,male,19,234
2003,RO,male,20-24,2280
2003,RO,male,25-29,1671
2003,RO,male,30-34,914
2003,RO,male,35-39,566
2003,RO,male,40-44,338
2003,RO,male,45-49,194
2003,RO,male,50-54,118
2003,RO,male,55-59,93
2003,RO,male,60-64,83
2003,RO,male,65+,153
2003,RO,male,<15,1
2003,RO,male,unknown,0
2003,RR,female,15,3
2003,RR,female,16,38
2003,RR,female,17,43
2003,RR,female,18,61
2003,RR,female,19,76
2003,RR,female,20-24,315
2003,RR,female,25-29,181
2003,RR,female,30-34,139
2003,RR,female,35-39,100
2003,RR,female,40-44,59
2003,RR,female,45-49,32
2003,RR,female,50-54,31
2003,RR,female,55-59,14
2003,RR,female,60-64,8
2003,RR,female,65+,4
2003,RR,female,<15,3
2003,RR,female,unknown,0
2003,RR,male,15,0
2003,RR,male,16,1
2003,RR,male,17,5
2003,RR,male,18,16
2003,RR,male,19,25
2003,RR,male,20-24,274
2003,RR,male,25-29,267
2003,RR,male,30-34,163
2003,RR,male,35-39,116
2003,RR,male,40-44,88
2003,RR,male,45-49,65
2003,RR,male,50-54,37
2003,RR,male,55-59,18
2003,RR,male,60-64,14
2003,RR,male,65+,18
2003,RR,male,<15,0
2003,RR,male,unknown,0
2003,RS,female,15,50
2003,RS,female,16,1220
2003,RS,female,17,1490
2003,RS,female,18,2070
2003,RS,female,19,2198
2003,RS,female,20-24,11780
2003,RS,female,25-29,7226
2003,RS,female,30-34,3308
2003,RS,female,35-39,1765
2003,RS,female,40-44,1006
2003,RS,female,45-49,641
2003,RS,female,50-54,386
2003,RS,female,55-59,226
2003,RS,female,60-64,141
2003,RS,female,65+,156
2003,RS,female,<15,14
2003,RS,female,unknown,9
2003,RS,male,15,1
2003,RS,male,16,24
2003,RS,male,17,124
2003,RS,male,18,500
2003,RS,male,19,891
2003,RS,male,20-24,10455
2003,RS,male,25-29,9862
2003,RS,male,30-34,5271
2003,RS,male,35-39,2616
2003,RS,male,40-44,1349
2003,RS,male,45-49,738
2003,RS,male,50-54,525
2003,RS,male,55-59,372
2003,RS,male,60-64,294
2003,RS,male,65+,658
2003,RS,male,<15,1
2003,RS,male,unknown,5
2003,SC,female,15,20
2003,SC,female,16,772
2003,SC,female,17,1100
2003,SC,female,18,1486
2003,SC,female,19,1628
2003,SC,female,20-24,8299
2003,SC,female,25-29,4584
2003,SC,female,30-34,1877
2003,SC,female,35-39,939
2003,SC,female,40-44,526
2003,SC,female,45-49,332
2003,SC,female,50-54,206
2003,SC,female,55-59,100
2003,SC,female,60-64,66
2003,SC,female,65+,60
2003,SC,female,<15,12
2003,SC,female,unknown,4
2003,SC,male,15,1
2003,SC,male,16,11
2003,SC,male,17,55
2003,SC,male,18,293
2003,SC,male,19,677
2003,SC,male,20-24,7552
2003,SC,male,25-29,6694
2003,SC,male,30-34,3322
2003,SC,male,35-39,1422
2003,SC,male,40-44,700
2003,SC,male,45-49,397
2003,SC,male,50-54,265
2003,SC,male,55-59,222
2003,SC,male,60-64,137
2003,SC,male,65+,261
2003,SC,male,<15,0
2003,SC,male,unknown,2
2003,SE,female,15,66
2003,SE,female,16,242
2003,SE,female,17,274
2003,SE,female,18,405
2003,SE,female,19,402
2003,SE,female,20-24,2159
2003,SE,female,25-29,1412
2003,SE,female,30-34,728
2003,SE,female,35-39,357
2003,SE,female,40-44,187
2003,SE,female,45-49,117
2003,SE,female,50-54,65
2003,SE,female,55-59,52
2003,SE,female,60-64,27
2003,SE,female,65+,22
2003,SE,female,<15,44
2003,SE,female,unknown,5
2003,SE,male,15,5
2003,SE,male,16,8
2003,SE,male,17,33
2003,SE,male,18,111
2003,SE,male,19,182
2003,SE,male,20-24,1980
2003,SE,male,25-29,1924
2003,SE,male,30-34,1027
2003,SE,male,35-39,531
2003,SE,male,40-44,245
2003,SE,male,45-49,134
2003,SE,male,50-54,101
2003,SE,male,55-59,78
2003,SE,male,60-64,66
2003,SE,male,65+,136
2003,SE,male,<15,1
2003,SE,male,unknown,2
