year,uf,sex,age_group,persons_married
2005,BA,female,30-34,5528
2005,BA,female,35-39,2983
2005,BA,female,40-44,1672
2005,BA,female,45-49,1059
2005,BA,female,50-54,737
2005,BA,female,55-59,549
2005,BA,female,60-64,282
2005,BA,female,65+,306
2005,BA,female,<15,26
2005,BA,female,unknown,2
2005,BA,male,15,5
2005,BA,male,16,43
2005,BA,male,17,119
2005,BA,male,18,553
2005,BA,male,19,1165
2005,BA,male,20-24,13596
2005,BA,male,25-29,14183
2005,BA,male,30-34,7910
2005,BA,male,35-39,4238
2005,BA,male,40-44,2367
2005,BA,male,45-49,1394
2005,BA,male,50-54,932
2005,BA,male,55-59,762
2005,BA,male,60-64,569
2005,BA,male,65+,1171
2005,BA,male,<15,1
2005,BA,male,unknown,0
2005,CE,female,15,67
2005,CE,female,16,1292
2005,CE,female,17,1447
2005,CE,female,18,1945
2005,CE,female,19,2054
2005,CE,female,20-24,9347
2005,CE,female,25-29,6474
2005,CE,female,30-34,3271
2005,CE,female,35-39,1802
2005,CE,female,40-44,1005
2005,CE,female,45-49,499
2005,CE,female,50-54,348
2005,CE,female,55-59,242
2005,CE,female,60-64,115
2005,CE,female,65+,153
2005,CE,female,<15,23
2005,CE,female,unknown,6
2005,CE,male,15,4
2005,CE,male,16,89
2005,CE,male,17,223
2005,CE,male,18,661
2005,CE,male,19,997
2005,CE,male,20-24,9113
2005,CE,male,25-29,8095
2005,CE,male,30-34,4508
2005,CE,male,35-39,2541
2005,CE,male,40-44,1335
2005,CE,male,45-49,714
2005,CE,male,50-54,507
2005,CE,male,55-59,380
2005,CE,male,60-64,271
2005,CE,male,65+,645
2005,CE,male,<15,5
2005,CE,male,unknown,2
2005,DF,female,15,6
2005,DF,female,16,175
2005,DF,female,17,260
2005,DF,female,18,480
2005,DF,female,19,610
2005,DF,female,20-24,4298
2005,DF,female,25-29,3956
2005,DF,female,30-34,1918
2005,DF,female,35-39,994
2005,DF,female,40-44,505
2005,DF,female,45-49,253
2005,DF,female,50-54,140
2005,DF,female,55-59,71
2005,DF,female,60-64,52
2005,DF,female,65+,32
2005,DF,female,<15,3
2005,DF,female,unknown,1
2005,DF,male,15,1
2005,DF,male,16,9
2005,DF,male,17,24
2005,DF,male,18,98
2005,DF,male,19,217
2005,DF,male,20-24,3416
2005,DF,male,25-29,4395
2005,DF,male,30-34,2519
2005,DF,male,35-39,1308
2005,DF,male,40-44,760
2005,DF,male,45-49,387
2005,DF,male,50-54,241
2005,DF,male,55-59,135
2005,DF,male,60-64,89
2005,DF,male,65+,154
2005,DF,male,<15,0
2005,DF,male,unknown,1
2005,ES,female,15,17
2005,ES,female,16,712
2005,ES,female,17,873
2005,ES,female,18,1234
2005,ES,female,19,1289
2005,ES,female,20-24,6431
2005,ES,female,25-29,4332
2005,ES,female,30-34,1880
2005,ES,female,35-39,1046
2005,ES,female,40-44,598
2005,ES,female,45-49,421
2005,ES,female,50-54,273
2005,ES,female,55-59,165
2005,ES,female,60-64,71
2005,ES,female,65+,82
2005,ES,female,<15,3
2005,ES,female,unknown,4
2005,ES,male,15,0
2005,ES,male,16,12
2005,ES,male,17,76
2005,ES,male,18,271
2005,ES,male,19,479
2005,ES,male,20-24,6007
2005,ES,male,25-29,5750
2005,ES,male,30-34,2891
2005,ES,male,35-39,1450
2005,ES,male,40-44,814
2005,ES,male,45-49,561
2005,ES,male,50-54,332
2005,ES,male,55-59,249
2005,ES,male,60-64,160
2005,ES,male,65+,376
2005,ES,male,<15,0
2005,ES,male,unknown,3
2005,GO,female,15,69
2005,GO,female,16,1238
2005,GO,female,17,1427
2005,GO,female,18,1923
2005,GO,female,19,2027
2005,GO,female,20-24,9385
2005,GO,female,25-29,6350
2005,GO,female,30-34,3244
2005,GO,female,35-39,1760
2005,GO,female,40-44,1056
2005,GO,female,45-49,628
2005,GO,female,50-54,397
2005,GO,female,55-59,192
2005,GO,female,60-64,108
2005,GO,female,65+,106
2005,GO,female,<15,17
2005,GO,female,unknown,18
2005,GO,male,15,0
2005,GO,male,16,26
2005,GO,male,17,133
2005,GO,male,18,484
2005,GO,male,19,902
2005,GO,male,20-24,9008
2005,GO,male,25-29,8367
2005,GO,male,30-34,4641
2005,GO,male,35-39,2403
2005,GO,male,40-44,1417
2005,GO,male,45-49,900
2005,GO,male,50-54,526
2005,GO,male,55-59,395
2005,GO,male,60-64,276
2005,GO,male,65+,451
2005,GO,male,<15,0
2005,GO,male,unknown,16
2005,MA,female,15,132
2005,MA,female,16,911
2005,MA,female,17,959
2005,MA,female,18,1164
2005,MA,female,19,1251
2005,MA,female,20-24,5095
2005,MA,female,25-29,3307
2005,MA,female,30-34,1780
2005,MA,female,35-39,940
2005,MA,female,40-44,571
2005,MA,female,45-49,371
2005,MA,female,50-54,253
2005,MA,female,55-59,177
2005,MA,female,60-64,114
2005,MA,female,65+,175
2005,MA,female,<15,69
2005,MA,female,unknown,40
2005,MA,male,15,7
2005,MA,male,16,56
2005,MA,male,17,121
2005,MA,male,18,392
2005,MA,male,19,626
2005,MA,male,20-24,5203
2005,MA,male,25-29,4449
2005,MA,male,30-34,2403
2005,MA,male,35-39,1375
2005,MA,male,40-44,759
2005,MA,male,45-49,506
2005,MA,male,50-54,337
2005,MA,male,55-59,259
2005,MA,male,60-64,212
2005,MA,male,65+,561
2005,MA,male,<15,3
2005,MA,male,unknown,40
2005,MG,female,15,190
2005,MG,female,16,3420
2005,MG,female,17,4233
2005,MG,female,18,5632
2005,MG,female,19,6124
2005,MG,female,20-24,32479
2005,MG,female,25-29,23104
2005,MG,female,30-34,10317
2005,MG,female,35-39,5217
2005,MG,female,40-44,2947
2005,MG,female,45-49,1673
2005,MG,female,50-54,1015
2005,MG,female,55-59,591
2005,MG,female,60-64,289
2005,MG,female,65+,359
2005,MG,female,<15,54
2005,MG,female,unknown,4
2005,MG,male,15,8
2005,MG,male,16,67
2005,MG,male,17,262
2005,MG,male,18,1162
2005,MG,male,19,2316
2005,MG,male,20-24,28434
2005,MG,male,25-29,30653
2005,MG,male,30-34,15788
2005,MG,male,35-39,7738
2005,MG,male,40-44,4114
2005,MG,male,45-49,2364
2005,MG,male,50-54,1480
2005,MG,male,55-59,1084
2005,MG,male,60-64,705
2005,MG,male,65+,1466
2005,MG,male,<15,0
2005,MG,male,unknown,7
2005,MS,female,15,8
2005,MS,female,16,347
2005,MS,female,17,363
2005,MS,female,18,506
2005,MS,female,19,534
2005,MS,female,20-24,2591
2005,MS,female,25-29,1770
2005,MS,female,30-34,787
2005,MS,female,35-39,433
2005,MS,female,40-44,307
2005,MS,female,45-49,208
2005,MS,female,50-54,124
2005,MS,female,55-59,66
2005,MS,female,60-64,41
2005,MS,female,65+,34
2005,MS,female,<15,6
2005,MS,female,unknown,1
2005,MS,male,15,1
2005,MS,male,16,13
2005,MS,male,17,32
2005,MS,male,18,109
2005,MS,male,19,215
2005,MS,male,20-24,2449
2005,MS,male,25-29,2278
2005,MS,male,30-34,1216
2005,MS,male,35-39,682
2005,MS,male,40-44,377
2005,MS,male,45-49,241
2005,MS,male,50-54,154
2005,MS,male,55-59,125
2005,MS,male,60-64,87
2005,MS,male,65+,146
2005,MS,male,<15,0
2005,MS,male,unknown,1
2005,MT,female,15,15
2005,MT,female,16,540
2005,MT,female,17,614
2005,MT,female,18,735
2005,MT,female,19,751
2005,MT,female,20-24,3400
2005,MT,female,25-29,2349
2005,MT,female,30-34,1239
2005,MT,female,35-39,668
2005,MT,female,40-44,391
2005,MT,female,45-49,239
2005,MT,female,50-54,126
2005,MT,female,55-59,67
2005,MT,female,60-64,32
2005,MT,female,65+,35
2005,MT,female,<15,1
2005,MT,female,unknown,0
2005,MT,male,15,2
2005,MT,male,16,8
2005,MT,male,17,41
2005,MT,male,18,190
2005,MT,male,19,340
2005,MT,male,20-24,3200
2005,MT,male,25-29,3168
2005,MT,male,30-34,1781
2005,MT,male,35-39,991
2005,MT,male,40-44,546
2005,MT,male,45-49,346
2005,MT,male,50-54,228
2005,MT,male,55-59,129
2005,MT,male,60-64,84
2005,MT,male,65+,148
2005,MT,male,<15,0
2005,MT,male,unknown,0
2005,PA,female,15,41
2005,PA,female,16,547
2005,PA,female,17,640
2005,PA,female,18,873
2005,PA,female,19,988
2005,PA,female,20-24,4916
2005,PA,female,25-29,4092
2005,PA,female,30-34,2460
2005,PA,female,35-39,1404
2005,PA,female,40-44,739
2005,PA,female,45-49,439
2005,PA,female,50-54,267
2005,PA,female,55-59,154
2005,PA,female,60-64,90
2005,PA,female,65+,113
2005,PA,female,<15,8
2005,PA,female,unknown,35
2005,PA,male,15,3
2005,PA,male,16,12
2005,PA,male,17,54
2005,PA,male,18,197
2005,PA,male,19,366
2005,PA,male,20-24,4224
2005,PA,male,25-29,4727
2005,PA,male,30-34,3181
2005,PA,male,35-39,1914
2005,PA,male,40-44,1131
2005,PA,male,45-49,658
2005,PA,male,50-54,429
2005,PA,male,55-59,247
2005,PA,male,60-64,191
2005,PA,male,65+,436
2005,PA,male,<15,0
2005,PA,male,unknown,36
2005,PB,female,15,59
2005,PB,female,16,789
2005,PB,female,17,915
2005,PB,female,18,1157
2005,PB,female,19,1224
2005,PB,female,20-24,5561
2005,PB,female,25-29,3513
2005,PB,female,30-34,1760
2005,PB,female,35-39,953
2005,PB,female,40-44,568
2005,PB,female,45-49,295
2005,PB,female,50-54,186
2005,PB,female,55-59,139
2005,PB,female,60-64,98
2005,PB,female,65+,118
2005,PB,female,<15,33
2005,PB,female,unknown,0
2005,PB,male,15,1
2005,PB,male,16,41
2005,PB,male,17,119
2005,PB,male,18,368
2005,PB,male,19,606
2005,PB,male,20-24,5521
2005,PB,male,25-29,4795
2005,PB,male,30-34,2397
2005,PB,male,35-39,1303
2005,PB,male,40-44,691
2005,PB,male,45-49,390
2005,PB,male,50-54,264
2005,PB,male,55-59,218
2005,PB,male,60-64,198
2005,PB,male,65+,455
2005,PB,male,<15,1
2005,PB,male,unknown,0
2005,PE,female,15,80
2005,PE,female,16,1486
2005,PE,female,17,1675
2005,PE,female,18,2137
2005,PE,female,19,2315
2005,PE,female,20-24,12070
2005,PE,female,25-29,8411
2005,PE,female,30-34,4412
2005,PE,female,35-39,2439
2005,PE,female,40-44,1330
2005,PE,female,45-49,829
2005,PE,female,50-54,568
2005,PE,female,55-59,353
2005,PE,female,60-64,193
2005,PE,female,65+,243
2005,PE,female,<15,38
2005,PE,female,unknown,26
2005,PE,male,15,6
2005,PE,male,16,66
2005,PE,male,17,194
2005,PE,male,18,652
2005,PE,male,19,1094
2005,PE,male,20-24,11350
2005,PE,male,25-29,10742
2005,PE,male,30-34,5847
2005,PE,male,35-39,3058
2005,PE,male,40-44,1675
2005,PE,male,45-49,1050
2005,PE,male,50-54,651
2005,PE,male,55-59,589
2005,PE,male,60-64,448
2005,PE,male,65+,1158
2005,PE,male,<15,2
2005,PE,male,unknown,23
2005,PI,female,15,68
2005,PI,female,16,570
2005,PI,female,17,599
2005,PI,female,18,691
2005,PI,female,19,694
2005,PI,female,20-24,3260
2005,PI,female,25-29,2200
2005,PI,female,30-34,1215
2005,PI,female,35-39,688
2005,PI,female,40-44,468
2005,PI,female,45-49,308
2005,PI,female,50-54,225
2005,PI,female,55-59,124
2005,PI,female,60-64,80
2005,PI,female,65+,78
2005,PI,female,<15,39
2005,PI,female,unknown,5
2005,PI,male,15,4
2005,PI,male,16,27
2005,PI,male,17,69
2005,PI,male,18,213
2005,PI,male,19,324
2005,PI,male,20-24,3267
2005,PI,male,25-29,2973
2005,PI,male,30-34,1561
2005,PI,male,35-39,929
2005,PI,male,40-44,603
2005,PI,male,45-49,403
2005,PI,male,50-54,251
2005,PI,male,55-59,226
2005,PI,male,60-64,137
2005,PI,male,65+,320
2005,PI,male,<15,0
2005,PI,male,unknown,5
2005,PR,female,15,74
2005,PR,female,16,1940
2005,PR,female,17,2377
2005,PR,female,18,3289
2005,PR,female,19,3524
2005,PR,female,20-24,18056
2005,PR,female,25-29,12533
2005,PR,female,30-34,5885
2005,PR,female,35-39,3068
2005,PR,female,40-44,1843
2005,PR,female,45-49,1068
2005,PR,female,50-54,646
2005,PR,female,55-59,354
2005,PR,female,60-64,204
2005,PR,female,65+,217
2005,PR,female,<15,37
2005,PR,female,unknown,36
2005,PR,male,15,2
2005,PR,male,16,59
2005,PR,male,17,189
2005,PR,male,18,818
2005,PR,male,19,1585
2005,PR,male,20-24,16607
2005,PR,male,25-29,16247
2005,PR,male,30-34,8667
2005,PR,male,35-39,4256
2005,PR,male,40-44,2336
2005,PR,male,45-49,1385
2005,PR,male,50-54,963
2005,PR,male,55-59,637
2005,PR,male,60-64,470
2005,PR,male,65+,894
2005,PR,male,<15,1
2005,PR,male,unknown,35
2005,RJ,female,15,37
2005,RJ,female,16,758
2005,RJ,female,17,1217
2005,RJ,female,18,2060
2005,RJ,female,19,2650
2005,RJ,female,20-24,19764
2005,RJ,female,25-29,17505
2005,RJ,female,30-34,8892
2005,RJ,female,35-39,4917
2005,RJ,female,40-44,3187
2005,RJ,female,45-49,2160
2005,RJ,female,50-54,1379
2005,RJ,female,55-59,845
2005,RJ,female,60-64,476
2005,RJ,female,65+,531
2005,RJ,female,<15,7
2005,RJ,female,unknown,25
2005,RJ,male,15,7
2005,RJ,male,16,18
2005,RJ,male,17,61
2005,RJ,male,18,291
2005,RJ,male,19,778
2005,RJ,male,20-24,15008
2005,RJ,male,25-29,19838
2005,RJ,male,30-34,11781
2005,RJ,male,35-39,6378
2005,RJ,male,40-44,4042
2005,RJ,male,45-49,2510
2005,RJ,male,50-54,1724
2005,RJ,male,55-59,1198
2005,RJ,male,60-64,889
2005,RJ,male,65+,1864
2005,RJ,male,<15,0
2005,RJ,male,unknown,23
2005,RN,female,15,30
2005,RN,female,16,426
2005,RN,female,17,468
2005,RN,female,18,649
2005,RN,female,19,708
2005,RN,female,20-24,3451
2005,RN,female,25-29,2303
2005,RN,female,30-34,1071
2005,RN,female,35-39,651
2005,RN,female,40-44,308
2005,RN,female,45-49,197
2005,RN,female,50-54,99
2005,RN,female,55-59,72
2005,RN,female,60-64,53
2005,RN,female,65+,77
2005,RN,female,<15,17
2005,RN,female,unknown,0
2005,RN,male,15,1
2005,RN,male,16,17
2005,RN,male,17,67
2005,RN,male,18,215
2005,RN,male,19,351
2005,RN,male,20-24,3343
2005,RN,male,25-29,2965
2005,RN,male,30-34,1498
2005,RN,male,35-39,811
2005,RN,male,40-44,440
2005,RN,male,45-49,214
2005,RN,male,50-54,156
2005,RN,male,55-59,130
2005,RN,male,60-64,105
2005,RN,male,65+,267
2005,RN,male,<15,0
2005,RN,male,unknown,0
2005,RO,female,15,18
2005,RO,female,16,513
2005,RO,female,17,525
2005,RO,female,18,580
2005,RO,female,19,528
2005,RO,female,20-24,2131
2005,RO,female,25-29,1181
2005,RO,female,30-34,752
2005,RO,female,35-39,439
2005,RO,female,40-44,285
2005,RO,female,45-49,199
2005,RO,female,50-54,131
2005,RO,female,55-59,51
2005,RO,female,60-64,40
2005,RO,female,65+,36
2005,RO,female,<15,5
2005,RO,female,unknown,2
2005,RO,male,15,0
2005,RO,male,16,3
2005,RO,male,17,20
2005,RO,male,18,143
2005,RO,male,19,245
2005,RO,male,20-24,2335
2005,RO,male,25-29,1840
2005,RO,male,30-34,962
2005,RO,male,35-39,642
2005,RO,male,40-44,444
2005,RO,male,45-49,277
2005,RO,male,50-54,152
2005,RO,male,55-59,112
2005,RO,male,60-64,87
2005,RO,male,65+,153
2005,RO,male,<15,0
2005,RO,male,unknown,1
2005,RR,female,15,1
2005,RR,female,16,30
2005,RR,female,17,40
2005,RR,female,18,63
2005,RR,female,19,49
2005,RR,female,20-24,317
2005,RR,female,25-29,234
2005,RR,female,30-34,128
2005,RR,female,35-39,97
2005,RR,female,40-44,52
2005,RR,female,45-49,41
2005,RR,female,50-54,26
2005,RR,female,55-59,12
2005,RR,female,60-64,3
2005,RR,female,65+,5
2005,RR,female,<15,1
2005,RR,female,unknown,0
2005,RR,male,15,0
2005,RR,male,16,0
2005,RR,male,17,1
2005,RR,male,18,9
2005,RR,male,19,18
2005,RR,male,20-24,271
2005,RR,male,25-29,277
2005,RR,male,30-34,166
2005,RR,male,35-39,124
2005,RR,male,40-44,82
2005,RR,male,45-49,64
2005,RR,male,50-54,34
2005,RR,male,55-59,22
2005,RR,male,60-64,9
2005,RR,male,65+,22
2005,RR,male,<15,0
2005,RR,male,unknown,0
2005,RS,female,15,29
2005,RS,female,16,1208
2005,RS,female,17,1385
2005,RS,female,18,1858
2005,RS,female,19,2128
2005,RS,female,20-24,11661
2005,RS,female,25-29,8348
2005,RS,female,30-34,3935
2005,RS,female,35-39,2006
2005,RS,female,40-44,1235
2005,RS,female,45-49,813
2005,RS,female,50-54,523
2005,RS,female,55-59,319
2005,RS,female,60-64,181
2005,RS,female,65+,196
2005,RS,female,<15,16
2005,RS,female,unknown,3
2005,RS,male,15,4
2005,RS,male,16,21
2005,RS,male,17,119
2005,RS,male,18,471
2005,RS,male,19,842
2005,RS,male,20-24,10172
2005,RS,male,25-29,10566
2005,RS,male,30-34,5745
2005,RS,male,35-39,2963
2005,RS,male,40-44,1709
2005,RS,male,45-49,927
2005,RS,male,50-54,696
2005,RS,male,55-59,475
2005,RS,male,60-64,368
2005,RS,male,65+,763
2005,RS,male,<15,0
2005,RS,male,unknown,3
2005,SC,female,15,21
2005,SC,female,16,730
2005,SC,female,17,947
2005,SC,female,18,1481
2005,SC,female,19,1714
2005,SC,female,20-24,8747
2005,SC,female,25-29,5744
2005,SC,female,30-34,2481
2005,SC,female,35-39,1168
2005,SC,female,40-44,734
2005,SC,female,45-49,444
2005,SC,female,50-54,240
2005,SC,female,55-59,153
2005,SC,female,60-64,62
2005,SC,female,65+,57
2005,SC,female,<15,5
2005,SC,female,unknown,3
2005,SC,male,15,0
2005,SC,male,16,19
2005,SC,male,17,57
2005,SC,male,18,304
2005,SC,male,19,656
2005,SC,male,20-24,7640
2005,SC,male,25-29,7623
2005,SC,male,30-34,3992
2005,SC,male,35-39,1808
2005,SC,male,40-44,982
2005,SC,male,45-49,547
2005,SC,male,50-54,361
2005,SC,male,55-59,252
2005,SC,male,60-64,170
2005,SC,male,65+,318
2005,SC,male,<15,0
2005,SC,male,unknown,2
2005,SE,female,15,23
2005,SE,female,16,209
2005,SE,female,17,264
2005,SE,female,18,319
2005,SE,female,19,384
2005,SE,female,20-24,2163
2005,SE,female,25-29,1532
2005,SE,female,30-34,771
2005,SE,female,35-39,422
2005,SE,female,40-44,227
2005,SE,female,45-49,117
2005,SE,female,50-54,93
2005,SE,female,55-59,45
2005,SE,female,60-64,28
2005,SE,female,65+,28
2005,SE,female,<15,21
2005,SE,female,unknown,8
2005,SE,male,15,0
2005,SE,male,16,9
2005,SE,male,17,28
2005,SE,male,18,76
2005,SE,male,19,162
2005,SE,male,20-24,1846
2005,SE,male,25-29,2009
2005,SE,male,30-34,1090
2005,SE,male,35-39,534
2005,SE,male,40-44,305
2005,SE,male,45-49,169
2005,SE,male,50-54,126
2005,SE,male,55-59,84
2005,SE,male,60-64,67
2005,SE,male,65+,140
2005,SE,male,<15,2
2005,SE,male,unknown,7
2005,SP,female,15,197
2005,SP,female,16,4394
2005,SP,female,17,6106
2005,SP,female,18,9925
2005,SP,female,19,11426
2005,SP,female,20-24,72204
2005,SP,female,25-29,59764
2005,SP,female,30-34,29480
2005,SP,female,35-39,14405
2005,SP,female,40-44,7996
2005,SP,female,45-49,4781
2005,SP,female,50-54,2899
2005,SP,female,55-59,1594
2005,SP,female,60-64,879
2005,SP,female,65+,741
2005,SP,female,<15,56
2005,SP,female,unknown,1269
2005,SP,male,15,2
2005,SP,male,16,98
2005,SP,male,17,505
2005,SP,male,18,2293
2005,SP,male,19,4693
2005,SP,male,20-24,60479
2005,SP,male,25-29,69863
2005,SP,male,30-34,40247
2005,SP,male,35-39,20019
2005,SP,male,40-44,10785
2005,SP,male,45-49,6266
2005,SP,male,50-54,4066
2005,SP,male,55-59,2651
2005,SP,male,60-64,1773
2005,SP,male,65+,3113
2005,SP,male,<15,0
2005,SP,male,unknown,1263
2005,TO,female,15,23
2005,TO,female,16,264
2005,TO,female,17,282
2005,TO,female,18,387
2005,TO,female,19,398
2005,TO,female,20-24,1743
2005,TO,female,25-29,1276
2005,TO,female,30-34,688
2005,TO,female,35-39,422
2005,TO,female,40-44,246
2005,TO,female,45-49,134
2005,TO,female,50-54,72
2005,TO,female,55-59,55
2005,TO,female,60-64,19
2005,TO,female,65+,49
2005,TO,female,<15,10
2005,TO,female,unknown,2
2005,TO,male,15,0
2005,TO,male,16,9
2005,TO,male,17,18
2005,TO,male,18,102
2005,TO,male,19,192
2005,TO,male,20-24,1592
2005,TO,male,25-29,1630
2005,TO,male,30-34,964
2005,TO,male,35-39,553
2005,TO,male,40-44,380
2005,TO,male,45-49,188
2005,TO,male,50-54,115
2005,TO,male,55-59,114
2005,TO,male,60-64,74
2005,TO,male,65+,137
2005,TO,male,<15,0
2005,TO,male,unknown,2
2006,AC,female,15,4
2006,AC,female,16,101
2006,AC,female,17,99
2006,AC,female,18,178
2006,AC,female,19,190
2006,AC,female,20-24,1128
2006,AC,female,25-29,921
2006,AC,female,30-34,637
2006,AC,female,35-39,391
2006,AC,female,40-44,271
2006,AC,female,45-49,149
2006,AC,female,50-54,89
2006,AC,female,55-59,61
2006,AC,female,60-64,22
2006,AC,female,65+,29
2006,AC,female,<15,1
2006,AC,female,unknown,0
2006,AC,male,15,0
2006,AC,male,16,4
2006,AC,male,17,5
2006,AC,male,18,40
2006,AC,male,19,65
2006,AC,male,20-24,922
2006,AC,male,25-29,1008
2006,AC,male,30-34,723
2006,AC,male,35-39,510
2006,AC,male,40-44,323
2006,AC,male,45-49,233
2006,AC,male,50-54,130
2006,AC,male,55-59,112
2006,AC,male,60-64,64
2006,AC,male,65+,132
2006,AC,male,<15,0
2006,AC,male,unknown,0
2006,AL,female,15,101
2006,AL,female,16,634
2006,AL,female,17,759
2006,AL,female,18,901
2006,AL,female,19,936
2006,AL,female,20-24,4287
2006,AL,female,25-29,2763
2006,AL,female,30-34,1413
2006,AL,female,35-39,823
2006,AL,female,40-44,486
2006,AL,female,45-49,303
2006,AL,female,50-54,236
2006,AL,female,55-59,151
2006,AL,female,60-64,64
2006,AL,female,65+,94
2006,AL,female,<15,56
2006,AL,female,unknown,0
2006,AL,male,15,1
2006,AL,male,16,30
2006,AL,male,17,112
2006,AL,male,18,326
2006,AL,male,19,515
2006,AL,male,20-24,4310
2006,AL,male,25-29,3647
2006,AL,male,30-34,1887
2006,AL,male,35-39,1094
2006,AL,male,40-44,588
2006,AL,male,45-49,372
2006,AL,male,50-54,272
2006,AL,male,55-59,237
2006,AL,male,60-64,172
2006,AL,male,65+,443
2006,AL,male,<15,0
2006,AL,male,unknown,1
2006,AM,female,15,33
2006,AM,female,16,179
2006,AM,female,17,286
2006,AM,female,18,441
2006,AM,female,19,552
2006,AM,female,20-24,3957
2006,AM,female,25-29,4158
2006,AM,female,30-34,2754
2006,AM,female,35-39,1532
2006,AM,female,40-44,772
2006,AM,female,45-49,429
2006,AM,female,50-54,212
2006,AM,female,55-59,102
2006,AM,female,60-64,56
2006,AM,female,65+,71
2006,AM,female,<15,13
2006,AM,female,unknown,0
2006,AM,male,15,3
2006,AM,male,16,16
2006,AM,male,17,34
2006,AM,male,18,120
2006,AM,male,19,201
2006,AM,male,20-24,3167
2006,AM,male,25-29,4303
2006,AM,male,30-34,3087
2006,AM,male,35-39,2072
2006,AM,male,40-44,1064
2006,AM,male,45-49,567
2006,AM,male,50-54,375
2006,AM,male,55-59,210
2006,AM,male,60-64,120
2006,AM,male,65+,206
2006,AM,male,<15,2
2006,AM,male,unknown,0
2006,AP,female,15,3
2006,AP,female,16,21
2006,AP,female,17,37
2006,AP,female,18,60
2006,AP,female,19,77
2006,AP,female,20-24,546
2006,AP,female,25-29,594
2006,AP,female,30-34,454
2006,AP,female,35-39,244
2006,AP,female,40-44,132
2006,AP,female,45-49,87
2006,AP,female,50-54,39
2006,AP,female,55-59,17
2006,AP,female,60-64,12
2006,AP,female,65+,7
2006,AP,female,<15,3
2006,AP,female,unknown,1
2006,AP,male,15,0
2006,AP,male,16,0
2006,AP,male,17,3
2006,AP,male,18,18
2006,AP,male,19,21
2006,AP,male,20-24,412
2006,AP,male,25-29,551
2006,AP,male,30-34,435
2006,AP,male,35-39,357
2006,AP,male,40-44,208
2006,AP,male,45-49,139
2006,AP,male,50-54,77
2006,AP,male,55-59,38
2006,AP,male,60-64,26
2006,AP,male,65+,48
2006,AP,male,<15,0
2006,AP,male,unknown,1
2006,BA,female,15,68
2006,BA,female,16,1547
2006,BA,female,17,1960
2006,BA,female,18,2725
2006,BA,female,19,3135
2006,BA,female,20-24,15847
2006,BA,female,25-29,11904
2006,BA,female,30-34,6010
2006,BA,female,35-39,3239
2006,BA,female,40-44,1996
2006,BA,female,45-49,1172
2006,BA,female,50-54,810
2006,BA,female,55-59,570
2006,BA,female,60-64,275
2006,BA,female,65+,369
2006,BA,female,<15,26
2006,BA,female,unknown,156
2006,BA,male,15,1
2006,BA,male,16,45
2006,BA,male,17,136
2006,BA,male,18,600
2006,BA,male,19,1124
2006,BA,male,20-24,13681
2006,BA,male,25-29,15150
2006,BA,male,30-34,8429
2006,BA,male,35-39,4603
2006,BA,male,40-44,2537
2006,BA,male,45-49,1607
2006,BA,male,50-54,989
2006,BA,male,55-59,854
2006,BA,male,60-64,610
2006,BA,male,65+,1287
2006,BA,male,<15,0
2006,BA,male,unknown,156
2006,CE,female,15,44
2006,CE,female,16,1318
2006,CE,female,17,1544
2006,CE,female,18,2230
2006,CE,female,19,2226
2006,CE,female,20-24,10988
2006,CE,female,25-29,7837
2006,CE,female,30-34,4153
2006,CE,female,35-39,2316
2006,CE,female,40-44,1245
2006,CE,female,45-49,645
2006,CE,female,50-54,513
2006,CE,female,55-59,248
2006,CE,female,60-64,137
2006,CE,female,65+,185
2006,CE,female,<15,22
2006,CE,female,unknown,4
2006,CE,male,15,3
2006,CE,male,16,90
2006,CE,male,17,233
2006,CE,male,18,698
2006,CE,male,19,1190
2006,CE,male,20-24,10425
2006,CE,male,25-29,9697
2006,CE,male,30-34,5328
2006,CE,male,35-39,3084
2006,CE,male,40-44,1816
2006,CE,male,45-49,929
2006,CE,male,50-54,579
2006,CE,male,55-59,500
2006,CE,male,60-64,331
2006,CE,male,65+,746
2006,CE,male,<15,1
2006,CE,male,unknown,5
2006,DF,female,15,6
2006,DF,female,16,175
2006,DF,female,17,234
2006,DF,female,18,469
2006,DF,female,19,605
2006,DF,female,20-24,4200
2006,DF,female,25-29,4191
2006,DF,female,30-34,2045
2006,DF,female,35-39,1031
2006,DF,female,40-44,585
2006,DF,female,45-49,293
2006,DF,female,50-54,147
2006,DF,female,55-59,63
2006,DF,female,60-64,38
2006,DF,female,65+,18
2006,DF,female,<15,1
2006,DF,female,unknown,1
2006,DF,male,15,0
2006,DF,male,16,8
2006,DF,male,17,15
2006,DF,male,18,83
2006,DF,male,19,216
2006,DF,male,20-24,3374
2006,DF,male,25-29,4430
2006,DF,male,30-34,2572
2006,DF,male,35-39,1446
2006,DF,male,40-44,830
2006,DF,male,45-49,422
2006,DF,male,50-54,307
2006,DF,male,55-59,175
2006,DF,male,60-64,83
2006,DF,male,65+,141
2006,DF,male,<15,0
2006,DF,male,unknown,0
2006,ES,female,15,30
2006,ES,female,16,634
2006,ES,female,17,882
2006,ES,female,18,1268
2006,ES,female,19,1372
2006,ES,female,20-24,6889
2006,ES,female,25-29,4990
2006,ES,female,30-34,2208
2006,ES,female,35-39,1302
2006,ES,female,40-44,773
2006,ES,female,45-49,501
2006,ES,female,50-54,313
