year,cod_mun,distinct_place_names,place_names
2004,4123600,3,Santa Inês (BA) || Santa Inês (MA) || Santa Inês (PR)
2004,3157807,4,Santa Luzia (BA) || Santa Luzia (MA) || Santa Luzia (MG) || Santa Luzia (PB)
2004,2513703,2,Santa Rita (MA) || Santa Rita (PB)
2004,2513901,2,São Bento (MA) || São Bento (PB)
2004,4216305,2,São João Batista (MA) || São João Batista (SC)
2004,3162708,2,São João do Paraíso (MA) || São João do Paraíso (MG)
2004,2413706,2,Sítio Novo (MA) || Sítio Novo (RN)
2004,3205101,2,Viana (ES) || Viana (MA)
2004,2700102,3,Água Branca (AL) || Água Branca (PB) || Água Branca (PI)
2004,2700706,2,Batalha (AL) || Batalha (PI)
2004,3506805,2,Bocaina (PI) || Bocaina (SP)
2004,4302303,4,Bom Jesus (PI) || Bom Jesus (RN) || Bom Jesus (RS) || Bom Jesus (SC)
2004,5002803,2,Caracol (MS) || Caracol (PI)
2004,2612554,2,Santa Filomena (PE) || Santa Filomena (PI)
2004,5108402,2,Várzea Grande (MT) || Várzea Grande (PI)
2004,4201901,2,Aurora (CE) || Aurora (SC)
2004,4104808,2,Cascavel (CE) || Cascavel (PR)
2004,2604304,2,Cedro (CE) || Cedro (PE)
2004,5209705,2,Hidrolândia (CE) || Hidrolândia (GO)
2004,4110052,2,Iguatu (CE) || Iguatu (PR)
2004,4310405,2,Independência (CE) || Independência (RS)
2004,5005004,2,Jardim (CE) || Jardim (MS)
2004,2921302,2,Milagres (BA) || Milagres (CE)
2004,5213806,2,Morrinhos (CE) || Morrinhos (GO)
2004,2804904,2,Pacatuba (CE) || Pacatuba (SE)
2004,2511004,2,Pedra Branca (CE) || Pedra Branca (PB)
2004,2412005,2,São Gonçalo do Amarante (CE) || São Gonçalo do Amarante (RN)
2004,2800506,2,Areia Branca (RN) || Areia Branca (SE)
2004,5002704,3,Campo Grande (AL) || Campo Grande (MS) || Campo Grande (RN)
2004,2501534,2,Baraúna (PB) || Baraúna (RN)
2004,2602506,2,Brejinho (PE) || Brejinho (RN)
2004,2504074,2,Caraúbas (PB) || Caraúbas (RN)
2004,2610400,2,Parnamirim (PE) || Parnamirim (RN)
2004,5210802,2,Itajá (GO) || Itajá (RN)
2004,2917904,2,Jandaíra (BA) || Jandaíra (RN)
2004,2703908,2,Jundiá (AL) || Jundiá (RN)
2004,3145901,3,Ouro Branco (AL) || Ouro Branco (MG) || Ouro Branco (RN)
2004,4316907,2,Santa Maria (RN) || Santa Maria (RS)
2004,5106372,2,Pedra Preta (MT) || Pedra Preta (RN)
2004,2511608,2,Pilões (PB) || Pilões (RN)
2004,2926400,2,Riacho de Santana (BA) || Riacho de Santana (RN)
2004,2805901,2,Riachuelo (RN) || Riachuelo (SE)
2004,2927200,2,Ruy Barbosa (BA) || Ruy Barbosa (RN)
2004,2612455,3,Santa Cruz (PB) || Santa Cruz (PE) || Santa Cruz (RN)
2004,3550407,2,São Pedro (RN) || São Pedro (SP)
2004,4126108,2,São Tomé (PR) || São Tomé (RN)
2004,3551009,2,São Vicente (RN) || São Vicente (SP)
2004,2930501,2,Serrinha (BA) || Serrinha (RN)
2004,4217907,2,Tangará (RN) || Tangará (SC)
2004,4322707,4,Vera Cruz (BA) || Vera Cruz (RN) || Vera Cruz (RS) || Vera Cruz (SP)
2004,3171303,3,Viçosa (AL) || Viçosa (MG) || Viçosa (RN)
2004,2600609,2,Alagoinha (PB) || Alagoinha (PE)
2004,4101705,2,Araruna (PB) || Araruna (PR)
2004,4303400,2,Caiçara (PB) || Caiçara (RS)
2004,2908606,2,Conde (BA) || Conde (PB)
2004,2802908,2,Itabaiana (PB) || Itabaiana (SE)
2004,3522802,2,Itaporanga (PB) || Itaporanga (SP)
2004,2610707,2,Paulista (PB) || Paulista (PE)
2004,2706901,2,Pilar (AL) || Pilar (PB)
2004,3152808,2,Prata (MG) || Prata (PB)
2004,2925808,2,Queimadas (BA) || Queimadas (PB)
2004,2611533,2,Quixaba (PB) || Quixaba (PE)
2004,4215505,2,Santa Cecília (PB) || Santa Cecília (SC)
2004,3547809,2,Santo André (PB) || Santo André (SP)
2004,5219803,5,São Domingos (BA) || São Domingos (GO) || São Domingos (PB) || São Domingos (SC) || São Domingos (SE)
2004,3551702,2,Sertãozinho (PB) || Sertãozinho (SP)
2004,4320800,2,Soledade (PB) || Soledade (RS)
2004,2931202,2,Taperoá (BA) || Taperoá (PB)
2004,4321352,2,Tavares (PB) || Tavares (RS)
2004,4322004,3,Triunfo (PB) || Triunfo (PE) || Triunfo (RS)
2004,2802205,2,Feira Nova (PE) || Feira Nova (SE)
2004,4107900,2,Floresta (PE) || Floresta (PR)
2004,4110300,2,Inajá (PE) || Inajá (PR)
2004,4111100,3,Itambé (BA) || Itambé (PE) || Itambé (PR)
2004,3137536,2,Lagoa Grande (MG) || Lagoa Grande (PE)
2004,4212700,2,Petrolândia (PE) || Petrolândia (SC)
2004,5107776,4,Santa Terezinha (BA) || Santa Terezinha (MT) || Santa Terezinha (PE) || Santa Terezinha (SC)
2004,4124806,2,São João (PE) || São João (PR)
2004,2931707,2,Terra Nova (BA) || Terra Nova (PE)
2004,5221403,2,Trindade (GO) || Trindade (PE)
2004,4102208,2,Atalaia (AL) || Atalaia (PR)
2004,3111002,2,Campestre (AL) || Campestre (MG)
2004,4203303,2,Campo Alegre (AL) || Campo Alegre (SC)
2004,2801306,2,Capela (AL) || Capela (SE)
2004,4210506,2,Maravilha (AL) || Maravilha (SC)
2004,3535002,2,Palestina (AL) || Palestina (SP)
2004,5217203,2,Piranhas (AL) || Piranhas (GO)
2004,3550704,2,São Sebastião (AL) || São Sebastião (SP)
2004,4119301,2,Pinhão (PR) || Pinhão (SE)
2004,4215604,2,Santa Rosa de Lima (SC) || Santa Rosa de Lima (SE)
2004,3549003,3,São Francisco (MG) || São Francisco (SE) || São Francisco (SP)
2004,5203203,2,Barro Alto (BA) || Barro Alto (GO)
2004,4202156,2,Belmonte (BA) || Belmonte (SC)
2004,3111804,2,Canápolis (BA) || Canápolis (MG)
2004,5102702,2,Canarana (BA) || Canarana (MT)
2004,3112000,2,Candeias (BA) || Candeias (MG)
2004,4205175,2,Entre Rios (BA) || Entre Rios (SC)
2004,3524204,2,Jaborandi (BA) || Jaborandi (SP)
2004,5212204,3,Jussara (BA) || Jussara (GO) || Jussara (PR)
2004,5214051,3,Mundo Novo (BA) || Mundo Novo (GO) || Mundo Novo (MS)
2004,4117008,2,Nova Fátima (BA) || Nova Fátima (PR)
2004,4211652,3,Novo Horizonte (BA) || Novo Horizonte (SC) || Novo Horizonte (SP)
2004,4314704,4,Planalto (BA) || Planalto (PR) || Planalto (RS) || Planalto (SP)
2004,3157203,2,Santa Bárbara (BA) || Santa Bárbara (MG)
2004,4318309,2,São Gabriel (BA) || São Gabriel (RS)
2004,4320701,2,Sobradinho (BA) || Sobradinho (RS)
2004,3554300,2,Teodoro Sampaio (BA) || Teodoro Sampaio (SP)
2004,3306107,2,Valença (BA) || Valença (RJ)
2004,5100201,2,Água Boa (MG) || Água Boa (MT)
2004,4201208,2,Antônio Carlos (MG) || Antônio Carlos (SC)
2004,4103008,3,Boa Esperança (ES) || Boa Esperança (MG) || Boa Esperança (PR)
2004,4103206,2,Bom Sucesso (MG) || Bom Sucesso (PR)
2004,5204250,2,Cachoeira Dourada (GO) || Cachoeira Dourada (MG)
2004,4104451,3,Cantagalo (MG) || Cantagalo (PR) || Cantagalo (RJ)
2004,5208103,2,Formoso (GO) || Formoso (MG)
2004,4206405,2,Guaraciaba (MG) || Guaraciaba (SC)
2004,4110409,2,Indianópolis (MG) || Indianópolis (PR)
2004,3522406,2,Itapeva (MG) || Itapeva (SP)
2004,4310900,2,Jacutinga (MG) || Jacutinga (RS)
2004,5212253,2,Lagoa Santa (GO) || Lagoa Santa (MG)
2004,4113254,2,Laranjal (MG) || Laranjal (PR)
2004,3302858,2,Mesquita (MG) || Mesquita (RJ)
2004,3541208,2,Presidente Bernardes (MG) || Presidente Bernardes (SP)
2004,4318200,2,São Francisco de Paula (MG) || São Francisco de Paula (RS)
2004,4126900,2,Tapira (MG) || Tapira (PR)
2004,3553500,2,Tapiraí (MG) || Tapiraí (SP)
2004,4127700,2,Toledo (MG) || Toledo (PR)
2004,3555307,2,Turmalina (MG) || Turmalina (SP)
2004,4219176,2,Vargem Bonita (MG) || Vargem Bonita (SC)
2004,4128500,2,Wenceslau Braz (MG) || Wenceslau Braz (PR)
2004,4200804,2,Anchieta (ES) || Anchieta (SC)
2004,3543907,2,Rio Claro (RJ) || Rio Claro (SP)
2004,4202099,2,Barra Bonita (SC) || Barra Bonita (SP)
2004,4103453,2,Cafelândia (PR) || Cafelândia (SP)
2004,5003751,2,Eldorado (MS) || Eldorado (SP)
2004,5207501,2,Estrela do Norte (GO) || Estrela do Norte (SP)
2004,4108809,2,Guaíra (PR) || Guaíra (SP)
2004,4109203,2,Guaraci (PR) || Guaraci (SP)
2004,4208955,2,Jardinópolis (SC) || Jardinópolis (SP)
2004,4211108,2,Monte Castelo (SC) || Monte Castelo (SP)
2004,4211850,2,Ouro Verde (SC) || Ouro Verde (SP)
2004,4117800,2,Palmital (PR) || Palmital (SP)
2004,4212239,2,Paraíso (SC) || Paraíso (SP)
2004,4212908,2,Pinhalzinho (SC) || Pinhalzinho (SP)
2004,4119657,2,Pitangueiras (PR) || Pitangueiras (SP)
2004,4213807,2,Praia Grande (SC) || Praia Grande (SP)
2004,4215356,2,Saltinho (SC) || Saltinho (SP)
2004,5219357,2,Santa Isabel (GO) || Santa Isabel (SP)
2004,4123824,2,Santa Lúcia (PR) || Santa Lúcia (SP)
2004,4216008,2,São Carlos (SC) || São Carlos (SP)
2004,5220405,2,São Simão (GO) || São Simão (SP)
2004,4127403,2,Terra Roxa (PR) || Terra Roxa (SP)
2004,4219150,2,Vargem (SC) || Vargem (SP)
2004,5001508,2,Bandeirantes (MS) || Bandeirantes (PR)
2004,4301800,2,Barracão (PR) || Barracão (RS)
2004,4204004,2,Catanduvas (PR) || Catanduvas (SC)
2004,4305603,2,Colorado (PR) || Colorado (RS)
2004,5003504,2,Douradina (MS) || Douradina (PR)
2004,5103908,2,General Carneiro (MT) || General Carneiro (PR)
2004,4207858,2,Irati (PR) || Irati (SC)
