variable_id,variable_label,family,gate_role,identified,n,weighted_mean,weighted_sd,above_x_post_pp,std_error_pp,ci95_low_pp,ci95_high_pp,p_value,absolute_standardized_magnitude,error_message,warnings,holm_family_size,p_value_holm,hard_failure
school_fundamental_i,ESCMAE2010 category 1,composition,diagnostic_only,TRUE,126138,0.0346732758512424,0.182950921815076,-0.0431410588798801,0.443250706544185,-0.91237666337071,0.82609454561095,0.922474188434512,0.00235806731400274,,"",14,1,FALSE
school_fundamental_ii,ESCMAE2010 category 2,composition,diagnostic_only,TRUE,126138,0.624059485452026,0.484364784092917,-1.36434744407221,1.23379990788809,-3.78388743108163,1.05519254293721,0.268930463145303,0.028167767122609,,"",14,1,FALSE
school_secondary,ESCMAE2010 category 3,composition,diagnostic_only,TRUE,126138,0.323983190744444,0.467993678225992,1.52583522097118,1.26568932208587,-0.956241415879558,4.00791185782192,0.22812626705674,0.0326037571010599,,"",14,1,FALSE
school_higher_incomplete,ESCMAE2010 category 4,composition,diagnostic_only,TRUE,126138,0.00119221382333118,0.0345078606918864,0.00780149323463945,0.0892524393014444,-0.167226762520072,0.182829748989351,0.93035416502543,0.00226078727519431,,"",14,1,FALSE
school_higher_complete,ESCMAE2010 category 5,composition,diagnostic_only,TRUE,126138,0.000959352747376955,0.0309585592313831,-0.1296904692918,0.0828188362185173,-0.292102125045029,0.0327211864614301,0.117503847159002,0.0418916359519504,,"",14,1,FALSE
school_unknown,ESCMAE2010 unknown/invalid,composition,diagnostic_only,TRUE,126138,0.0110208699340942,0.104400241187413,0.0542924795197342,0.260100051033718,-0.455776025167132,0.5643609842066,0.834673032169822,0.00520041705864182,,"",14,1,FALSE
primiparous,No prior live-born child (QTDFILVIVO=0),composition,diagnostic_only,TRUE,126138,0.863500151403306,0.343318569159568,-0.592724166150707,0.840864628868945,-2.24169948232879,1.05625115002737,0.480948363705397,0.0172645530826274,,"",14,1,FALSE
primiparity_unknown,QTDFILVIVO unknown/invalid,composition,diagnostic_only,TRUE,126138,0.0633328053986093,0.24356059032395,0.047499491668423,0.53069760358983,-0.993223614798316,1.08822259813516,0.928689655107608,0.00195021253665241,,"",14,1,FALSE
residence_north,Residence region: north,composition,diagnostic_only,TRUE,126138,0.184287650932351,0.38771859981975,0.404099216579621,0.937625175215697,-1.43462810845667,2.24282654161592,0.666524131191119,0.0104224872566724,,"",14,1,FALSE
residence_northeast,Residence region: northeast,composition,diagnostic_only,TRUE,126138,0.361465277012234,0.480424947860436,-0.315301448688452,1.20087147594633,-2.67026722290759,2.03966432553068,0.792914011460867,0.00656296993094637,,"",14,1,FALSE
residence_southeast,Residence region: southeast,composition,diagnostic_only,TRUE,126138,0.279326541348452,0.448668279073486,1.15531333341319,1.08231794824414,-0.967163364544408,3.27779003137079,0.285889182479637,0.0257498331684813,,"",14,1,FALSE
residence_south,Residence region: south,composition,diagnostic_only,TRUE,126138,0.0958998658999287,0.294453870105836,-0.313465342875364,0.764428567173875,-1.812545926092,1.18561524034127,0.681798412833359,0.0106456519916921,,"",14,1,FALSE
residence_center_west,Residence region: center_west,composition,diagnostic_only,TRUE,126138,0.079020664807034,0.269771012787676,-0.930645758428913,0.763289262071985,-2.42749211044339,0.56620059358556,0.222877914991521,0.0344976188809945,,"",14,1,FALSE
