path,sheet,row_number,row_text
notes/data_structure.xlsx,Plan1,93,"PNS | 2013 | F007 | ________________, no período de referência de 28 de junho a 27 de julho de 2013, recebeu pensão alimentícia ou doação em dinheiro de pessoa que não morava no domicílio?"
notes/data_structure.xlsx,Plan1,97,"PNS | 2013 | VDF001 | ________________, no período de referência de 28 de junho a 27 de julho de 2013, recebeu algum juro de caderneta de poupança e de outras aplicações financeiras, dividendos, programas sociais, seguro-desemprego, seguro defeso ou outros rendimentos?"
notes/data_structure.xlsx,Plan1,100,"PNS | 2019 | F007011 | Em (mês da pesquisa), ___ recebia normalmente rendimento de pensão alimentícia, doação ou mesada em dinheiro de pessoa que não morava no domicílio?"
notes/data_structure.xlsx,Plan1,102,"PNS | 2019 | F008011 | Em (mês da pesquisa), ___ recebia normalmente rendimento de aluguel ou arrendamento?"
notes/data_structure.xlsx,Plan1,104,"PNS | 2019 | VDF001 | Em (mês da pesquisa), _______ recebia normalmente algum juro de caderneta de poupança e de outras aplicações financeiras, dividendos, programas sociais, seguro-desemprego, seguro defeso ou outros rendimentos?"
notes/data_structure.xlsx,Plan1,106,"PNS | 2013, 2019 | R025 | Com que idade a sra ficou menstruada pela primeira vez?"
notes/data_structure.xlsx,Plan1,113,PNS | 2019 | Z001 | Você já teve/tem filho(s) biológico(s)?
notes/data_structure.xlsx,Plan1,114,PNS | 2019 | Z002 | Quantos anos você tinha quando seu primeiro filho nasceu?
notes/data_structure.xlsx,Plan1,115,"PNS | 2019 | Z005 | Na gravidez atual ou na do de seu último filho nascido vivo, você desejava ter filho naquele momento?"
notes/data_structure.xlsx,Plan1,116,"PNS | 2013 | O025 | Nos últimos 12 meses, o(a) Sr(a) sofreu alguma violência ou agressão de pessoa desconhecida (como bandido, policial, assaltante etc.)?"
notes/data_structure.xlsx,Plan1,117,"PNS | 2013 | O027 | Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa desconhecida nos últimos 12 meses, que tipo de violência o(a) Sr(a) sofreu?"
notes/data_structure.xlsx,Plan1,118,"PNS | 2013 | O028 | Pensando na violência mais grave que o(a) Sr(a) sofreu de pessoa desconhecida nos últimos 12 meses, como (a) sr(a) foi ameaçado(a) ou ferido(a)?"
notes/data_structure.xlsx,Plan1,120,"PNS | 2019 | V00201 | Nos últimos doze meses, alguém: Te ofendeu, humilhou ou ridicularizou na frente de outras pessoas?"
notes/data_structure.xlsx,Plan1,126,"PNS | 2019 | V006 | Quem fez isso com você? (Se mais de uma pessoa, defina o pirncipal agressor)"
notes/data_structure.xlsx,Plan1,143,PNS | 2019 | Y001 | Que idade tinha quando teve relações sexuais pela primeira vez?
notes/data_structure.xlsx,Plan1,144,PNS | 2019 | Y00101 | Idade do morador quando teve relações sexuais pela primeira vez
notes/data_structure.xlsx,Plan1,145,"PNS | 2013, 2019 | V0028 | Peso do domicílio e dos moradores sem calibração"
notes/data_structure.xlsx,Plan1,146,"PNS | 2013, 2019 | V0029 | Peso do morador selecionado sem calibração"
notes/data_structure.xlsx,Plan1,147,"PNS | 2013, 2019 | V00281 | Peso do domicílio e dos moradores com calibração"
notes/data_structure.xlsx,Plan1,148,"PNS | 2013, 2019 | V00291 | Peso do morador selecionado com calibração"
notes/data_structure.xlsx,Plan1,151,"PNS | 2013, 2019 | V00283 | Domínio de projeção para domicílio e moradores"
notes/data_structure.xlsx,Plan1,152,"PNS | 2013, 2019 | V00293 | Domínio de projeção para morador selecionado"
notes/data_structure.xlsx,Plan1,153,"PNS | 2013, 2019 | VDC001 | Número de componentes do domicílio (exclusive as pessoas cuja condição na família era pensionista, empregado doméstico ou parente do empregado doméstico)"
