year,query_type,relative_path,official_url,size_bytes,rows,zero_symbols,missing_symbols,sha256,status,acquired_this_run,acquired_or_checked_at
2017,joint_under16_annual,Darcio/data/raw_external/sidra_4406_joint_under16_annual_2017.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2017/c666/32968,32970/c667/33006,33008?formato=json",112989,324,313,0,4e59c01979a820ab09ed12d28ab986c54347372a90d76c22a0759a4c62707c82,used,FALSE,2026-09-02T02:44:07-0300
2018,joint_under16_annual,Darcio/data/raw_external/sidra_4406_joint_under16_annual_2018.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2018/c666/32968,32970/c667/33006,33008?formato=json",112989,324,319,0,116995242039ec2f877b7b061e1170faab80ec42d10eba540dfe3cbddc7ce014,used,FALSE,2026-09-02T02:44:07-0300
2019,joint_under16_annual,Darcio/data/raw_external/sidra_4406_joint_under16_annual_2019.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2019/c666/32968,32970/c667/33006,33008?formato=json",112989,324,317,0,3506daeb5a2b39c8d5cd208169c04191d934343e10a10d04bed48bdafc4d3e7a,used,FALSE,2026-09-02T02:44:08-0300
2020,joint_under16_annual,Darcio/data/raw_external/sidra_4406_joint_under16_annual_2020.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2020/c666/32968,32970/c667/33006,33008?formato=json",112989,324,319,0,dad00957159d5741d1440e4e67442419e00c63c0cb3eff6fbb58c68fdd353052,used,FALSE,2026-09-02T02:44:08-0300
2021,joint_under16_annual,Darcio/data/raw_external/sidra_4406_joint_under16_annual_2021.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2021/c666/32968,32970/c667/33006,33008?formato=json",112989,324,291,0,d99cf6e885e01a8713cc5a4a9a13d789f79caaccd2d2376a6fe5cd0b52907b56,used,FALSE,2026-09-02T02:44:08-0300
2022,joint_under16_annual,Darcio/data/raw_external/sidra_4406_joint_under16_annual_2022.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2022/c666/32968,32970/c667/33006,33008?formato=json",112989,324,317,0,c517a4729adf65a35a3cadf0d506278bb9647f30a5e4538e1d638ebfe254234c,used,FALSE,2026-09-02T02:44:08-0300
2023,joint_under16_annual,Darcio/data/raw_external/sidra_4406_joint_under16_annual_2023.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2023/c666/32968,32970/c667/33006,33008?formato=json",112989,324,322,0,dca0d9b3db5bed290e9c82b53468c0aaf72c4997d7e3ec34e331dd62d853ea91,used,FALSE,2026-09-02T02:44:08-0300
2024,joint_under16_annual,Darcio/data/raw_external/sidra_4406_joint_under16_annual_2024.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2024/c666/32968,32970/c667/33006,33008?formato=json",112989,324,319,0,64e111e4711e877da1061d13f02d687739cc5c327f48bdbf2435c1a43923f806,used,FALSE,2026-09-02T02:44:08-0300
2013,second_age_annual,Darcio/data/raw_external/sidra_4406_second_age_annual_2013.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2013/c667/33006,33008,33009,33010,33011,33012,33043?formato=json",190260,567,348,0,e3ae3f09a22658594b5effa29ac0513d428c0ce5815517bae8f8bc539b1f4f11,used,FALSE,2026-09-02T02:44:07-0300
2014,second_age_annual,Darcio/data/raw_external/sidra_4406_second_age_annual_2014.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2014/c667/33006,33008,33009,33010,33011,33012,33043?formato=json",190263,567,314,0,eeca225cda1019882472270ec5bdd769630bf22ff56824443aafa06c9be748f6,used,FALSE,2026-09-02T02:44:07-0300
