draw,beta
118,0.0072385976266791
119,-0.0156423950559549
120,0.00898851814163154
121,-0.0125302844289025
122,-0.0154463247440158
123,-0.0302212482673437
124,-0.00171735574144855
125,-0.0418506151497759
126,-0.0145214286953382
127,-0.0144506523653123
128,-0.0254747518461362
129,-0.0161152377560809
130,-0.00861906968405961
131,0.00965451668586721
132,-0.0185788813027514
133,-0.0042657447190991
134,0.00942703348819104
135,-0.0441959368879119
136,-0.00536247147047826
137,0.00580148284658679
138,0.00722637951745227
139,0.0117570825494849
140,-0.0134191699030097
141,-0.0126796722293717
142,0.011566503255228
143,-0.0283054262669364
144,-0.0169031148037759
145,-0.0414573897116746
146,-0.0184706538269925
147,-0.00204201077656428
148,-0.00924955982905221
149,-0.0254406708787671
150,-0.00750819234529895
151,-0.00628456591799675
152,-0.00674524791102492
153,-0.00654523796743629
154,0.00392005765631482
155,-0.00558230386266804
156,-0.0107155704385418
157,-0.00427292187153603
158,-0.0241679076911198
159,-0.0299777545145745
160,0.00709748790333822
161,0.000608483564087274
162,0.00920586960487398
163,-0.0289384063965293
164,0.00807213381075006
165,0.00333736759921602
166,0.00033154775795375
167,0.00840522617353325
168,-0.0379546681065259
169,-0.00589553225555467
170,-0.0221030659706417
171,-0.0309277502125933
172,-0.0210755556524142
173,-0.00651508276214199
174,0.0148345480951591
175,-0.0461032379994164
176,-0.0191871781864689
177,-0.0185491576194909
178,0.0074319464142173
179,-0.00917111389497464
180,0.0147516267749462
181,0.00946614488866556
182,-0.0196702724081406
183,-0.0190087684040981
184,-0.00359612750414582
185,-0.0204144987285769
186,-0.0184381622869013
187,-0.0150739393331507
188,-0.0184786541389883
189,-0.0104203360781229
190,0.00696333717201288
191,-0.00736423653001897
192,-0.0139031784085761
193,-0.0317635392737477
194,0.00591357432267318
195,-0.0104694722418366
196,-0.0101806656728062
197,-0.0101448746490023
198,-0.00451227274732817
199,0.00901161603813028
200,0.00463382770051237
201,-0.0179298477737293
202,-0.00328465309827478
203,-0.0257071948791502
204,-0.0114555162928051
205,-0.0264538929113052
206,-0.0456941400210359
207,-0.0146818827222314
208,-0.0134089468907849
209,0.00457462698849165
210,-0.010172249053138
211,-0.0127775727361206
212,-0.00232134249734026
213,-0.0134422782405869
214,-0.0409086436910764
215,0.0112721959895745
216,0.0147281748202964
