era,x_days,n_births,side
post,-34,245,below
post,-33,268,below
post,-32,252,below
post,-31,247,below
post,-30,258,below
post,-29,247,below
post,-28,219,below
post,-27,240,below
post,-26,245,below
post,-25,246,below
post,-24,240,below
post,-23,227,below
post,-22,228,below
post,-21,265,below
post,-20,246,below
post,-19,248,below
post,-18,253,below
post,-17,261,below
post,-16,260,below
post,-15,234,below
post,-14,245,below
post,-13,285,below
post,-12,247,below
post,-11,258,below
post,-10,222,below
post,-9,250,below
post,-8,246,below
post,-7,265,below
post,-6,280,below
post,-5,253,below
post,-4,277,below
post,-3,263,below
post,-2,274,below
post,-1,275,below
post,0,314,above
post,1,244,above
post,2,253,above
post,3,262,above
post,4,261,above
post,5,263,above
post,6,264,above
post,7,284,above
post,8,279,above
post,9,286,above
post,10,240,above
post,11,256,above
post,12,265,above
post,13,275,above
post,14,266,above
post,15,273,above
post,16,256,above
post,17,281,above
post,18,267,above
post,19,258,above
post,20,259,above
post,21,269,above
post,22,278,above
post,23,251,above
post,24,264,above
post,25,273,above
post,26,263,above
post,27,285,above
post,28,267,above
post,29,271,above
post,30,295,above
post,31,256,above
post,32,268,above
post,33,245,above
post,34,276,above
post,35,279,above
post,36,292,above
post,37,281,above
post,38,274,above
post,39,280,above
post,40,286,above
post,41,280,above
post,42,249,above
post,43,286,above
post,44,283,above
post,45,247,above
post,46,272,above
post,47,274,above
post,48,270,above
post,49,264,above
post,50,273,above
post,51,280,above
post,52,297,above
post,53,275,above
post,54,273,above
post,55,270,above
post,56,262,above
post,57,286,above
post,58,257,above
post,59,267,above
post,60,262,above
post,61,298,above
post,62,305,above
post,63,264,above
post,64,248,above
post,65,291,above
post,66,288,above
post,67,294,above
post,68,305,above
post,69,291,above
post,70,276,above
post,71,243,above
post,72,265,above
post,73,271,above
post,74,294,above
post,75,257,above
post,76,259,above
post,77,277,above
post,78,275,above
post,79,266,above
post,80,277,above
post,81,314,above
post,82,296,above
post,83,277,above
post,84,276,above
post,85,273,above
post,86,295,above
post,87,285,above
post,88,279,above
post,89,317,above
post,90,324,above
post,91,317,above
post,92,306,above
post,93,275,above
post,94,287,above
post,95,289,above
post,96,305,above
post,97,288,above
post,98,286,above
post,99,285,above
post,100,259,above
post,101,324,above
post,102,267,above
post,103,310,above
post,104,316,above
post,105,308,above
post,106,277,above
post,107,327,above
post,108,289,above
post,109,282,above
post,110,285,above
post,111,301,above
post,112,292,above
post,113,288,above
post,114,302,above
post,115,317,above
post,116,313,above
post,117,312,above
post,118,306,above
post,119,308,above
post,120,299,above
post,121,281,above
post,122,290,above
post,123,296,above
post,124,266,above
post,125,293,above
post,126,308,above
post,127,333,above
post,128,289,above
post,129,311,above
post,130,291,above
post,131,297,above
post,132,254,above
post,133,324,above
post,134,308,above
post,135,293,above
post,136,280,above
post,137,298,above
post,138,285,above
post,139,295,above
post,140,306,above
post,141,285,above
post,142,281,above
post,143,286,above
post,144,321,above
post,145,315,above
post,146,301,above
post,147,318,above
post,148,309,above
post,149,286,above
post,150,310,above
post,151,326,above
post,152,313,above
post,153,295,above
post,154,295,above
post,155,314,above
post,156,313,above
post,157,314,above
post,158,302,above
post,159,307,above
post,160,349,above
post,161,325,above
post,162,289,above
post,163,326,above
post,164,292,above
post,165,348,above
post,166,318,above
post,167,309,above
post,168,275,above
post,169,330,above
post,170,312,above
post,171,334,above
post,172,320,above
post,173,294,above
post,174,305,above
post,175,319,above
post,176,344,above
post,177,283,above
post,178,311,above
post,179,319,above
post,180,347,above
