year,geography_level,geography_value,age,sex,annual_first_visit_population,annual_first_visit_se,quarterly_mean_population,quarterly_population_sd,quarterly_mean_design_se,quarters,difference,relative_difference
2013,Brazil,Brazil,18,female,1755148.46829425,37612.4241389133,1730027.72479406,15190.3932120891,32044.380663144,4,-25120.7435001901,-0.0143126031523725
2013,Brazil,Brazil,18,male,1735483.48462812,34858.2841661517,1733849.66264893,18303.1039768189,31268.3513704124,4,-1633.82197919488,-0.000941421796096766
2013,Brazil,Brazil,19,combined,3309446.97133309,50565.3102240223,3278788.60442626,53644.6264975866,45589.3513451942,4,-30658.3669068329,-0.00926389429182583
2013,Brazil,Brazil,19,female,1674861.70446045,35790.1568928911,1643397.68075931,29792.8396980286,31968.3361138384,4,-31464.0237011425,-0.0187860428221317
2013,Brazil,Brazil,19,male,1634585.26687264,35137.6697614044,1635390.92366695,32558.3531439827,31628.2619961186,4,805.656794309849,0.000492881473140442
2013,UF,11,14,combined,31439.89956163,2727.46214010849,31405.47548667,2185.1493464674,2484.28687112962,4,-34.4240749599994,-0.0010949168235261
2013,UF,11,14,female,14560.88488106,1758.19047660136,14527.8363139575,1747.55401835289,1651.21852347073,4,-33.0485671024999,-0.0022696812297093
2013,UF,11,14,male,16879.01468057,2086.12261820857,16877.6391727125,965.820128687567,1786.61830619901,4,-1.37550785750136,-8.14921891788361e-05
2013,UF,11,15,combined,33052.14380413,2625.75031163222,33395.9688440175,1844.41837386307,2736.78628570042,4,343.825039887503,0.0104025034480378
2013,UF,11,15,female,15743.39792005,1826.46097329986,15148.7185668275,2345.22929218046,1726.13915493962,4,-594.6793532225,-0.0377732530323169
2013,UF,11,15,male,17308.74588408,2037.05435026574,18247.25027719,1760.16739735306,1999.02024420366,4,938.504393110001,0.0542213976330432
2013,UF,11,16,combined,31528.84083706,2783.73839050119,29705.71758537,2777.43287969485,2290.95173951604,4,-1823.12325169,-0.0578239860168613
2013,UF,11,16,female,17877.87789093,2143.44419977619,15575.7539169,1042.91769254209,1644.38617576188,4,-2302.12397403,-0.128769420401844
2013,UF,11,16,male,13650.96294613,1603.92146341284,14129.96366847,2491.24126813016,1549.16699285576,4,479.000722340001,0.0350891526282983
2013,UF,11,17,combined,34454.54853222,2929.65861643435,33267.2579544075,2817.61251441064,2585.83579870911,4,-1187.2905778125,-0.0344596179137918
2013,UF,11,17,female,16431.96796617,1858.0868758903,16753.4307358825,1646.73957923016,1804.45362827522,4,321.4627697125,0.0195632544059436
2013,UF,11,17,male,18022.58056605,1965.80861146513,16513.827218525,1509.66868963981,1681.07325722318,4,-1508.753347525,-0.0837146124549507
2013,UF,11,18,combined,37460.82707288,3389.59265157534,34178.3607935075,1888.65806672952,2745.58300293774,4,-3282.4662793725,-0.0876239671106691
2013,UF,11,18,female,19739.33478299,2213.42659264725,17423.836988885,833.211222508955,1859.52087904674,4,-2315.497794105,-0.117303739946715
2013,UF,11,18,male,17721.49228989,2278.70353879952,16754.5238046225,1122.83211352913,1939.49472943396,4,-966.968485267502,-0.0545647324418131
2013,UF,11,19,combined,27292.16476899,2353.68862692216,32108.764534695,1860.87560788045,2566.23809237306,4,4816.599765705,0.176482877282704
2013,UF,11,19,female,14102.77155456,1642.88657135697,15355.4268177075,929.145140757588,1729.65349008769,4,1252.6552631475,0.0888233393203101
2013,UF,11,19,male,13189.39321443,1542.05083941168,16753.3377169875,1408.27835070814,1798.21823407231,4,3563.9445025575,0.270212923719518
2013,UF,12,14,combined,16888.01986537,1196.51750856871,17782.78173924,399.046669920131,1136.95671355098,4,894.76187387,0.052982047688419
2013,UF,12,14,female,8646.12320643,879.69608370749,9370.9421945025,774.018692313099,820.644385819615,4,724.8189880725,0.0838316747017279
2013,UF,12,14,male,8241.89665894,776.833720415066,8411.8395447375,730.076881062954,753.989057354387,4,169.9428857975,0.0206193905153085
2013,UF,12,15,combined,15175.3925072,1077.53377624316,17231.41626914,707.143573393139,1137.35579618073,4,2056.02376194,0.13548405821889
2013,UF,12,15,female,6963.50545294,798.364576702501,9541.3664434725,791.075605990538,871.000539357905,4,2577.8609905325,0.370195874470684
2013,UF,12,15,male,8211.88705426,798.850526637183,7690.0498256675,519.830141599316,717.477936154491,4,-521.8372285925,-0.0635465667202268
