draw,15,16,17,events_age15,events_age16,events_age17,deficit_age15,excess_age16_17,recapture
258,-0.271119408118714,-0.0189434990104393,0.0113932283795616,-60.4177417756471,-128.265107124709,115.200241924862,60.4177417756471,-13.064865199847,-0.216242196677286
259,-0.102355207459778,0.0449870488353377,0.0337034081892621,-20.9087172738271,295.041847559009,337.018716610254,20.9087172738271,632.060564169262,30.2295236906024
260,-0.0105649013452191,-0.0471220446394905,0.0376994922624611,-2.06045596608863,-323.612311086041,376.229742966836,2.06045596608863,52.6174318807948,25.536790276901
261,0.106801559570199,0.0549289999407584,0.0763041552564791,19.651425193448,358.473382913254,747.07216023439,-19.651425193448,1105.54554314764,
262,-0.0279239804557718,-0.0112235015230332,0.0629054583649378,-5.49359682454523,-75.700039831098,619.98107886752,5.49359682454523,544.281039036422,99.0755340116315
263,0.1394894435888,-0.0177473263050896,0.014477267492931,25.2583723651516,-120.093837668743,146.158790391604,-25.2583723651516,26.0649527228604,
264,-0.00804284797518161,-0.0185552217984705,0.0333858246868061,-1.56660405143814,-125.611644618679,333.895745682415,1.56660405143814,208.284101063736,132.952612290598
265,-0.129795214713787,0.0253567335076254,0.0392024633012826,-26.8874674037348,167.92954169474,390.936938040341,26.8874674037348,558.866479735081,20.7853893913955
266,0.0312241728079655,-0.0333462070958275,0.0192318839845863,5.96389616832304,-227.423797887232,193.700445768727,-5.96389616832304,-33.7233521185051,
267,0.108065459615654,-0.00419728670222521,0.0289826556621712,19.8716451693228,-28.2103639891454,290.494638190967,-19.8716451693228,262.284274201821,
268,0.0869663538595435,0.00216282190257142,0.0307382965814027,16.1586599776629,14.4903708063659,307.822531195244,-16.1586599776629,322.31290200161,
269,0.0128442403799192,-0.0365836112318703,0.00418454479039095,2.47584841616133,-249.909708522594,42.4637283238468,-2.47584841616133,-207.445980198747,
270,-0.00389938733986386,-0.00991565896652678,0.00268789575221299,-0.757957974282608,-66.8351342848888,27.2965103828454,0.757957974282608,-39.5386239020435,-52.164665118097
271,-0.0258022943436434,0.00534253460440205,0.0146969854074824,-5.07078272605143,35.7368319592072,148.360746246629,5.07078272605143,184.097578205836,36.305554418655
272,-0.0541848351322827,0.0140876284813569,0.0562730278435985,-10.8018639693627,93.823298652021,556.437382686946,10.8018639693627,650.260681338967,60.1989326271188
273,-0.054842043634958,-0.0420633035384329,0.0255215541964684,-10.9365057355625,-288.136071832559,256.244892071418,10.9365057355625,-31.8911797611403,-2.91603008604832
274,-0.0460495659530175,-0.0110483621433581,0.00973461085764997,-9.14250448709037,-74.5122259731206,98.5109967731205,9.14250448709037,23.9987707999999,2.62496680574642
275,-0.0675593192602519,0.0631221864167996,0.071457807654242,-13.5593823535615,410.275543173761,701.299397068167,13.5593823535615,1111.57494024193,81.9782871562701
276,0.254508531608948,-0.0252421900103546,0.0388332836800369,43.5922972075963,-171.454204538331,387.326409996927,-43.5922972075963,215.872205458596,
277,0.122856197016006,0.010211512628556,0.0281933960000796,22.4281788423378,68.1401162631209,282.694854764806,-22.4281788423378,350.834971027927,
278,-0.0519490412191684,0.00894056186746311,0.0127214063662433,-10.3444807035898,59.6970880409877,128.544613633995,10.3444807035898,188.241701674983,18.1973080204653
279,0.091000940161928,0.025379196645465,0.0536279738879174,16.8747307212289,168.076428086018,530.977980008372,-16.8747307212289,699.05440809439,
280,0.0435993475989556,0.0156987495007706,0.030622140068908,8.27653665662739,104.469348300701,306.677024683644,-8.27653665662739,411.146372984345,
281,0.00558216653610678,-0.0270385279882426,0.0306306075465154,1.0799233547527,-183.821337504937,306.760533329038,-1.0799233547527,122.939195824102,
282,0.0591255667243553,0.00596049277785983,0.0326709089612521,11.1378496984658,39.8581200382321,326.86196100648,-11.1378496984658,366.720081044712,
283,-0.0173469142180691,0.0184932467592121,0.0230508784380314,-3.39465969027042,122.894345812847,231.72340848313,3.39465969027042,354.617754295977,104.463418030491
284,-0.112832228607893,-0.0286129550115273,0.0252976933807702,-23.172156810322,-194.678977869747,254.025566226359,23.172156810322,59.3465883566123,2.56111629324795
285,-0.0945931768732151,-0.0371239209614778,0.0412407287894593,-19.2470465396596,-253.669610190387,410.846928704299,19.2470465396596,157.177318513913,8.16630843542878
286,-0.231695548002064,-0.021401074020308,0.00863383245269322,-50.5827526758719,-145.083942147201,87.4195164399636,50.5827526758719,-57.6644257072373,-1.14000173293739
287,-0.0466777781790405,-0.0313051474736891,0.000125955396083698,-9.27016118637383,-213.284659790967,1.28075976178146,9.27016118637383,-212.003900029185,-22.869494474466
288,-0.0860334013362548,-0.0261263509319081,0.0088042659706609,-17.4294897134945,-177.538554322505,89.1376092539932,17.4294897134945,-88.4009450685114,-5.07191814113
289,-0.00457909747101495,-0.0421168367119392,0.00930353275423112,-0.890381932147651,-288.510553689106,94.1688936475565,0.890381932147651,-194.341660041549,-218.26774895666
290,0.0283236701969382,-0.0648580864287932,-0.0310156247301674,5.41770522334186,-449.419911374066,-320.339980848789,-5.41770522334186,-769.759892222856,
291,0.0371508697545245,0.081255831314174,0.0620150507581067,7.07503323938351,523.429064936214,611.474773304772,-7.07503323938351,1134.90383824099,
292,-0.00971211970797787,0.0567302993066502,0.0644751536264255,-1.89333047928273,369.898686597601,634.958370652653,1.89333047928273,1004.85705725025,530.735161265103
293,-0.155114914047874,0.0385848836152809,0.0689845055443622,-32.5516771394631,253.859745435065,677.853931282968,32.5516771394631,931.713676718033,28.6226013094882
294,0.00981791720796078,0.00046133259028959,0.0116965496174027,1.8953564994083,3.09344407494192,118.249310465491,-1.8953564994083,121.342754540433,
295,-0.0955423647610635,-0.023719866280498,0.0136389500526386,-19.4495541482262,-160.990936739095,137.752944913153,19.4495541482262,-23.237991825942,-1.19478275177127
296,-0.123232899559698,0.0506912902354162,0.0496410136273848,-25.4426799808605,331.513085442599,492.474865033138,25.4426799808605,823.987950475737,32.386051748306
297,-0.180018485306503,0.0289192085978288,0.0128018939905398,-38.2644621332731,191.183372126541,129.352713513444,38.2644621332731,320.536085639985,8.37686113353886
298,0.163014053547615,0.0140908459881152,0.0505068548701347,29.1816259355105,93.8445765585204,500.849573474329,-29.1816259355105,594.694150032849,
299,0.110251462803593,0.0918458403357963,0.085372490192559,20.2518745680841,588.56761922236,832.127121319871,-20.2518745680841,1420.69474054223,
300,0.0141384031364735,-0.0147778579125485,0.0294834948943577,2.72355152310599,-99.8510683112773,295.440942476516,-2.72355152310599,195.589874165238,
301,-0.185364597205925,0.0407565929597011,0.0443147816815509,-39.5094990327423,267.858883894902,440.797948279517,39.5094990327423,708.656832174418,17.936365925246
302,0.0596146859319626,-0.0126292939428325,0.0261367557051878,11.2272692189513,-85.2418134380114,262.341358499436,-11.2272692189513,177.099545061424,
303,-0.143582854897849,0.0144853927525167,0.0171928997099669,-29.9540764137852,96.4532609754998,173.340216803566,29.9540764137852,269.793477779066,9.00690356972261
304,0.307184123111328,-0.0132781425027589,0.0361290780219404,51.3100586907977,-89.6503798486721,360.838955308038,-51.3100586907977,271.188575459366,
305,-0.00379371202002601,0.0766533857534589,0.0542564612028799,-0.737377952069463,494.903923985226,537.033451496439,0.737377952069463,1031.93737548166,1399.46871558272
306,0.161800876711289,-0.00222335929747954,0.0197595528372929,28.9815507616278,-14.9286605466245,198.962712150786,-28.9815507616278,184.034051604161,
307,-0.0578057897860882,0.0338816716868088,0.0294828330928765,-11.5447864689726,223.437774804255,295.434408138345,11.5447864689726,518.8721829426,44.9442858330126
308,0.106277270913819,-0.00880038739262144,0.0464757019615054,19.5599922462288,-59.2846796995638,461.797120440664,-19.5599922462288,402.5124407411,
309,0.14925431105532,-0.0244501294037798,0.0260043921030078,26.8980931499861,-166.008208992741,261.02999068931,-26.8980931499861,95.0217816965682,
310,-0.00524928112190065,-0.0622628526432475,-0.00123007515596193,-1.02103805758386,-430.871407898577,-12.5163306965155,1.02103805758386,-443.387738595092,-434.251921661279
311,-0.296832518186058,0.024218639138289,0.031876020968996,-67.0444446682709,160.483225924121,319.035453474816,67.0444446682709,479.518679398938,7.15225074607669
312,-0.276710611100537,0.0409062660021011,0.0477138464172298,-61.8442271876771,268.822577614914,473.808602357257,61.8442271876771,742.63117997217,12.0080921654745
313,0.127773101496348,-0.0191548464404069,0.0384696466144001,23.2697105437614,-129.70987550692,383.768784112522,-23.2697105437614,254.058908605602,
314,-0.100094428163898,0.00285724300858012,0.00813652367636001,-20.4234048912737,19.1361774852738,82.404611111315,20.4234048912737,101.540788596589,4.97178551456786
315,0.113366603867954,-0.0171359450058935,0.00449943253142408,20.7922823321596,-115.921155848304,45.6519484628659,-20.7922823321596,-70.2692073854385,
316,-0.0461602641871266,0.0143355963663813,0.0441866229500913,-9.16499324845862,95.4629507930177,439.551114350563,9.16499324845862,535.014065143581,58.3758275254115
317,0.054690008225353,0.0742535367519132,0.0863824018871499,10.3249524340546,479.977928515515,841.551778594134,-10.3249524340546,1321.52970710965,
318,-0.141463860580763,0.0130508133844648,0.0145803395741712,-29.4800214332026,86.9631014461435,147.191812256248,29.4800214332026,234.154913702392,7.94283390305372
319,-0.106299530045487,0.0247485745067648,0.0644607118963372,-21.758060526924,163.951537631355,634.820681602559,21.758060526924,798.772219233915,36.7115542419553
320,-0.057992274041783,0.0357685333626258,0.0441306800400269,-11.583120909997,235.659825604071,439.006805441607,11.583120909997,674.666631045678,58.2456693915193
321,0.00969706012387244,0.0514081019186358,0.0446189565169666,1.8721378891648,336.081471417364,443.756572545156,-1.8721378891648,779.83804396252,
322,-0.0991222027495118,0.0129422804893686,0.00887304497784754,-20.2150383124333,86.2445706844887,89.8308683406972,20.2150383124333,176.075439025186,8.71012146026407
323,-0.0731017482717465,-0.000365651725005675,0.018883581254952,-14.7129593592004,-2.45287454120165,190.225416559116,14.7129593592004,187.772542017914,12.7623911297285
324,0.0229682125370371,0.0572061300248196,0.0594865250499559,4.40505152986638,372.913356773471,587.277746552505,-4.40505152986638,960.191103325976,
325,0.0398788994370343,0.0783686807808479,0.0553824407044558,7.58427517115885,505.550367987551,547.872744833677,-7.58427517115885,1053.42311282123,
326,-0.00804742151721115,0.00899264148497667,0.0346086271390595,-1.56749848557244,60.0432680196028,345.914785329578,1.56749848557244,405.958053349181,258.984654266463
327,-0.00405846180657371,0.0282346502400034,0.0555309827049715,-0.788941457059679,186.721388325943,549.301780184864,0.788941457059679,736.023168510807,932.924948897863
328,-0.110797605718337,0.0559587252169036,0.05582127998755,-22.7307425745783,365.007256612398,552.093947138457,22.7307425745783,917.101203750855,40.3462931640662
329,-0.0969224980725538,-0.0181604927732342,0.0017800814661898,-19.7443463694509,-122.915146712373,18.0855467807612,19.7443463694509,-104.829599931612,-5.30934769731388
330,0.0637071438401868,0.0428902737857027,0.0629209605654335,11.9737304591537,281.583308852336,620.129108525976,-11.9737304591537,901.712417378313,
331,0.107510749817776,-0.0447507749950334,-0.00533556312844474,19.7750276692542,-306.96058420058,-54.402345967328,-19.7750276692542,-361.362930167908,
332,-0.159109823635365,-0.0402299888772986,-0.00183546599615544,-33.4585408246835,-275.323534610159,-18.6819935520055,33.4585408246835,-294.005528162165,-8.78715929970463
333,-0.21707091769905,0.045870440131083,0.0174003058459832,-47.0318489370091,300.70361443361,175.413162997823,47.0318489370091,476.116777431434,10.1232842891018
334,-0.00686205603993412,0.0328655643858344,0.0531635853906838,-1.3358168637284,216.846431702063,526.501154033411,1.3358168637284,743.347585735474,556.474173907879
335,-0.182847268342455,0.0311196644157676,0.0368521497195088,-38.9224180757172,205.505375487309,367.928395568969,38.9224180757172,573.433771056278,14.732737568893
336,0.0789881961412204,-0.0289984129736848,0.00657782832716717,14.7341387365548,-197.3397977682,66.6704225717574,-14.7341387365548,-130.669375196442,
337,-0.0596736575519878,-0.0381585037553205,-0.00456330593615092,-11.9290757414536,-260.874725704349,-46.5102977136695,11.9290757414536,-307.385023418019,-25.7677149579874
338,0.140695374120988,-0.0323868838251246,0.0136693057253238,25.4617403989747,-220.774633627904,138.057445543699,-25.4617403989747,-82.717188084205,
339,0.0535652566280185,-0.0410525792693854,0.0120250954934475,10.1182474053884,-281.069489823977,121.55090076406,-10.1182474053884,-159.518589059917,
340,-0.0255792183934422,0.0350356125224183,0.0767607795225997,-5.02637977455696,230.915106986973,751.373459006235,5.02637977455696,982.288565993207,195.426650999484
341,-0.143859872589302,0.0275519760725883,0.037158046052636,-30.0161242491499,182.268642839149,370.926048924525,30.0161242491499,553.194691763674,18.4299174394356
342,0.0885924239214208,-0.0479777173885607,0.00262880295213793,16.4476074703773,-329.630789006507,26.6971910185567,-16.4476074703773,-302.933597987951,
343,0.0312754517697868,0.0823723670981943,0.0787328892897911,5.97353821735756,530.329390211379,769.927750728071,-5.97353821735756,1300.25714093945,
344,0.112645290191459,0.0158551960759169,0.0649123946173504,20.6673001653717,105.502210812456,639.126133237472,-20.6673001653717,744.628344049929,
345,-0.221824265752616,0.00671626969953178,0.0202168236696251,-48.1802845076169,44.8950883526868,203.520677208128,48.1802845076169,248.415765560815,5.15596302719098
346,0.074449864666701,-0.0111550955165419,0.0607612575630081,13.9187219140221,-75.2360782772014,599.484097870692,-13.9187219140221,524.248019593491,
347,0.0234718935413308,-0.00333740642989254,0.0422416562184053,4.50052285898717,-22.4213787409087,420.609245268977,-4.50052285898717,398.187866528068,
348,0.0141700271994459,-0.03964708207378,-0.0037936972575083,2.72960036595245,-271.254676715129,-38.6513768665252,-2.72960036595245,-309.906053581654,
349,0.0923532162772256,0.0117458357015004,0.0309726542243495,17.1140911168389,78.3184617289199,310.133302719456,-17.1140911168389,388.451764448376,
350,-0.0693580291721548,-0.0278568967665952,0.0464529778913957,-13.93305743996,-189.462878660501,461.576530775522,13.93305743996,272.113652115021,19.5300746650623
351,0.0129081375332471,-0.0198432785991111,0.0230889457468626,2.48808587334776,-134.418106907978,232.101686660019,-2.48808587334776,97.6835797520415,
352,0.16934900556085,0.0155546389283241,0.0320989438344048,30.2224421927364,103.517785265384,321.230991068847,-30.2224421927364,424.748776334231,
353,0.151761853064979,-0.0324753478748517,0.0429553349017698,27.3165832943643,-221.387519736388,427.563981928899,-27.3165832943643,206.17646219251,
354,0.147853804018825,-0.00824755534795728,0.0255912861884987,26.6639017968331,-55.5450944817971,256.936104131525,-26.6639017968331,201.391009649728,
355,0.0249781883270111,0.000292820856130522,0.0470251499992022,4.78575006312931,1.96366196745878,467.129259013686,-4.78575006312931,469.092920981145,
356,-0.0132199353310216,-0.0439766838894218,-0.00267457000895421,-2.58169479048637,-301.533240597428,-27.2341059480427,2.58169479048637,-328.767346545471,-127.345551362999
357,-0.00241813859989887,0.0716622214050215,0.0523234075386541,-0.469686546128737,463.820825622931,518.396335797177,0.469686546128737,982.217161420107,2091.21842964369
358,0.232605162882426,0.029248063867427,0.0509091427784941,40.2615173193529,193.325780469921,504.738171266744,-40.2615173193529,698.063951736665,
359,-0.212747904829887,-0.0195587742892581,-0.00116579980635253,-45.9921141594139,-132.471970826225,-11.8619312059093,45.9921141594139,-144.333902032134,-3.1382315135994
360,0.121495960010587,0.000281792722788882,0.0376233821458907,22.1946417034838,1.88971752492818,375.484385716772,-22.1946417034838,377.3741032417,
361,0.187361742837538,-0.00839710384091725,0.0647733107666032,33.1461136228081,-56.5564985343476,637.80058950422,-33.1461136228081,581.244090969872,
362,0.232158961921165,0.0625706791495804,0.0730279805551746,40.1929037534568,406.801896093364,716.153659057368,-40.1929037534568,1122.95555515073,
363,0.103856063659795,-0.000710092719433736,0.0281539494428865,19.1371251131186,-4.76428321048792,282.304866371667,-19.1371251131186,277.540583161179,
364,-0.120365146511021,-0.0086897802008822,-0.000121922642994009,-24.8142740499162,-58.5363213403007,-1.23990694143647,24.8142740499162,-59.7762282817372,-2.40894527728241
365,-0.123972726618109,0.0181959153967235,0.0155351909680325,-25.605089684348,120.936393642039,156.756582579481,25.605089684348,277.692976221519,10.845225681489
366,-0.0938619761395702,-0.047958070369662,0.0230547405706479,-19.0911771347208,-329.49254154649,231.761787489061,19.0911771347208,-97.7307540574285,-5.11915809945985
367,0.0330620078394279,0.0739995613091436,0.0709229896071711,6.30915814497261,478.396216978322,696.234545655204,-6.30915814497261,1174.63076263353,
368,-0.101160475440427,0.0223990347650138,0.0290057509985996,-20.6521122641965,148.560311167997,290.722782961158,20.6521122641965,439.283094129155,21.2706133159424
369,0.197616211834794,-0.04256031666171,0.00701647593159009,34.7871564351228,-291.61361037895,71.1008134787739,-34.7871564351228,-220.512796900176,
370,-0.0559775381960496,0.00241446908415227,0.0416979224500113,-11.1693421918671,16.17431010409,415.30727472854,11.1693421918671,431.48158483263,38.6308859931616
371,0.217156971379483,-0.0194903817409874,0.0367378941398685,37.868096363803,-132.0042179049,366.808504476023,-37.868096363803,234.804286571123,
372,0.093444576603639,-0.00611485610206747,0.040705590561579,17.3070320782596,-41.1379881316221,405.623570477656,-17.3070320782596,364.485582346034,
373,0.000320703248551839,-0.00412207188456647,0.0378727072798543,0.0622064551822721,-27.7037954206911,377.92585093731,-0.0622064551822721,350.222055516619,
374,0.017182016224526,-0.00924470788987814,0.0352305266393466,3.30483797468781,-62.2917466743211,352.021857926337,-3.30483797468781,289.730111252016,
